m_0,v,c,m
4.999478113695821,1.6818259846298242,4.129008097724782,5.474166766148176
1.9623348749562253,1.0292809394902576,3.453119818982764,2.05578434791576
1.0022982945566956,1.484682972673519,7.9696738678724,1.0201566401996758
3.2751228793747957,1.3704064669762897,3.5559253402416804,3.549287032616192
4.2986305616022875,1.0198671365708525,4.332223992344118,4.4229366184391035
4.494010999403095,1.4516837698210099,6.7683455899907194,4.6010870913495285
4.759055790456587,1.4790229587814654,3.986422085930741,5.124831317541831
3.9145914806890767,1.1616386004311652,4.17587655591287,4.075451890515314
2.8766581825190176,1.5925830426672858,3.726593094435776,3.1818508549874336
2.2545817167502857,1.3673988313594907,6.547696757379635,2.305414858540121
1.4857164627747612,1.519493683201718,8.2359011700877,1.5116669478706275
3.8083093864877378,1.7955242326906662,8.461161287683073,3.8970667598380433
1.7420250747804509,1.480963047816613,8.704038339103596,1.7678018340175443
1.418479652170065,1.4269047201284408,8.145455555993724,1.4407584220669505
3.0118154980320706,1.904654775615429,9.079935168484637,3.0803477509146178
2.970832689833536,1.9141342933690968,9.313064127224855,3.0356425668099
3.2477735855409597,1.2309420426137887,4.732025356862662,3.3635692088263647
2.8879490826597363,1.1592639343101154,3.032524848529943,3.1253241562393743
3.5902880223066167,1.0849221886116875,5.808235478307389,3.654609872651252
2.5440570944105607,1.9945980010595412,9.54119680577473,2.6015388470065
3.9429845769040335,1.2903856835570888,9.131531026895633,3.9829524931695652
1.242229920870709,1.3439231517495518,6.883119230110898,1.2666074597229324
3.2810330156747733,1.76540243443982,4.472269658989787,3.571032766898377
4.674020566273696,1.7042746134256717,3.2250540996605785,5.505548722070245
4.0115311573822625,1.7328422034321038,6.463298507624327,4.163975480500986
1.5172746874585812,1.873752378972829,4.180172287939056,1.6973472421556384
1.6415069842807406,1.125349230016519,8.030983731178736,1.6578639894619254
2.4119493219134687,1.9946307046923333,4.636853867724762,2.6717846973101347
1.5090546815968864,1.2532555346178087,4.523790962002437,1.5705260529054983
2.667135404666526,1.1730994279456253,9.037036825127574,2.6898949761164754
4.144273625785062,1.104571975451357,6.530456609801292,4.204858239266804
1.3171525533975936,1.2439020886873469,9.894593795224537,1.3276859396497225
3.6849459887267457,1.2070931733170036,6.2838505784104,3.754875162726388
2.829465425468971,1.2610975823505388,5.9629742664822505,2.894947424604268
4.240877058493607,1.3773235482798536,3.010234034656888,4.769395533606223
2.9920008604749224,1.2340363549885225,5.4380728828122304,3.072146511454977
2.13189144556488,1.8846798997617435,5.4733242530352735,2.270758978216249
4.5521948848788,1.5167487892554825,9.76265191861151,4.60814912076393
4.185227293148709,1.997135403951636,9.226760992304012,4.286853004827564
1.2425483386631022,1.815873697348436,6.338386716968057,1.2969099566479334
1.0951313959140268,1.3928510088896642,6.092902539554533,1.1249193543285858
1.9469764440813682,1.3662097809825289,5.129180078440966,2.019950083206472
2.0250682360562604,1.9273894936854787,4.199587834265596,2.279292569923256
1.8006793549838331,1.7764668891282092,5.386931535645415,1.9073778696228392
3.882546666833288,1.8522193477655065,3.650385156453159,4.505638632412818
1.1311862714205052,1.942348830744324,5.136753618399983,1.221908788408829
2.9195108775738667,1.162670234883275,4.772469451879316,3.0102062928446736
2.419896618453901,1.2343603697167214,4.002436346661379,2.543896193642649
1.4236018443887164,1.5269700922432423,9.43917959013258,1.4426029547128156
3.210573515874146,1.7295424788604268,8.987623130550222,3.271723597273515
3.3031366745925985,1.5502998317799626,9.50753716480891,3.3479451022694118
4.797226435409421,1.9903171658984573,3.936911110212004,5.560096338708111
2.159684692149729,1.7546515463826111,7.847806482205491,2.215778355985909
4.664747743296845,1.82547795705044,8.356099169212495,4.780209974267639
4.670274236828903,1.069880355591481,3.4657834150505105,4.910082108460446
3.9693689936229775,1.7559113879361028,6.7545888819566695,4.110695333277995
3.296308639519629,1.1957408194908163,7.933730436085807,3.334397161985832
2.389621977885746,1.5227528117106666,3.804804158235923,2.6075626655569457
2.127190215743916,1.1132404741485984,4.755887286428571,2.1879760617669306
2.515057305197781,1.5596927534538314,8.41298557852755,2.5594254224626245
4.8506786852628245,1.2339308474273414,8.810146163604394,4.8989662734276695
1.720472131224783,1.5391401948815184,6.233270389427818,1.7754488942942441
2.5281181934550463,1.113000801730751,4.688067853568025,2.602526524470232
4.848889369989392,1.8193216968549464,3.2623431186123013,5.841609404653044
1.402346046231106,1.5781585780619714,4.341495580686239,1.5053221912183246
2.3474313524886887,1.3618862937203584,9.408791104802749,2.3724156816950344
1.0062838596864534,1.3009418275825477,4.908221542911188,1.0436099496033042
1.0696179105951455,1.9201355448392408,6.090859858600239,1.1270892057187671
1.6582321707303571,1.5109510660986092,3.6876526596789754,1.8178269598942889
1.9634128989130881,1.080765006105154,7.950058703081533,1.981811072640448
3.736097743793625,1.201509483847915,7.803585105553832,3.781185763646116
4.355752163446384,1.5085147873732736,6.170324186570023,4.492065771890561
1.5560578233189002,1.2321588552421137,8.377881533594719,1.5731649478022107
2.9713522032586237,1.3509625421974885,9.1185852263761,3.0045094379684527
3.5409929476807203,1.3118062704857922,3.3355280559750167,3.8513438826174373
2.6586998388952834,1.3031582823152,6.809474559496643,2.7087655887701545
2.338632877525622,1.593741237631798,9.754547049238074,2.370486338960619
4.160509223147948,1.8850152651110068,7.1218731623098375,4.31437546664864
3.618429152646492,1.6024230987422818,3.0473031907974018,4.254084794855015
1.6353003723929032,1.7435255832818393,8.990847831900222,1.6669441425227565
2.5573671156084625,1.5113485366649082,8.064160500683494,2.6034992156751424
3.3513921217584564,1.154069465710818,3.5411756803407126,3.5449303727413843
3.40534713438083,1.4355295039185352,9.177426408079471,3.447787004739748
