m_0,v,c,m
2.02,1.325,5.695,2.076996780331961
2.74,1.685,6.745,2.8297200440649353
2.06,1.225,4.925000000000001,2.126841056235337
4.220000000000001,1.675,8.075,4.313826630303321
3.5,1.395,8.215,3.551581057200455
3.62,1.545,4.575,3.8459412311684176
3.58,1.025,9.405000000000001,3.6014522662693764
4.9,1.245,3.5949999999999998,5.22322053221496
2.38,1.9649999999999999,6.675000000000001,2.4903529478287565
3.18,1.925,5.484999999999999,3.3960153838612244
1.38,1.635,4.295,1.492361682135213
1.7,1.355,7.515000000000001,1.728326306497816
1.98,1.935,3.105,2.531737041055991
1.18,1.425,9.545,1.193374109848627
2.34,1.5350000000000001,6.255000000000001,2.4138120071080813
1.3399999999999999,1.455,6.605,1.3737461392243646
1.82,1.045,7.7250000000000005,1.8368844943081692
3.66,1.405,3.385,4.022901569438221
1.3,1.135,4.855,1.3370501757234214
1.02,1.625,9.195,1.0363115420737532
1.58,1.195,8.775,1.594858032720739
4.38,1.705,5.415,4.614722812341019
2.8200000000000003,1.5150000000000001,9.335,2.857887869038985
1.9,1.015,4.785,1.9442444646858423
2.1,1.945,6.115,2.2150330352143874
3.46,1.345,6.465,3.5373996668596823
3.9,1.585,8.635000000000002,3.967408710922284
1.1400000000000001,1.645,3.245,1.3225287798253231
2.8600000000000003,1.415,6.885,2.922383911926082
1.62,1.2349999999999999,7.585,1.641910364932496
1.78,1.7349999999999999,8.004999999999999,1.823341806086281
2.46,1.365,8.705,2.4908129633271523
4.66,1.755,8.495000000000001,4.762745977829443
3.1,1.475,8.355,3.149467782059894
3.02,1.7149999999999999,3.8049999999999997,3.383131837297325
2.2199999999999998,1.125,5.345000000000001,2.2708702363997277
4.46,1.035,9.475000000000001,4.486849433426061
2.54,1.815,8.425,2.6010752585915102
2.1799999999999997,1.845,6.1850000000000005,2.2839866450712294
2.94,1.075,4.4350000000000005,3.0303690129018475
3.86,1.525,8.985,3.9168290246302884
4.82,1.175,5.975,4.915993593799466
1.94,1.165,4.645,2.0040555712762975
2.62,1.065,7.234999999999999,2.6488550803704976
1.6600000000000001,1.795,6.535,1.7264023098902792
3.3,1.595,8.565000000000001,3.3587529753149723
1.26,1.305,6.395,1.2870838477814337
1.54,1.055,7.795,1.5543014664151849
4.42,1.2850000000000001,5.905,4.528524673566702
3.54,1.155,6.815,3.591962102249384
4.18,1.385,8.145,4.241774452865368
4.34,1.215,4.365,4.518576103154621
2.3,1.105,5.625,2.345706186695169
4.74,1.665,9.754999999999999,4.810589540179088
4.859999999999999,1.615,9.265,4.93556104333641
3.06,1.085,9.055,3.082206577723707
3.34,1.295,7.655,3.3888440711354937
1.74,1.465,9.965,1.759113952562759
1.8599999999999999,1.975,4.995,2.0250165467223287
4.140000000000001,1.565,7.375,4.236483703834624
1.46,1.5550000000000002,7.0249999999999995,1.4971381503361127
4.300000000000001,1.995,4.015000000000001,4.954970628512803
4.78,1.4849999999999999,5.135,4.993360455652038
2.66,1.185,3.875,2.793842663973526
3.22,1.505,5.205,3.363678531995129
3.98,1.275,5.555,4.089167486487114
3.74,1.435,9.825,3.7805412892217958
3.38,1.005,7.305,3.4124487209323675
3.7800000000000002,1.865,7.445,3.90449222148541
2.7800000000000002,1.375,4.505,2.9193002160796824
1.06,1.745,8.844999999999999,1.0812510646441245
1.5,1.495,3.315,1.6806085150013315
3.14,1.605,9.685,3.184026119890973
2.42,1.7850000000000001,5.0649999999999995,2.585905251172873
4.98,1.335,5.835,5.115691756803534
2.7,1.895,5.765000000000001,2.8588621080203787
2.58,1.445,8.915,2.6145736191197058
4.58,1.205,4.715,4.737320455071236
1.1,1.095,7.865,1.1108184204475462
4.26,1.2650000000000001,7.095,4.329368797607811
4.02,1.855,3.9450000000000003,4.554974193503325
2.14,1.905,5.275,2.2948751580835167
4.7,1.9849999999999999,3.455,5.742325313080974
1.42,1.255,9.895,1.4315609327372962
1.22,1.315,6.955,1.2424091987579977
3.7,1.835,9.615,3.769280613666594
4.54,1.115,3.5250000000000004,4.785721950862207
2.98,1.915,9.125,3.047873712054266
3.2600000000000002,1.145,6.045,3.320101952431502
4.1,1.8050000000000002,3.175,4.983708490036652
2.5,1.725,6.324999999999999,2.598505751938437
4.0600000000000005,1.875,4.155,4.549576606280268
2.26,1.655,4.225,2.456291626541989
3.8200000000000003,1.575,3.7350000000000003,4.212887218368095
3.94,1.7650000000000001,7.165,4.065273857546426
2.9,1.955,3.665,3.4285127107713556
4.62,1.695,4.085,5.077748268499239
4.9399999999999995,1.8250000000000002,3.035,6.182652317268335
4.5,1.775,7.9350000000000005,4.616995739921291
3.42,1.885,8.285,3.5121103697307623
