x1,x2,x3,y1,y2,y3,A
3.18,2.46,2.8600000000000003,3.18,4.66,4.02,33.0732
4.58,1.26,3.74,1.1,3.54,1.94,16.754
3.3,3.7,1.46,1.9,1.5,3.38,16.7548
1.3,3.14,2.9,1.1400000000000001,2.46,4.38,21.9084
4.02,2.1799999999999997,1.98,4.58,2.7800000000000002,3.46,31.3228
3.5,1.62,1.22,2.8600000000000003,4.58,3.06,21.1628
1.54,4.220000000000001,4.42,4.42,3.2600000000000002,4.82,41.86840000000001
4.34,1.94,3.7,1.5,3.46,3.54,26.3204
2.58,4.62,4.9,2.74,3.66,4.26,44.8524
4.82,1.1400000000000001,2.3,3.42,1.82,2.9,25.2292
4.7,2.54,3.66,4.78,3.9,4.74,49.7204
3.46,1.58,1.06,2.34,2.26,4.9,16.8612
4.140000000000001,2.06,4.66,4.54,3.1,1.98,34.4084
2.94,1.6600000000000001,4.38,3.66,2.8200000000000003,2.8200000000000003,27.793200000000002
3.66,4.9399999999999995,4.0600000000000005,1.18,2.66,1.8599999999999999,25.0108
3.58,2.62,3.9,2.9,4.46,1.1,26.3572
4.26,4.0600000000000005,2.26,3.1,3.38,1.26,29.776400000000002
1.38,3.22,2.1,2.02,4.18,1.3,18.9772
4.98,1.54,3.5,2.42,4.78,3.34,31.102800000000002
2.38,3.94,3.54,3.14,3.06,2.3,27.6716
3.7,4.98,2.46,2.8200000000000003,3.18,2.26,31.830000000000002
3.7800000000000002,1.02,1.78,2.1,2.34,3.3,16.1988
3.06,4.300000000000001,3.46,3.98,1.02,2.8600000000000003,26.460400000000003
2.98,2.02,1.54,1.3,1.9,3.1,12.486
2.42,3.86,2.7800000000000002,1.94,2.1799999999999997,3.22,22.0612
4.66,3.2600000000000002,4.220000000000001,2.46,2.7,3.86,36.5548
4.18,3.8200000000000003,3.38,1.38,2.02,2.7,22.610799999999998
3.74,2.8600000000000003,4.74,2.2199999999999998,1.8599999999999999,3.42,29.833199999999998
4.300000000000001,2.9,1.42,1.6600000000000001,2.54,4.220000000000001,20.4964
