q,Ef,B,v,theta,F
4.778139000042942,4.920002104266006,2.3870623633431043,1.763109463914078,1.886827710617314,42.62208192905622
2.2119903617143555,4.191559355474221,3.9786147256253486,3.0507114115175327,4.644592470812513,-17.514898535768694
4.814356725168564,2.51744054242319,2.46701957825176,3.8636212564321832,1.1683407256638745,54.342106154172356
2.5227568707654235,2.246287602640041,3.382836297385388,4.566119425605873,4.5735174884116985,-32.925614095667115
3.897459918811164,4.349658914315855,1.6184447471472083,3.2606996035853544,1.1844968259584636,36.0048811132911
3.5530088454423305,2.1236118253378167,3.676818876729801,1.6371372614442254,4.0139404736980495,-8.833966254454609
4.9706801829184695,2.4370969255934773,3.9777351163816905,4.127425125323174,3.1112718228541065,14.588062078559457
1.22434571086445,3.8833222851403253,3.380084403008285,2.485339906489453,2.9956783222426098,6.249983343352728
2.3850302411293582,4.501942293823757,1.0104601031593043,1.2165351181497135,3.2034826316050227,10.55593388368218
2.5153398224742216,4.4422643130274615,1.999763660476749,3.1638222695747467,3.8716487991164135,0.5603781008447912
1.4174714233034007,3.633517211459704,2.6521019847876133,2.840447680272081,4.2841603447764784,-4.5634307319493805
1.8002519131583763,4.025300056286252,4.137453681946928,4.2683999171277245,1.9417373333401688,36.87720698853968
2.1007960189381705,3.64149671544645,4.8470746418184225,4.9270975692405905,4.757007309642441,-42.471257028109584
1.5707512055799606,4.565499625827568,4.783616598544428,4.690428842507764,2.8352453030342,17.799864285956048
4.587103664136706,2.79329217555192,4.1309706608578765,4.8566170422359,2.74648173014693,48.23604095022172
2.5630536729262694,4.432369397935664,1.9719941400885568,1.8509518435406136,2.3369589385707057,18.101623245525428
1.6622165752967226,1.7122546556869316,2.894171051059181,3.5240369004261503,1.4655594673314738,19.705570015009013
2.0952416881365425,4.089210903477234,3.6774595943426287,4.466427456956208,1.0895075165334758,39.07292510538755
3.52427298461823,3.2013850537600925,2.20346244243095,3.0152218157509494,3.1997572855446643,9.921396864726576
4.159894678773998,1.9390318470253491,3.6799972648261208,2.5251196046223576,3.110954330409152,9.250324016566532
4.7168347488783855,1.1479120158245628,3.734677984984366,1.6570524010588823,3.060050006197105,7.792136952163408
3.4865179201644234,1.5123132771077832,4.294959355839495,1.8073775449599785,3.2041594432129754,3.580473685237781
3.162720900011227,3.4772906503446164,1.8711607493008788,2.4901263727624467,1.1731240458030636,24.584205294823715
3.854417460723589,4.383473743600785,1.206697718788762,4.938558801144166,2.3937162782921355,32.51712647107486
4.424719633340078,1.5631418901203669,4.258375271757133,4.45632250212442,4.874447683406461,-75.94988723065643
3.789714262611015,2.7945653589263224,1.8045871296705247,3.679279102882196,1.8187350078753468,34.98326541090473
4.181428203848366,2.2601447304361098,1.050237319171366,2.5548847438484197,2.4768639051848216,16.371490551841358
2.4649101130918125,1.2729980457032513,3.0973510621038027,2.4122644613722057,1.5129521986560142,21.523919483931074
4.552325013867304,1.2229644464454994,4.2173764055009215,1.9937644305656752,2.2860620065798947,34.464137630452285
4.1035305106254985,1.4463352342953852,3.809825504868092,4.4681112925127575,2.0313109502743885,68.51130932788004
1.3916948874789847,4.129891243926083,1.1065236211722151,4.589738576725795,3.412792469939691,3.85413589882908
1.2151005172943132,1.4280053641312156,2.638023095635728,4.887102646188442,3.0814496198817385,2.6767685148185887
3.095355699447987,4.921926593396216,2.264260299626841,1.3491985528872859,4.796732604505972,5.812612492140694
4.195942409929562,2.8678812616066547,3.1026145263143428,2.1375131782777466,1.8421581408431116,38.84216940556794
2.672757793410432,4.959550639427729,2.6226595762063187,1.2238433402871314,3.1774406760250664,12.948209896286787
3.9494489669937964,2.747276529354357,2.8574406561113217,2.8203843961741315,3.703878601635335,-6.118460923184048
3.3053861880063398,3.783483956463419,1.8381260218275548,1.9717101472835237,1.5462873842372602,24.48182941193557
1.9631448110518448,4.674039089467394,4.375186562970956,1.037717242345226,3.793646209372657,3.767179234632232
4.930419490945932,3.942820957359016,2.7871896621401056,1.6343184553292318,3.671973923954705,8.07868791038489
2.9332321546548408,1.6579691161683725,4.4483339204752115,1.6298914644243538,4.86437384072042,-16.15845624693235
4.855185139544699,2.47601955688382,1.0768234152436835,3.123877820718701,3.3476617323574738,8.67974368882496
1.4028835209433512,3.2365844880333214,1.7959437012433723,3.6075744834826113,2.1740240303035936,12.025655988394506
2.5614626331962294,3.183682249980811,4.1783256974011485,1.0381348304621252,2.7587695608688128,12.305207088310752
4.673016957463075,3.0378142759881666,2.159912726158018,2.5779652443502137,1.0373158923140635,36.60025174658181
3.2990985688867474,3.267114381908317,3.571441549029033,2.5737708930344314,1.9980015721967703,38.37864416055703
3.18656805790039,2.850211581976032,1.586045113942911,3.640343829188009,3.980275535768048,-4.601696496424443
3.5155878838832155,4.6189860325556245,2.8729415392611153,1.4721603108216883,3.243576787023186,14.7246831610851
2.0463500214754182,2.2037349573516045,3.2749107473504533,2.603190348256045,4.61028972630683,-12.845113338536663
2.6101837190392705,2.4486147887743672,2.9257150590923615,4.256994288994755,3.560942387893613,-6.8453231217424735
3.302220658099768,2.177262055968439,2.7536314920522433,2.63840316403911,3.6680621880030215,-4.865426942965697
2.697823745395021,4.340012099825529,2.2762066892795723,2.1913860679359933,3.425442114069599,7.9399481106569985
2.994157415501329,1.7602752341255048,1.7869206488814506,1.3378496703878704,3.8454690975583814,0.6380909172723871
4.396591862184726,3.812352019331472,1.7380843220619655,4.7230174958540925,4.402452807653816,-17.610621746229864
1.194810650699059,2.6988252715998464,2.4341579879007624,2.2553005927413885,2.742380041152048,5.7741085051557075
2.043528993140312,4.8953183816287815,1.28435146490596,4.275111612707939,2.518779018881341,16.548897726911832
3.192482436514608,4.25475175866006,3.476661456943157,1.5551092800957536,2.218561275051194,27.347288481508926
2.9342976674322023,2.1151382277241297,1.8990882149427,1.4421519515732617,3.8102043485091515,1.2247172141054952
3.8076949429363554,1.739660462073259,2.9181441793155227,3.636304477279536,1.1962880961933924,44.22801249652981
4.483341755880404,2.045281596410163,2.333704349289396,4.1862048040207895,3.325643351247172,1.1538217433822031
2.6311731207331768,1.8245018091607996,2.191900713628722,4.183491665107733,4.631100255167362,-19.24707578906405
1.91561166852242,3.6154088141597183,2.5656095808033683,2.0652738716786883,4.935856172382655,-2.9721202891926017
1.1940887193368708,3.4369309603933846,3.580769188557352,2.9993151233502515,3.5065427020843014,-0.4730401962246721
2.737134172663186,1.0407296686353282,2.283326637273931,4.622269689575818,1.1997293379210359,29.77064762585943
3.3728346403683798,1.4100969870691928,2.927852347803276,4.703524108301576,1.915766818479264,48.46761816257206
1.001597701698434,1.8157536344288308,2.3600281628807394,2.4367305133021504,4.962165216618382,-3.7625420826465117
3.723879163764707,3.9174935285753154,2.6930695938580658,1.5909685328390193,2.4510662398318197,24.750885254335675
4.217897283948709,2.8521673683682613,4.381597709157258,1.1995839877658478,2.1467313000107158,30.62348172229696
3.160303680771948,4.347509381418137,1.8019654566789989,2.891041467856148,1.2293435963489294,29.252764393670358
2.3673865735975874,4.0514379817769814,3.9844581751556665,2.9280767597345814,2.2120846131061502,31.72379578816612
4.995021642548322,4.984154460641005,3.707444609183613,4.300602899764407,2.86803981381308,46.4115158006526
4.6177049587502035,3.7066285778460726,3.5412321576290973,3.3779069489880587,1.6048117194896718,72.32093283857355
3.3740885602266943,4.434947870298432,2.2231135641972464,4.431146232779994,4.040335751163095,-11.046283003627488
4.491402329131949,4.344750929477022,3.177755589007192,1.9104008368140464,4.719857016238737,-7.751561801991615
1.93030841432548,1.880556553093922,3.8015466952221715,1.6826194180145817,4.858430574166015,-8.585833351647981
4.205255335519359,3.9036419066722647,3.864320873801127,2.781228404221672,2.8485324078783183,29.472248903657928
1.6125274212892615,2.44405530383292,1.4093649853478802,3.697344588355695,1.3388468320036484,12.118813949330132
1.6084382281919316,3.069145210062841,1.1004988123834294,3.0463953048967234,1.7045868061031846,10.280717632649749
2.8763774034215452,2.5229967400531037,4.8542040272554905,3.6777543935219863,3.1797183015335184,5.299785237002552
1.9867552062665623,3.5352178079296617,3.9284994905771966,2.6792114539342062,3.6316550019081824,-2.8188695555052603
3.1131833519051173,1.3618189586118128,3.7675893242828535,4.15017157610038,4.7002014271229715,-44.43497004119219
