q,Ef,B,v,theta,F
4.98,1.3399999999999999,3.06,2.7,3.62,-12.268445077819578
1.42,1.78,3.5,3.06,1.54,17.728588737014245
2.74,2.1799999999999997,1.3,2.38,1.8599999999999999,14.09869781057848
3.86,3.18,1.18,1.1,2.06,16.697410985646258
3.02,1.58,1.1,4.54,1.5,19.81569968856396
2.3,2.7800000000000002,3.42,3.66,2.02,32.32743963493217
1.7,3.1,2.1,3.8200000000000003,1.06,17.166660654931515
1.26,2.98,2.34,2.62,4.98,-3.6950462533148754
4.78,3.94,2.62,4.38,1.82,71.9920996786391
4.46,3.34,4.78,4.140000000000001,2.14,89.24034238473786
1.1,4.859999999999999,4.5,1.62,2.3,11.325810096445123
2.46,1.74,4.38,3.46,2.5,26.591925097687938
1.6600000000000001,1.38,3.3,4.42,3.58,-7.987467455593309
4.140000000000001,3.66,3.02,2.8200000000000003,4.34,-17.68894779422928
2.8200000000000003,3.3,3.8200000000000003,4.66,4.46,-39.30299794690238
3.3,1.6600000000000001,3.46,2.1799999999999997,4.9,-18.976463769459283
1.18,4.18,2.3,1.78,2.58,7.505033535608599
3.7,4.0600000000000005,1.42,4.62,4.300000000000001,-7.216535542369162
3.94,2.66,4.54,4.1,4.02,-45.97044857619526
2.7800000000000002,3.38,4.300000000000001,2.66,1.42,40.83319284052437
4.9399999999999995,1.82,3.54,3.94,3.42,-9.944934184686092
2.06,1.22,2.06,4.7,4.0600000000000005,-13.335746458051311
3.2600000000000002,1.7,4.859999999999999,4.18,1.26,68.5953710805782
4.82,2.9,4.98,1.6600000000000001,3.22,10.856982904168705
1.78,3.7800000000000002,2.42,1.3,3.3,5.845043042281108
3.9,2.02,3.66,1.5,1.1,26.95964078627539
1.3399999999999999,2.38,1.7,3.3,1.62,10.697502017565315
4.5,1.42,4.26,3.42,1.1400000000000001,65.96128409225186
1.02,3.9,4.220000000000001,1.98,2.7800000000000002,6.993031630870193
3.74,4.1,4.34,1.42,1.6600000000000001,38.291229452515545
2.1,2.94,3.98,1.22,2.34,13.500013063375544
2.42,1.62,4.7,2.8600000000000003,4.859999999999999,-28.255488648546972
3.46,2.58,1.22,1.58,4.62,2.2857482462020475
4.300000000000001,2.42,1.06,1.02,2.98,11.154004816734098
1.58,3.98,3.18,1.82,4.58,-2.775988678645319
1.06,4.74,2.38,1.06,3.14,5.028659021464376
3.42,3.22,2.58,2.5,3.8200000000000003,-2.8308097833061385
3.8200000000000003,4.26,3.94,4.02,4.5,-42.87149338571444
2.7,4.7,3.62,3.22,1.46,43.96930341643305
2.14,4.62,1.94,4.9399999999999995,2.9,14.793541524913962
1.3,4.02,1.62,1.9,1.78,9.140155902481709
2.1799999999999997,3.2600000000000002,2.7,2.14,2.42,15.427507234560863
1.82,1.94,4.9399999999999995,1.94,4.54,-13.652820612013105
3.54,4.300000000000001,2.74,4.26,2.38,43.73610258276775
4.220000000000001,1.54,3.74,3.7800000000000002,1.98,61.23221629515022
3.06,2.1,4.82,1.1400000000000001,3.5,0.5278999407026953
1.94,2.26,2.46,2.3,4.9399999999999995,-6.309016338674358
1.46,2.06,1.82,2.02,1.7,8.330404503355286
4.74,4.98,1.6600000000000001,1.7,3.54,18.415859895354394
4.38,4.46,3.38,1.18,3.7800000000000002,9.124607601195198
2.34,2.54,4.66,1.46,3.7,-2.49161601378696
4.859999999999999,2.3,2.9,2.1,1.58,40.7741464464818
1.38,4.9399999999999995,2.8200000000000003,3.58,4.38,-6.352171056687223
1.74,2.14,4.18,1.8599999999999999,2.94,6.432341668273789
3.7800000000000002,4.5,2.2199999999999998,3.54,4.18,-8.58482498221254
4.42,3.14,3.1,3.74,1.74,64.39245246463378
3.14,4.66,3.7800000000000002,4.98,4.78,-44.34116732720456
1.9,3.5,1.9,3.9,3.98,-3.8188506971964418
3.66,2.74,2.8600000000000003,3.7,1.9,46.678715952144096
1.62,3.54,3.14,2.58,1.18,17.869277528906167
