q2,Ef,F
1.1,2.26,2.4859999999999998
1.94,3.74,7.2556
4.78,2.98,14.2444
4.0600000000000005,1.3,5.2780000000000005
1.18,2.62,3.0916
1.6600000000000001,4.300000000000001,7.138000000000002
2.14,1.8599999999999999,3.9804
2.5,2.8600000000000003,7.15
3.86,1.1400000000000001,4.4004
1.3399999999999999,2.14,2.8676
3.98,2.1,8.358
2.38,2.58,6.1404
1.22,3.3,4.026
3.62,3.46,12.5252
3.5,4.78,16.73
2.74,2.46,6.7404
1.62,1.06,1.7172000000000003
4.62,1.9,8.778
1.74,3.18,5.5332
2.42,4.38,10.599599999999999
1.9,3.06,5.814
2.02,3.62,7.3124
1.3,1.22,1.586
3.66,4.66,17.055600000000002
3.3,1.1,3.63
2.8600000000000003,4.58,13.098800000000002
1.1400000000000001,3.8200000000000003,4.354800000000001
1.82,1.26,2.2932
1.46,3.5,5.109999999999999
2.9,3.9,11.309999999999999
3.46,4.42,15.293199999999999
3.1,2.02,6.2620000000000005
4.82,2.8200000000000003,13.592400000000001
1.02,1.5,1.53
4.46,2.5,11.15
4.5,3.02,13.59
1.06,4.5,4.7700000000000005
2.1799999999999997,3.94,8.589199999999998
1.7,4.220000000000001,7.174000000000001
1.98,4.46,8.8308
2.2199999999999998,2.94,6.526799999999999
2.7,1.6600000000000001,4.482000000000001
4.66,4.34,20.2244
4.300000000000001,2.2199999999999998,9.546000000000001
1.54,1.42,2.1868
1.5,4.7,7.050000000000001
2.7800000000000002,1.46,4.058800000000001
1.26,4.0600000000000005,5.115600000000001
2.66,2.3,6.117999999999999
2.46,3.66,9.0036
2.26,1.7,3.8419999999999996
3.9,1.18,4.601999999999999
4.859999999999999,3.38,16.426799999999997
2.54,4.62,11.7348
1.58,2.42,3.8236
2.3,1.82,4.186
1.42,4.54,6.4468
4.02,1.94,7.798799999999999
3.8200000000000003,3.34,12.7588
3.34,4.98,16.633200000000002
4.18,1.98,8.276399999999999
2.98,4.82,14.3636
4.74,4.74,22.4676
4.98,4.859999999999999,24.2028
3.14,2.06,6.468400000000001
3.94,3.2600000000000002,12.8444
4.7,2.66,12.502
2.58,1.3399999999999999,3.4572
3.38,3.1,10.478
2.62,1.58,4.139600000000001
2.94,4.26,12.5244
1.38,2.1799999999999997,3.0083999999999995
3.74,2.7,10.098
4.34,1.38,5.989199999999999
4.140000000000001,3.7800000000000002,15.649200000000004
3.02,3.14,9.482800000000001
3.7800000000000002,2.54,9.6012
1.8599999999999999,4.140000000000001,7.7004
3.54,2.34,8.2836
4.1,1.62,6.6419999999999995
4.38,4.1,17.958
3.22,2.38,7.6636
3.58,1.78,6.3724
1.78,3.86,6.8708
4.220000000000001,1.02,4.304400000000001
3.18,4.02,12.7836
2.8200000000000003,3.58,10.095600000000001
2.34,2.9,6.786
4.26,4.18,17.8068
3.42,2.7800000000000002,9.5076
4.42,1.74,7.690799999999999
2.06,4.9,10.094000000000001
3.06,3.22,9.853200000000001
4.9,2.74,13.426000000000002
3.7,3.42,12.654
4.58,3.98,18.2284
2.1,3.54,7.434
4.54,4.9399999999999995,22.427599999999998
3.2600000000000002,3.7,12.062000000000001
4.9399999999999995,1.54,7.6076
