m,v,u,w,K
3.86,4.7,2.3,1.3399999999999999,56.308908
4.300000000000001,3.74,1.8599999999999999,3.18,59.253140000000016
2.74,4.140000000000001,4.62,3.1,65.88878000000001
3.3,2.14,4.26,4.300000000000001,68.00838
1.18,3.8200000000000003,4.5,3.3,26.982115999999998
2.46,4.74,3.58,1.38,45.741732
3.7800000000000002,3.66,2.74,2.06,47.52745200000001
2.62,1.06,2.9,2.38,19.909380000000002
2.8600000000000003,4.58,2.94,4.82,75.57893200000001
2.98,1.6600000000000001,1.06,1.82,10.715484000000002
1.74,1.1,4.98,4.62,41.198676000000006
2.66,2.8600000000000003,3.42,3.58,43.480892000000004
1.5,3.9,1.54,1.42,14.6985
3.46,3.22,1.1400000000000001,3.94,47.041468
2.7800000000000002,2.06,1.7,3.7,28.944804
4.5,4.9399999999999995,2.46,3.5,96.08669999999998
3.62,4.859999999999999,2.54,3.34,74.620508
2.8200000000000003,3.3,3.34,1.46,34.089852
4.66,2.7,4.78,4.98,128.007404
1.38,4.62,1.18,1.9,18.179291999999997
2.54,1.58,4.66,4.58,57.389268
3.7,3.98,2.8200000000000003,4.18,76.34062
3.74,3.06,3.38,1.3,42.03386
1.42,2.74,2.7800000000000002,1.58,12.590004
2.26,2.02,4.859999999999999,2.14,36.47594799999999
2.42,1.98,2.2199999999999998,2.8600000000000003,20.604364
1.8599999999999999,3.02,2.98,1.6600000000000001,19.303451999999997
3.02,3.54,3.7800000000000002,3.22,56.154484000000004
4.78,1.54,2.14,3.66,48.62885200000001
1.6600000000000001,3.18,3.14,4.46,33.086788000000006
1.1400000000000001,4.0600000000000005,1.22,2.94,15.170892000000002
4.859999999999999,3.5,2.42,4.859999999999999,101.39417999999999
1.62,4.5,4.140000000000001,3.46,39.982572000000005
1.78,3.7,3.98,4.26,42.43342
4.34,2.66,4.220000000000001,3.14,75.39361200000002
1.98,4.54,1.62,3.06,32.273604
2.7,1.26,1.6600000000000001,3.98,27.247860000000003
3.94,2.42,4.7,2.9,71.62210800000001
3.58,3.46,2.02,1.06,30.744324
3.66,2.58,1.3,2.1,23.344212000000002
1.82,4.220000000000001,3.8200000000000003,1.62,31.872932000000006
1.3,1.8599999999999999,3.54,3.2600000000000002,17.302220000000002
4.7,2.2199999999999998,4.74,2.1799999999999997,75.54874000000001
2.14,4.38,2.06,4.02,42.359587999999995
1.3399999999999999,1.5,1.98,1.1400000000000001,5.0049
3.14,2.38,1.58,4.78,48.684444
4.26,2.34,3.02,4.140000000000001,67.596828
4.46,1.7,4.54,3.62,81.63138000000001
2.38,1.22,3.1,4.9,41.778996
4.18,2.26,3.9,3.8200000000000003,72.96189999999999
3.38,2.98,3.94,3.38,60.549996
3.5,3.42,4.300000000000001,3.02,68.78690000000002
1.26,2.94,2.1799999999999997,1.98,10.909332
3.54,1.94,1.02,1.5,12.48558
1.7,2.54,3.7,4.1,31.408859999999997
4.42,1.3399999999999999,4.38,3.54,74.060636
1.22,4.78,1.46,1.18,16.087163999999998
3.42,2.62,2.1,3.74,43.19802
2.3,3.2600000000000002,2.62,4.0600000000000005,39.07194
2.5,4.66,1.1,2.54,36.721500000000006
4.02,2.5,1.26,2.8200000000000003,31.737900000000003
3.8200000000000003,3.86,4.02,1.54,63.854355999999996
4.0600000000000005,3.34,4.82,1.26,73.03046800000003
2.9,1.18,4.46,4.9399999999999995,66.24701999999998
4.1,3.38,3.2600000000000002,2.74,60.597179999999994
3.22,1.9,1.78,4.34,41.23854
2.02,1.74,3.62,2.46,22.405436
1.06,1.78,1.42,1.1,3.389244
1.9,3.58,3.66,4.74,46.24562
1.02,2.7800000000000002,2.34,4.5,17.06154
3.18,4.1,2.5,2.7,48.2565
3.98,2.9,4.42,2.62,69.273492
3.06,4.02,1.82,2.58,39.977675999999995
4.54,1.1400000000000001,3.46,4.66,79.42003600000001
2.1799999999999997,4.42,2.8600000000000003,2.42,36.593916
4.98,4.300000000000001,3.3,1.8599999999999999,81.77060400000002
1.54,3.7800000000000002,4.58,1.22,28.299964
4.9,1.62,4.34,2.98,74.33398000000001
3.1,4.26,1.5,2.66,42.58346
4.74,2.1799999999999997,1.3399999999999999,2.5,30.331259999999997
2.58,1.3,2.66,4.7,39.803724
2.2199999999999998,4.98,2.58,2.7800000000000002,43.495572
4.38,2.1,2.26,1.94,29.085827999999996
3.2600000000000002,2.3,3.5,2.3,37.2129
1.46,3.14,1.94,3.7800000000000002,20.375467999999998
4.82,1.02,2.7,4.220000000000001,62.99450800000002
4.220000000000001,4.18,3.18,3.86,89.642084
4.58,4.46,2.38,1.02,60.905756000000004
2.94,2.8200000000000003,3.86,4.38,61.793508
4.62,3.1,3.06,2.2199999999999998,55.213620000000006
2.06,3.62,3.74,3.42,39.952052
1.58,2.46,4.18,4.54,34.867124
3.34,4.34,4.0600000000000005,1.78,64.274292
4.140000000000001,4.9,4.1,3.9,115.98210000000003
2.1,3.94,1.38,2.34,24.04878
3.9,4.82,1.74,2.26,61.166819999999994
4.9399999999999995,1.46,4.9,1.7,71.70805200000001
1.94,1.82,4.9399999999999995,2.02,30.842507999999995
2.34,1.38,3.22,1.74,17.901467999999998
1.1,1.42,1.9,4.42,13.839540000000001
