k_spring,x,U
3.86,4.74,43.362468
4.66,4.18,40.710691999999995
2.26,4.7,24.9617
3.5,2.3,9.257499999999999
2.06,2.9,8.6623
4.58,4.859999999999999,54.088883999999986
2.62,4.300000000000001,24.22190000000001
3.7800000000000002,3.62,24.767316
4.78,1.54,5.668124
4.74,3.5,29.032500000000002
3.58,4.82,41.585996
4.54,1.3,3.8363000000000005
1.18,2.54,3.806444
2.66,1.58,3.3202120000000006
4.5,2.2199999999999998,11.088899999999997
4.0600000000000005,2.62,13.934732000000004
2.74,1.6600000000000001,3.775172000000001
4.7,1.78,7.445740000000001
3.8200000000000003,3.66,25.585596000000006
1.58,4.5,15.9975
3.66,3.9,27.8343
4.18,2.7800000000000002,16.152356
1.98,3.18,10.011276
2.42,4.38,23.213124
2.94,2.94,12.706091999999998
3.7,1.1,2.2385000000000006
2.02,2.7,7.362900000000001
3.3,2.38,9.34626
2.9,2.5,9.0625
4.42,2.74,16.591796000000002
3.62,3.7800000000000002,25.862004000000002
3.54,3.38,20.221187999999998
1.9,4.26,17.240219999999997
2.1799999999999997,1.42,2.1978759999999995
1.3,4.34,12.24314
1.02,4.140000000000001,8.741196000000002
3.46,1.74,5.237748
1.62,2.42,4.743684
2.5,3.98,19.8005
1.46,2.66,5.165188000000001
4.859999999999999,1.3399999999999999,4.363307999999998
3.9,1.82,6.45918
3.74,1.18,2.6037879999999998
3.42,2.1,7.5411
4.9,4.46,48.73442000000001
4.26,3.02,19.426451999999998
4.9399999999999995,3.8200000000000003,36.043228
1.3399999999999999,3.34,7.474251999999999
2.2199999999999998,1.38,2.113883999999999
4.140000000000001,4.98,51.33682800000001
3.22,4.54,33.184676
1.42,1.26,1.127196
4.300000000000001,3.74,30.07334000000001
4.98,2.02,10.160196000000001
3.98,2.58,13.246236000000001
1.38,3.46,8.260404
3.38,2.46,10.227203999999999
3.2600000000000002,3.3,17.7507
1.94,4.62,20.704068
1.06,3.1,5.093300000000001
2.7800000000000002,3.22,14.412076000000003
4.62,1.98,9.056124
2.14,3.86,15.942572
2.34,1.9,4.2237
2.8200000000000003,3.06,13.202676000000002
1.78,1.7,2.5721
4.82,3.58,30.887524000000003
3.18,4.9,38.17590000000001
1.1,1.1400000000000001,0.7147800000000002
3.06,1.5,3.4425
2.98,1.8599999999999999,5.1548039999999995
4.1,4.58,43.00162
2.58,1.02,1.342116
3.02,4.66,32.790556
1.22,2.34,3.340115999999999
4.220000000000001,1.62,5.537484000000002
1.54,4.9399999999999995,18.790771999999997
2.8600000000000003,3.54,17.920188000000003
1.26,2.8200000000000003,5.0100120000000015
1.1400000000000001,2.14,2.6103720000000004
2.46,3.14,12.127308000000001
4.38,4.78,50.037996
4.02,3.94,31.202435999999995
3.94,3.42,23.041907999999996
1.7,2.26,4.341459999999999
2.54,2.06,5.389372
3.34,3.7,22.8623
3.1,1.06,1.7415800000000004
1.74,4.02,14.059547999999996
2.3,3.2600000000000002,12.22174
2.38,4.220000000000001,21.191996000000007
2.7,2.1799999999999997,6.415739999999999
1.6600000000000001,4.42,16.215212
1.82,1.46,1.9397559999999998
1.8599999999999999,2.8600000000000003,7.6070280000000015
2.1,4.1,17.6505
4.46,4.0600000000000005,36.75842800000001
3.14,1.94,5.9088519999999995
1.5,1.22,1.1162999999999998
4.34,2.98,19.270467999999997
