m_0,v,c,p
4.46,1.905,7.9350000000000005,8.752267132688571
2.34,1.775,9.475000000000001,4.228358577096996
4.18,1.595,8.844999999999999,6.778218333333333
3.74,1.7650000000000001,7.165,6.810984584022771
4.62,1.665,3.035,9.20037853906877
1.02,1.885,5.975,2.026172930408938
3.8200000000000003,1.465,9.615,5.6624136420587385
3.18,1.045,6.675000000000001,3.3645875446039484
2.58,1.275,4.715,3.4167952551884087
1.62,1.2349999999999999,7.515000000000001,2.028276265624874
3.98,1.225,4.645,5.054436857000612
3.66,1.725,6.535,6.545656560476195
2.1,1.855,3.8049999999999997,4.461617639478399
3.34,1.7850000000000001,4.295,6.55479637785532
2.38,1.105,7.585,2.6582598331076834
3.7800000000000002,1.935,9.545,7.469395049841933
1.7,1.405,8.215,2.4242182782055637
1.42,1.205,8.775,1.7274651953053923
1.8599999999999999,1.495,6.955,2.847256515107381
1.3,1.075,3.245,1.4811354525496006
3.9,1.025,8.425,4.027417175465247
2.7800000000000002,1.425,3.875,4.260007759127764
4.859999999999999,1.315,3.105,7.054820633502607
3.7,1.945,6.395,7.554380362440307
2.1799999999999997,1.455,7.655,3.230796834743627
3.14,1.525,6.255000000000001,4.937492363293651
4.300000000000001,1.295,5.205,5.749285834894998
1.54,1.365,5.415,2.172248343101436
4.5,1.9649999999999999,4.785,9.69796405347946
1.46,1.675,6.605,2.528144313636576
4.1,1.635,4.855,7.119353599152256
2.3,1.815,9.405000000000001,4.2544747340732485
1.1,1.345,9.055,1.4960963571418258
4.38,1.505,8.565000000000001,6.696083982162368
2.02,1.995,8.285,4.152072251242243
2.2199999999999998,1.925,6.885,4.45101297659061
2.54,1.585,4.4350000000000005,4.310582204832504
4.98,1.165,5.555,5.933656956273992
2.9,1.055,5.905,3.1095308537318536
1.74,1.125,8.635000000000002,1.9743276842885014
3.1,1.005,9.335,3.1337136389209355
1.94,1.565,4.365,3.252325149841422
4.02,1.375,3.385,6.049032518493776
2.74,1.745,9.895,4.8574294116211885
3.42,1.545,7.865,5.388898030872987
4.9,1.475,7.0249999999999995,7.392281124299254
1.6600000000000001,1.8250000000000002,4.155,3.3722008416287244
4.26,1.435,4.085,6.529216736734543
1.9,1.915,6.465,3.8094580971379632
2.8200000000000003,1.385,3.5250000000000004,4.247274892158562
1.06,1.975,9.754999999999999,2.1377722456926693
4.78,1.335,6.1850000000000005,6.53535339404709
1.82,1.835,9.965,3.397805250891632
4.7,1.445,9.685,6.868377266165514
3.22,1.605,6.115,5.355875199545904
4.34,1.7349999999999999,4.575,8.137789605276634
2.5,1.325,4.925000000000001,3.439306359356047
1.5,1.865,6.815,2.9085296358967825
4.54,1.215,3.5949999999999998,5.860976887918598
3.54,1.845,8.915,6.675827980606866
4.220000000000001,1.5150000000000001,5.835,6.620341634302048
2.62,1.415,5.345000000000001,3.8444641689929124
3.38,1.895,3.175,7.982899829489455
1.58,1.9849999999999999,7.305,3.2589233441232137
2.46,1.655,8.985,4.142174448681494
3.3,1.095,3.315,3.8283867972786334
3.86,1.185,7.375,4.6343141766393625
3.06,1.755,8.075,5.501812430826394
2.06,1.155,3.665,2.5070488928296135
3.94,1.4849999999999999,8.355,5.945566102835742
4.140000000000001,1.575,3.9450000000000003,7.111876312606881
4.9399999999999995,1.255,5.484999999999999,6.368646957838308
3.02,1.135,8.495000000000001,3.458709899656624
1.3399999999999999,1.2650000000000001,5.0649999999999995,1.7505766052824128
2.8600000000000003,1.305,4.015000000000001,3.9465865623604617
1.38,1.065,8.145,1.4824270768896974
4.82,1.5550000000000002,4.505,7.985919109389144
1.1400000000000001,1.615,4.225,1.9924040417584497
1.18,1.245,9.265,1.4825462144825707
3.5,1.8050000000000002,3.455,7.4089806087035965
4.74,1.2850000000000001,9.825,6.143672596426678
3.58,1.955,6.745,7.312811171118629
2.94,1.175,6.045,3.521668095104054
3.46,1.035,3.7350000000000003,3.7270565573535723
3.62,1.085,5.135,4.018426717715782
2.42,1.685,7.445,4.186328871054665
3.2600000000000002,1.195,7.234999999999999,3.9499516916068473
1.78,1.115,9.195,1.9994547971879917
4.66,1.705,8.004999999999999,8.131894705148808
4.42,1.645,7.095,7.474576721204703
1.26,1.015,5.275,1.3032535874043583
2.26,1.355,5.695,3.152840782198697
1.98,1.7149999999999999,5.765000000000001,3.556725230679405
2.14,1.395,8.705,3.0243871282439385
2.66,1.795,7.795,4.906561878800696
2.98,1.145,5.625,3.4850654305342377
4.0600000000000005,1.5350000000000001,9.125,6.322193679050776
4.58,1.625,7.7250000000000005,7.61283835585849
2.7,1.695,4.995,4.865180198067097
1.22,1.875,6.324999999999999,2.3951609414895967
