x,c,u,t,t1
2.1,5.835,1.115,4.9,4.921924881246595
4.26,4.785,1.395,3.7,3.5966915110808593
1.5,8.985,1.645,1.98,1.9829521369395957
2.54,4.365,1.025,2.66,2.5959435134663438
1.3399999999999999,4.575,1.775,1.8599999999999999,1.894783802465199
1.26,5.135,1.815,2.06,2.1094325922864554
2.8600000000000003,8.775,1.165,1.6600000000000001,1.631168448331889
1.54,3.8049999999999997,1.415,3.5,3.6082700463680077
3.8200000000000003,8.285,1.385,1.02,0.9563804486146587
3.54,9.685,1.525,2.2199999999999998,2.1897627043537806
3.14,9.754999999999999,1.905,1.1,1.057501068369901
1.98,9.265,1.545,3.66,3.6758315249605897
2.9,9.825,1.915,1.3,1.2667643796067063
4.18,8.565000000000001,1.105,4.42,4.393756526316384
2.74,8.075,1.845,3.1,3.1045944263146055
1.9,7.585,1.835,2.7800000000000002,2.802651987655793
1.6600000000000001,6.045,1.005,4.02,4.030436848983561
1.62,4.015000000000001,1.5550000000000002,1.3399999999999999,1.283935552944556
2.66,8.635000000000002,1.225,2.94,2.9258910441912995
4.74,5.765000000000001,1.605,1.38,1.198478297483348
2.02,7.865,1.795,1.94,1.9323829471792036
2.2199999999999998,8.145,1.935,4.38,4.442432152907689
2.94,9.965,1.095,3.34,3.327732033070492
2.7,5.345000000000001,1.175,1.42,1.3417759072791475
2.38,6.324999999999999,1.315,2.74,2.72123011835486
3.7,5.484999999999999,1.865,2.3,2.201822022627178
4.38,5.905,1.295,2.8200000000000003,2.723634891890293
2.5,6.955,1.255,1.18,1.1337486784687334
2.1799999999999997,5.205,1.345,3.38,3.386799911254334
4.78,3.035,1.655,3.98,3.7234866215761993
3.38,5.415,1.2850000000000001,2.1799999999999997,2.091623046575196
1.74,3.875,1.5350000000000001,1.58,1.5270454633277077
1.02,6.1850000000000005,1.205,3.94,3.9842166432025654
4.220000000000001,6.115,1.4849999999999999,3.02,2.9404327050565784
4.7,7.234999999999999,1.5150000000000001,3.74,3.6856807128626956
4.42,4.925000000000001,1.755,4.26,4.217022832223971
1.8599999999999999,7.165,1.2650000000000001,3.06,3.062272412536572
4.54,7.655,1.2349999999999999,3.2600000000000002,3.20631994386944
3.98,4.645,1.9649999999999999,2.8600000000000003,2.756309596577439
1.94,4.155,1.435,1.78,1.7248815347767932
3.22,6.815,1.575,4.7,4.718544288277119
3.02,9.195,1.155,1.74,1.712306520104176
1.3,8.425,1.945,4.74,4.834985790733136
1.38,5.555,1.8250000000000002,2.38,2.4334594211713636
3.5,7.0249999999999995,1.505,3.9,3.8834285255479846
4.140000000000001,5.625,1.7850000000000001,3.54,3.486653638993219
4.62,9.545,1.075,2.46,2.4208897830268605
4.34,3.385,1.425,4.54,4.410074865124247
2.46,7.9350000000000005,1.475,4.140000000000001,4.154783908986055
4.859999999999999,4.505,1.405,3.3,3.1191207396901848
3.86,5.975,1.135,4.859999999999999,4.8251374626149115
1.82,8.844999999999999,1.455,2.58,2.5813164946886418
2.3,7.445,1.065,4.62,4.623355979396416
3.18,6.745,1.375,4.78,4.784356559717601
3.2600000000000002,3.105,1.855,1.9,1.5871209742591181
3.66,3.7350000000000003,1.615,2.62,2.4357614781724055
2.98,4.295,1.335,3.62,3.58175554567902
1.7,8.915,1.045,1.62,1.6087380224133803
3.9,6.255000000000001,1.625,1.1400000000000001,1.0127940070339712
3.34,7.095,1.085,2.14,2.0926238617667363
4.58,3.5250000000000004,1.185,3.7800000000000002,3.549811761404529
4.98,6.395,1.245,4.58,4.514778699022559
4.82,9.055,1.055,2.98,2.9379905139013385
2.34,9.405000000000001,1.035,1.5,1.4816185950604395
2.62,3.175,1.125,4.18,4.157334536380246
1.46,9.895,1.275,2.54,2.542180189488349
3.94,4.085,1.7349999999999999,1.82,1.5578439108509194
4.9,4.225,1.7650000000000001,2.1,1.77809366944317
1.06,8.004999999999999,1.215,1.22,1.2139663670514567
2.26,6.675000000000001,1.685,4.82,4.892996148245496
4.300000000000001,7.305,1.7149999999999999,2.02,1.9359123023646583
2.06,7.7250000000000005,1.465,2.42,2.413221191256048
3.74,9.475000000000001,1.665,1.7,1.6564121923692914
1.42,4.4350000000000005,1.595,2.34,2.38438645386823
2.42,3.455,1.885,3.14,3.290778778808628
2.8200000000000003,7.795,1.695,2.26,2.2348083345821603
1.18,6.535,1.365,4.0600000000000005,4.113007735707815
3.62,4.855,1.195,4.9399999999999995,4.907452623356596
4.02,3.9450000000000003,1.705,2.5,2.2839138040341243
2.58,7.375,1.875,4.300000000000001,4.354128551823804
3.06,6.465,1.585,3.58,3.5730027319496505
4.1,8.495000000000001,1.565,2.7,2.656555588814651
1.78,3.665,1.745,1.54,1.4882776073521342
3.42,3.245,1.995,1.26,0.7760379409331352
4.46,6.885,1.145,4.220000000000001,4.170344740929784
4.9399999999999995,8.355,1.305,3.86,3.8144655476027935
3.7800000000000002,4.715,1.955,4.66,4.755654157389331
2.14,5.695,1.8050000000000002,4.34,4.450344097815003
3.1,7.515000000000001,1.925,1.06,0.9872737049331166
1.22,8.215,1.355,3.46,3.4832133747899268
3.46,4.995,1.635,2.9,2.829115882886395
3.58,9.125,1.495,4.1,4.0910016052367535
1.1,9.615,1.445,3.42,3.4418977337697316
2.7800000000000002,8.705,1.9849999999999999,4.98,5.039959208440124
3.3,3.315,1.975,1.46,1.079398584165925
4.5,5.275,1.325,3.8200000000000003,3.7251506310144507
4.0600000000000005,3.5949999999999998,1.895,3.22,3.0886420202989218
1.58,9.335,1.015,3.18,3.180452845453868
4.66,6.605,1.725,4.46,4.429470074669816
1.1400000000000001,5.0649999999999995,1.675,4.5,4.6894148289683635
