x,u,c,t,x1
5.825,1.8050000000000002,19.915,1.8250000000000002,2.541334726540504
7.175,1.365,8.695,1.7650000000000001,4.825609150755158
6.025,1.545,14.985000000000001,1.035,4.449638573612943
8.325,1.865,7.165,1.115,6.4684963272431535
9.325,1.595,12.095,1.445,7.082075147121807
8.925,1.745,18.045,1.645,6.08298404483639
9.575,1.175,3.765,1.845,7.796528984091079
5.875,1.655,17.535,1.585,3.2664062612018157
9.225,1.7850000000000001,16.515,1.205,7.115760456775802
6.725,1.025,14.815000000000001,1.955,4.7324652469347805
6.125,1.895,15.325,1.175,3.928524958077174
8.175,1.345,9.885000000000002,1.615,6.0591756537950765
5.025,1.475,8.865,1.195,3.3084923268515207
6.675,1.9649999999999999,4.105,1.755,3.674798271219768
8.125,1.815,3.935,1.635,5.812728190738514
8.425,1.135,10.395,1.215,7.088354751497143
7.925,1.5550000000000002,14.135,1.005,6.401076895135157
9.625,1.105,19.575,1.275,8.229246923525318
9.425,1.635,16.345,1.095,7.673160795474842
5.425,1.445,17.365000000000002,1.365,3.46459105414742
6.625,1.775,13.285,1.9649999999999999,3.165506682564958
9.075,1.195,19.065,1.145,7.721908925594316
6.925,1.355,19.405,1.855,4.422269358876801
5.525,1.855,9.035,1.925,1.9966610031252945
6.575,1.615,19.235,1.105,4.80739994421417
7.825,1.2650000000000001,4.275,1.935,5.629323384046097
7.425,1.065,4.785,1.5150000000000001,5.961048420269787
6.975,1.625,3.255,1.675,4.908574948585941
7.325,1.955,18.384999999999998,1.655,4.1127937963258985
9.175,1.835,12.265,1.245,6.968861797586344
8.725,1.125,12.605,1.045,7.5796235412760495
9.675,1.055,7.845000000000001,1.505,8.161360909445047
7.975,1.795,11.245,1.895,4.63288019124688
8.075,1.245,9.545,1.665,6.053793212917073
9.025,1.875,17.195,1.495,6.259198615302128
7.875,1.465,6.825,1.695,5.520504696030297
7.525,1.425,16.685000000000002,1.435,5.500221555505489
6.475,1.585,5.805,1.255,4.663007418384858
5.675,1.415,5.975,1.5550000000000002,3.5764113020086916
9.475,1.035,8.355,1.2650000000000001,8.229109997275748
8.525,1.205,10.055,1.975,6.189733713257329
8.575,1.885,9.375,1.905,5.08798405028644
5.625,1.395,4.615,1.2349999999999999,4.093674198748825
9.725000000000001,1.145,15.155,1.705,7.795054700790473
9.825,1.7650000000000001,13.625,1.595,7.069391485333998
6.875,1.685,6.145,1.7349999999999999,4.109020526370268
7.775,1.325,14.645000000000001,1.775,5.445458095089944
5.475,1.945,18.215,1.8050000000000002,1.9755700087548265
8.225,1.575,14.475000000000001,1.865,5.319206444938243
5.725,1.2349999999999999,15.665,1.815,3.4943514236018287
5.775,1.015,5.465,1.465,4.363952015299131
5.075,1.925,6.3149999999999995,1.455,2.3877663165074225
9.775,1.505,3.085,1.185,9.154880119989924
6.375,1.995,18.895000000000003,1.305,3.792724654496332
8.675,1.455,15.495,1.025,7.215506605355087
5.325,1.7149999999999999,19.745,1.565,2.651043952895488
6.225,1.225,13.965,1.545,4.349139922170953
5.375,1.095,12.945,1.055,4.234953250520876
5.925,1.255,12.774999999999999,1.475,4.093676624098965
8.275,1.975,9.205,1.155,6.136792289500897
7.475,1.085,10.735,1.9849999999999999,5.348664502042387
6.525,1.845,8.525,1.135,4.5384878511887345
7.625,1.675,17.875,1.315,5.446339521570176
7.225,1.755,11.075,1.685,4.322440797200398
8.875,1.915,9.715,1.875,5.390130444430756
5.975,1.215,11.585,1.125,4.63367880566487
9.875,1.075,10.225,1.625,8.173421987353356
8.775,1.185,11.755,1.385,7.1703013631101316
9.925,1.525,6.654999999999999,1.405,7.9951180245824975
9.975,1.375,11.925,1.295,8.24939638710954
5.175,1.905,13.795,1.335,2.6572839189500215
8.625,1.695,18.725,1.7850000000000001,5.622507785729997
8.475000000000001,1.275,16.175,1.2850000000000001,6.8579639568875645
6.075,1.295,12.435,1.795,3.7709797515457226
5.225,1.705,10.905000000000001,1.525,2.6575585381037383
7.675000000000001,1.9849999999999999,17.025,1.425,4.8796554718106275
6.825,1.565,3.425,1.015,5.887040345660704
7.575,1.5150000000000001,16.005000000000003,1.4849999999999999,5.349243862062485
6.275,1.335,7.335,1.065,4.935661537272577
6.775,1.435,15.835,1.725,4.3173895130305695
9.525,1.8250000000000002,13.455,1.075,7.633671128955646
6.425000000000001,1.605,11.415,1.915,3.3850526268838337
7.275,1.315,17.705,1.835,4.87544115939917
8.975,1.665,5.635,1.745,6.353243768818421
5.275,1.935,4.955,1.995,1.53669350320278
8.825,1.725,6.994999999999999,1.085,7.174965556144034
9.125,1.155,8.184999999999999,1.945,6.948049489656236
5.575,1.5350000000000001,18.555,1.7149999999999999,2.952595775860388
8.375,1.045,5.125,1.165,7.311173894209457
7.125,1.4849999999999999,13.115,1.325,5.190757263988928
5.125,1.005,7.675000000000001,1.605,3.5424768458959894
8.025,1.115,3.595,1.395,6.8051601884036605
7.075,1.165,8.015,1.225,5.708499621480739
9.375,1.305,10.565000000000001,1.415,7.586522964616926
6.325,1.385,6.485,1.575,4.241485345674522
7.725,1.495,4.445,1.5350000000000001,5.766089256491087
9.275,1.645,16.855,1.885,6.203791887478248
7.025,1.405,14.305,1.375,5.117869994416065
6.175,1.7349999999999999,7.505,1.345,3.948381995133348
7.375,1.2850000000000001,5.295,1.355,5.807432677655011
