c,v,u,v1
1.74,4.5,4.26,1.1948037625689265
2.1799999999999997,4.140000000000001,4.9,1.7158323215540923
1.1,3.58,1.82,0.8457595526561045
4.34,2.02,3.9,4.1741566842357445
2.54,1.1,1.54,2.090972304065999
3.7,1.38,3.06,3.3933053458979052
4.1,4.66,1.26,4.387485891647856
4.02,2.1,1.1400000000000001,2.821955762514552
1.5,2.66,1.9,1.4047097480832422
2.26,3.42,1.42,2.481010036130068
1.62,4.9,2.54,1.2956216158827902
2.14,4.78,4.220000000000001,1.6652283525647238
3.5,2.62,1.98,3.231522686608249
2.46,3.7,4.78,2.1618684281477485
3.86,1.8599999999999999,2.7,3.410477873263192
3.3,4.02,3.02,3.32888703626511
2.2199999999999998,3.02,4.74,1.9874232975804436
3.8200000000000003,4.74,3.74,3.8286990099009905
2.7800000000000002,1.82,1.46,2.4407980280388237
1.9,3.34,2.58,1.747840879350955
1.18,1.74,3.14,0.9910898483080511
2.66,2.1799999999999997,2.5,2.643690362138341
3.54,4.42,2.8600000000000003,3.6241517828767558
4.0600000000000005,4.0600000000000005,4.1,4.06
3.42,1.46,2.62,3.0745098443459438
4.7,3.62,3.7,4.556949611092324
1.82,3.14,3.2600000000000002,1.5646669815777043
1.26,2.98,1.62,1.1383838383838385
2.42,2.38,3.94,2.429658649301544
2.9,4.98,2.34,3.0683639698552576
1.94,3.3,3.54,1.666689801626353
3.9,3.98,2.14,3.923143059442328
2.74,3.46,4.42,2.594640889793341
3.46,3.06,3.5,3.4624407449209933
4.859999999999999,1.5,3.34,3.9930304300444295
1.3,3.9,4.0600000000000005,0.7676557863501484
3.18,3.94,2.46,3.267862336403297
4.98,3.66,1.6600000000000001,4.273161290322581
2.06,1.26,2.66,2.1901874868337896
3.2600000000000002,1.1400000000000001,3.38,3.317271973924092
2.94,1.18,1.18,2.032572339577521
2.1,2.06,2.9,2.1064714946070877
2.02,1.62,4.38,2.190622763063708
3.06,2.2199999999999998,2.8200000000000003,3.020516129032258
1.6600000000000001,1.94,3.18,1.5808390103979924
3.58,1.98,4.02,3.7013092029264536
1.78,1.22,2.7800000000000002,1.9319512195121948
2.34,4.38,4.54,1.9258994984385347
1.46,2.26,3.42,1.2278403374979718
3.7800000000000002,4.34,1.5,4.01205169628433
4.54,4.54,2.02,4.54
2.7,2.34,1.22,2.5581973030518097
4.220000000000001,4.859999999999999,2.1,4.424384031069736
2.3,4.62,1.38,2.7208201892744475
4.58,4.46,1.78,4.526779548472776
1.1400000000000001,3.2600000000000002,4.46,0.6334229001464722
3.66,4.9399999999999995,1.94,4.01065868263473
1.98,2.7800000000000002,1.74,2.023409153192656
4.18,4.58,1.06,4.413645060733097
1.42,3.8200000000000003,3.86,0.9238946162657502
4.300000000000001,4.18,1.58,4.24407039020658
4.46,1.78,4.62,4.528021852947871
4.5,2.94,1.1,3.48364844149208
3.94,2.14,3.98,3.951799940101827
1.58,1.7,4.66,1.5239483989864089
3.14,2.54,2.38,3.049974347366833
4.38,3.5,3.22,4.233186928653988
4.82,2.42,2.26,3.7882080441508488
3.38,3.1,4.9399999999999995,3.4352158693115515
4.140000000000001,1.58,1.8599999999999999,2.9365001195314364
2.62,3.38,4.5,2.4504164099590477
4.42,1.06,2.1799999999999997,2.897301988355487
3.62,2.8200000000000003,1.7,3.3093398292584815
1.3399999999999999,1.3,1.3399999999999999,1.3399999999999999
4.66,1.9,2.74,3.742733864257697
2.58,3.7800000000000002,3.3,2.463477606322921
2.8600000000000003,4.7,3.58,2.708476821192054
3.1,4.300000000000001,3.8200000000000003,2.9971270548471347
3.74,1.6600000000000001,4.82,4.122082514734775
1.38,2.46,4.859999999999999,1.0057870129870128
2.38,3.86,4.300000000000001,2.0762138852953855
2.5,1.02,4.98,3.309913853975427
4.74,4.220000000000001,3.46,4.6548895027624315
2.8200000000000003,2.5,2.2199999999999998,2.779900462140064
1.06,2.74,3.66,0.6448206599713057
4.62,2.58,4.140000000000001,4.478741007194245
4.9399999999999995,2.3,2.94,4.103077239007111
1.54,1.54,3.62,1.5399999999999998
4.26,3.74,1.3,3.9750323343300185
1.22,1.42,2.98,1.1449230769230772
1.7,1.3399999999999999,4.34,1.885590884028671
4.78,3.22,4.7,4.764294199418678
3.22,4.1,4.18,3.1211046156530844
1.02,2.8600000000000003,3.1,0.6259371719292579
3.34,2.7,2.42,3.2288277858176557
2.98,3.18,3.7800000000000002,2.9571874760774706
3.02,3.54,1.02,3.266701017971598
4.9,4.26,2.06,4.628349031282027
1.8599999999999999,2.9,4.58,1.545718927701056
3.98,4.82,2.3,4.188589934042427
