r,F,theta,tau
4.66,4.74,2.375,15.32239245979665
3.98,2.74,4.975,-10.531320042357201
4.82,2.46,1.075,10.429476331723523
4.38,1.78,4.075,-6.265594877577764
2.2199999999999998,1.94,3.625,-2.001795420294533
4.26,4.140000000000001,3.175,-0.5890757368862283
4.220000000000001,1.3399999999999999,1.775,5.537308976667993
1.6600000000000001,2.3,4.875,-3.7676326985577364
1.42,4.0600000000000005,1.875,5.500495348136207
3.9,3.38,4.825,-13.098506225401676
3.5,4.02,0.925,11.236594138207316
1.5,4.58,1.975,6.3163870503341
1.54,3.14,4.525,-4.75094799350275
4.62,3.34,4.475,-14.998047987638133
2.7800000000000002,3.7,1.825,9.955447649867205
2.1,4.38,0.17500000000000002,1.6014466495858959
2.46,1.1400000000000001,0.37500000000000006,1.0271746805689121
2.5,2.9,4.375,-6.8412608941819775
2.42,4.9399999999999995,4.625,-11.909180632473362
1.74,4.98,4.025,-6.697379830690593
1.38,1.18,2.225,1.2921887568512918
1.78,3.02,3.775,-3.1817884088834463
3.38,1.5,3.825,-3.201394859788726
2.98,1.1,4.125,-2.7285761067210825
3.54,1.06,4.275,-3.3991517440342243
3.22,3.06,1.4749999999999999,9.80802347035133
3.58,3.8200000000000003,2.925,2.9389294090317843
2.1799999999999997,4.82,1.675,10.450603711215216
4.1,3.42,0.325,4.4773477952868665
2.02,3.58,3.9250000000000003,-5.103323202890157
2.58,2.42,0.275,1.6954304555791864
3.42,3.94,3.325,-2.457545126526853
4.0600000000000005,3.62,3.875,-9.838376612181255
4.34,1.74,2.575,4.053398881028402
2.8600000000000003,3.98,4.775,-11.360496204066484
1.26,2.5,2.625,1.5558489406217808
2.3,3.1,0.625,4.171743556065495
4.18,3.22,1.4250000000000003,13.316800763459396
3.94,4.300000000000001,2.275,12.911961681060665
4.859999999999999,2.06,0.025,0.250263928939734
3.62,3.74,2.325,9.867307950828696
2.74,1.98,4.7250000000000005,-5.4247685997384885
4.42,1.42,0.675,3.9221055187097353
1.1,1.26,3.675,-0.7047398128893777
4.74,3.5,1.375,16.27301581601415
3.06,4.42,2.825,4.210805478690284
3.66,4.859999999999999,2.075,15.574101552508978
3.8200000000000003,2.94,0.9750000000000001,9.295754365628838
1.3,4.18,2.7750000000000004,1.9477443577906788
2.06,4.1,3.975,-6.251954019578895
2.38,3.2600000000000002,3.125,0.12873317342906454
1.18,2.7800000000000002,3.075,0.21828912051007643
1.3399999999999999,1.46,4.675000000000001,-1.9550326984418713
4.58,1.3,0.125,0.7423133625756457
2.62,2.66,3.4750000000000005,-2.2807726947369726
3.7,4.7,2.725,7.03680927289694
2.94,2.8600000000000003,3.725,-4.6319426065404725
1.82,1.62,0.8250000000000001,2.1657406811758126
1.22,2.2199999999999998,2.125,2.303006118744295
3.3,3.46,3.5250000000000004,-4.271275037846913
1.06,1.02,4.925,-1.0568549316684286
1.94,1.6600000000000001,4.225,-2.845412318398439
4.02,4.34,4.425,-16.731258494352378
4.5,1.54,1.925,6.499806300005136
1.02,2.62,1.1749999999999998,2.4657963248644683
3.74,2.54,3.5749999999999997,-3.9895046217990617
2.34,2.1,1.525,4.908847825750011
4.9399999999999995,2.1799999999999997,2.0250000000000004,9.67731833910465
3.34,1.38,3.225,-0.383995550340973
2.54,1.22,1.625,3.09424891806483
1.1400000000000001,3.18,2.475,2.2415033408037925
4.46,3.86,1.125,15.533077992972382
4.7,4.220000000000001,1.575,19.833824758255982
1.46,2.26,4.175,-2.8345153592782535
1.62,3.66,1.3250000000000002,5.750991154235002
4.78,4.9,3.2750000000000004,-3.115406558437771
2.8200000000000003,1.9,0.575,2.9138668084829575
1.8599999999999999,1.82,0.475,1.5481821113902
4.140000000000001,1.58,3.4250000000000003,-1.829107165972507
4.54,2.38,2.175,8.892190743324319
1.7,3.7800000000000002,1.725,6.349750076842111
1.98,2.14,1.225,3.986382501747532
2.14,1.8599999999999999,3.025,0.4630346618073446
3.86,2.7,0.525,5.223641934710322
3.02,4.78,1.275,13.808666439805657
1.58,4.46,4.575,-6.980397793952185
2.7,3.3,0.075,0.6676236918001343
3.2600000000000002,1.7,2.525,3.204709311704692
3.46,4.5,0.22499999999999998,3.473766058391276
3.14,3.9,4.325,-11.338554076713338
1.9,4.26,0.7250000000000001,5.367418272917153
2.9,2.58,1.0250000000000001,6.394971565645168
2.66,4.54,0.42499999999999993,4.979350688646294
3.1,4.66,2.425,9.488409970323675
2.26,2.34,0.875,4.0590770572250054
4.9,4.62,0.775,15.840172513696412
4.98,2.02,2.875,2.6501613148386687
4.300000000000001,3.54,2.6750000000000003,6.847552466914157
3.7800000000000002,2.98,2.9749999999999996,1.8678982316576025
3.18,2.8200000000000003,3.375,-2.074150392096371
