m,r,v,theta,L
3.94,3.14,3.14,3.5,-13.62681430821059
2.7800000000000002,2.3,2.5,2.26,12.336466302391713
3.06,1.02,1.46,3.9,-3.1341173746257276
3.18,3.06,3.3,1.74,31.653059411862912
2.98,4.859999999999999,1.54,4.54,-21.972924471904705
1.3399999999999999,1.22,2.2199999999999998,3.66,-1.7982868136426966
2.94,3.66,1.9,1.3399999999999999,19.902657818670797
3.46,4.220000000000001,2.3,3.94,-24.05350304895371
3.1,1.3399999999999999,4.9,1.58,20.353737911423256
1.5,1.26,3.42,1.02,5.5078558322762925
1.54,2.26,4.38,1.7,15.117089103588619
1.7,3.98,4.26,3.7800000000000002,-17.176217488566998
4.859999999999999,1.9,1.02,1.1,8.39399693806344
1.26,1.8599999999999999,2.62,3.86,-4.041417625705181
3.7800000000000002,2.7800000000000002,1.58,4.82,-16.507230697697874
1.94,3.86,2.1799999999999997,3.02,1.9800774559175816
1.8599999999999999,4.78,1.78,2.58,8.42769721385002
2.06,3.94,2.8200000000000003,1.98,20.99854744510298
3.8200000000000003,1.1400000000000001,4.5,1.94,18.276083383787455
1.02,1.3,1.6600000000000001,2.8200000000000003,0.6957381717160094
3.34,3.1,3.62,3.42,-10.300835384222767
1.58,3.74,1.5,2.38,6.116686639251974
3.38,2.8600000000000003,1.98,1.78,18.722941298210173
2.8200000000000003,4.54,4.46,4.66,-57.02214677041766
2.26,1.82,3.7,1.1400000000000001,13.828347796028249
2.1799999999999997,4.02,3.86,4.46,-32.755794047449825
3.58,4.46,3.66,2.3,43.57788509332673
3.66,3.9,1.42,4.34,-18.879853345447973
1.82,3.8200000000000003,1.8599999999999999,3.22,-1.0128832135552897
1.06,3.7800000000000002,3.58,3.46,-4.490559417672536
4.300000000000001,1.62,1.62,2.2199999999999998,8.989177628946463
2.02,4.74,4.62,1.6600000000000001,44.0596949037762
4.42,2.1,3.54,2.74,12.843801512783434
4.18,3.5,1.26,2.5,11.032115809983512
1.42,4.9399999999999995,2.94,4.7,-20.621929301452322
1.78,4.98,4.54,1.54,40.225293348599216
4.26,3.3,1.38,4.98,-18.709502593224155
