m1,m2,r1,r2,r
1.98,4.66,4.34,1.5,2.346867469879518
1.6600000000000001,3.18,2.26,1.6600000000000001,1.8657851239669423
4.1,4.54,1.7,1.74,1.7210185185185183
4.74,4.02,3.86,3.2600000000000002,3.584657534246576
4.54,3.62,3.14,3.18,3.157745098039216
1.1,1.7,2.74,3.3,3.0800000000000005
4.26,4.26,2.7,3.46,3.08
4.66,4.140000000000001,2.7800000000000002,3.38,3.0622727272727275
3.2600000000000002,2.14,2.42,2.74,2.5468148148148146
2.94,1.58,4.54,1.78,3.5752212389380533
4.5,2.8200000000000003,2.1799999999999997,3.7800000000000002,2.796393442622951
2.06,4.9399999999999995,4.18,3.1,3.417828571428571
3.9,2.7800000000000002,3.22,2.54,2.937005988023952
3.46,2.02,4.0600000000000005,4.34,4.163211678832116
2.38,3.42,1.74,3.62,2.848551724137931
1.78,4.78,3.74,4.38,4.206341463414634
2.42,3.1,4.62,3.66,4.080869565217392
1.46,4.18,4.66,4.220000000000001,4.333900709219859
1.1400000000000001,3.58,1.46,4.98,4.129830508474576
4.220000000000001,4.38,2.5,2.1799999999999997,2.337023255813953
1.74,1.3399999999999999,2.3,1.62,2.004155844155844
1.26,4.74,3.7,4.859999999999999,4.6164
2.9,2.46,3.34,4.7,3.964179104477612
2.02,2.58,2.14,1.58,1.825913043478261
1.94,3.38,4.140000000000001,3.02,3.428421052631579
1.06,1.06,2.58,1.1400000000000001,1.86
3.06,2.06,4.38,4.1,4.267343749999999
1.54,1.1400000000000001,1.42,2.14,1.7262686567164178
3.42,3.9,4.1,2.26,3.119672131147541
4.0600000000000005,4.98,3.54,4.54,4.090884955752212
3.14,2.2199999999999998,3.46,2.7,3.145223880597015
4.38,4.220000000000001,3.06,3.7,3.374046511627907
1.9,2.9,3.2600000000000002,2.2199999999999998,2.6316666666666664
2.58,2.8600000000000003,3.1,4.0600000000000005,3.6047058823529414
2.8600000000000003,2.62,4.46,1.22,2.910948905109489
3.7800000000000002,1.1,1.3399999999999999,4.26,1.9981967213114753
1.58,3.02,4.220000000000001,4.5,4.4038260869565224
3.98,2.7,3.8200000000000003,1.54,2.898443113772456
3.54,3.7800000000000002,2.98,3.22,3.1039344262295088
2.8200000000000003,4.5,3.38,4.42,4.019344262295082
1.02,2.74,2.38,1.94,2.0593617021276596
4.98,4.9,3.02,1.3,2.1669635627530366
2.2199999999999998,3.14,1.18,2.94,2.211044776119403
1.8599999999999999,3.94,2.34,4.140000000000001,3.5627586206896553
4.42,4.58,4.26,2.1,3.1608
1.38,3.8200000000000003,2.94,1.9,2.176
4.18,2.3,1.38,1.82,1.536172839506173
2.34,2.54,3.18,4.300000000000001,3.762950819672132
2.3,3.66,2.2199999999999998,1.7,1.9006711409395973
3.62,3.46,3.5,4.74,4.105988700564971
2.7,3.74,2.54,2.34,2.4238509316770185
4.78,3.2600000000000002,1.78,2.5,2.0719402985074624
1.3399999999999999,3.86,3.58,2.58,2.837692307692308
4.300000000000001,2.1,4.9399999999999995,1.42,3.7849999999999997
3.22,2.94,3.7800000000000002,2.9,3.3600000000000003
4.140000000000001,1.54,3.42,2.8200000000000003,3.257323943661972
2.66,4.82,1.26,2.06,1.7755080213903747
4.46,1.98,2.06,1.02,1.740248447204969
3.86,4.42,3.66,1.06,2.2720772946859906
3.34,3.5,2.02,3.42,2.736374269005848
2.46,1.46,4.42,4.9,4.5987755102040815
4.9,1.9,1.54,4.58,2.389411764705882
3.74,4.1,4.82,3.9,4.338877551020409
2.98,2.26,2.8200000000000003,2.8600000000000003,2.8372519083969467
4.82,1.62,2.66,2.42,2.599627329192547
3.18,3.34,4.859999999999999,1.26,3.015828220858896
2.7800000000000002,1.26,4.98,4.46,4.8178217821782185
1.42,1.74,2.1,4.62,3.4875949367088603
1.82,1.78,3.9,4.78,4.335111111111111
1.22,1.8599999999999999,1.58,2.02,1.8457142857142854
4.62,1.5,4.78,2.46,4.211372549019608
1.7,2.1799999999999997,4.7,1.3399999999999999,2.812164948453608
3.94,4.0600000000000005,3.62,4.02,3.8230000000000004
3.02,2.66,2.9,2.66,2.787605633802817
2.26,3.06,2.62,1.18,1.7917293233082705
3.8200000000000003,4.7,1.6600000000000001,3.34,2.586760563380282
3.1,1.94,1.02,2.98,1.7744444444444447
3.7,3.7,4.5,4.9399999999999995,4.72
2.5,3.22,4.74,3.54,4.064475524475524
2.1,2.42,1.98,4.82,3.5005309734513284
2.54,2.5,1.1,3.94,2.5087301587301587
2.62,1.6600000000000001,1.22,3.74,2.1973831775700936
2.74,1.02,2.8600000000000003,4.66,3.3482978723404258
2.1799999999999997,1.42,4.02,2.7800000000000002,3.5308888888888887
1.5,4.34,4.300000000000001,3.06,3.3784931506849323
4.9399999999999995,3.54,1.9,2.62,2.2005660377358494
3.38,1.38,1.1400000000000001,3.58,1.8473949579831932
4.58,3.98,1.5,1.38,1.4442056074766356
3.66,1.22,1.8599999999999999,3.98,2.39
4.7,1.3,3.94,1.1,3.324666666666667
4.02,4.859999999999999,3.3,2.3,2.7527027027027025
3.58,2.38,1.82,2.38,2.0436241610738253
4.34,3.3,4.58,3.8200000000000003,4.251727748691099
1.3,4.300000000000001,1.94,3.5,3.137857142857143
2.14,1.82,1.06,3.86,2.346868686868687
1.18,2.34,2.46,4.18,3.6034090909090906
1.62,2.98,1.3,1.46,1.4036521739130434
3.5,1.18,4.9,1.98,4.163760683760684
4.859999999999999,4.46,3.98,1.8599999999999999,2.9654935622317593
3.3,4.62,1.62,3.14,2.506666666666667
