m,omega,omega_0,x,E_n
1.1639799246099345,1.1164992187283096,2.9623584961265017,1.5183550823216894,6.72345632303196
1.06140967512776,1.1335661347383208,1.9042275024725928,1.8930704979622544,4.6701559676584985
1.7573311797668811,2.209530944459148,2.069291321928119,1.0746291547384197,4.649386355220378
1.699778805345017,2.8788317010635085,1.3682356729983212,2.1635765662920896,20.209686902442588
1.7067886530129963,1.9187931886480345,1.3787351553645142,2.964176435072209,20.930057911230282
1.9604527723412637,1.2090948852567358,1.6530591933166932,1.8894121552309195,7.3389101268184245
2.67022859396685,2.2789437779644253,2.376560539485099,1.621917675839395,19.038837871548886
1.8880742256317788,2.1903810081319013,1.5927482880845159,2.6880233274536867,25.015116203060924
2.9435010211788946,2.4045014412686925,1.686447000524626,2.3463072751869096,34.943778786402305
1.5285760167634987,2.6151290817561503,1.5808259535015672,1.946444197863008,13.519501755169106
1.915979075865432,1.9247838615648618,1.5866297639185083,1.6731071910980992,8.342982947286957
2.137277211277709,1.3217286681970637,1.2063596162465902,2.6267731569426003,11.806032550143927
1.1814971663793326,1.5367413199619198,1.9808886479721328,2.7672525275177646,14.217056045177968
2.558457059318518,2.095091266510247,1.8107626507382937,2.0181015853301147,19.975677397657194
2.046179349644658,2.658018936144974,2.420785351085894,2.116100981881444,29.60710785955845
1.9183227774874951,1.2395363403073414,1.6905377058968116,1.512100821594482,4.818586079797666
1.2288973907832583,1.0827753985164454,2.555779965528515,2.7767723685526366,18.250542949193004
1.36197721264688,2.80071650080262,1.0477843537891665,1.6062739394851189,7.85556061577551
2.3096080432541064,1.7080338720855728,1.2634103338107765,2.029074831006585,10.729910061859183
1.867996216903075,1.2756145176886924,1.279691633575737,1.9736455447154568,5.938972426632158
2.5439435762425617,2.7904730692347557,2.866552311234983,2.2678420755650217,52.34773569776493
1.054569228762909,2.2601420866705,1.744970213396751,1.3694874079621866,4.031413364169944
2.951165982521857,2.950972129708243,1.692585865270856,2.929114698744951,73.25807202641055
2.7406824534826555,1.8121157593752448,1.1212078696960746,1.8471209770513817,10.615208680489397
1.6627464300746633,1.973975972842647,1.859072834960632,2.4315693095074185,18.07124740938796
1.5154491531380592,2.738194849893559,1.70287875942277,1.3964694623991931,7.681985623485532
1.7142051010795198,1.254517370217901,1.9950614783259624,1.5857511152330297,5.9852913687201115
1.4187650782588226,2.8449269978345155,1.2847721669612742,1.3850277780205122,6.630035376907319
1.8800508981013508,2.5891349506925545,1.5852603976392758,2.408021289282664,25.119113781357626
2.2901312327848107,1.9679623074162904,2.2529901594595194,2.9127870938766267,43.46949746680234
2.504622674331271,2.855782107362246,2.0908353281055096,2.0928728030619927,34.35721625166684
1.0391355192026133,2.7438876461212667,1.5210847970914692,1.2266746546885912,3.84752658504146
1.2217233703974009,1.1596217544919023,1.4396688593690237,2.038727476669956,4.3383353820153365
2.6017638596431327,1.2831014996159005,1.3547776982161912,1.755598216777608,6.980049212927795
1.147179593501351,2.9790568762470944,1.686602385690952,1.9956037067073131,13.385225136352734
1.2953901431319546,2.362392793067002,1.0871777264862268,2.6980146462026093,15.942605005313359
1.097639671215835,2.36099019407333,2.596499238363572,2.117574685538925,15.154788633615114
1.6351185763674287,2.790258830885393,1.6033965770778238,1.4584908671633114,9.005473456953025
1.4627637399631777,2.8822225584608883,2.3424182807150986,1.0226678769972128,5.2756715218166805
1.832704573497648,2.3094368019943348,1.2934039901372645,2.2598176220944124,16.39357606322706
1.2338145297857666,2.173749866219976,2.2597708973559305,1.2347783529891343,4.623798101731285
1.580957811513728,1.7127223562076683,2.7703797384906723,2.785788929477824,32.53924588669592
2.9339678355644434,1.466542600433166,1.7597420543744244,1.5765223301216882,9.566278793537855
2.684018163555433,1.35285793089317,1.0483521465562968,2.114400998726992,8.787373775320242
2.7984674300851853,2.4118721114706383,1.9461800659598016,2.8776703359711653,55.645254892100326
2.5554733372625678,2.411768383707216,1.1130825736870864,2.9952639727576225,40.440290001278186
1.3758040429703031,2.597166680780437,2.9952468040272664,1.0852930872624904,6.367283506856179
2.3624613323421104,1.6472748955431915,2.441980872753833,2.3569136042160714,28.46760220063578
1.911494345391156,1.80250078588044,1.0022572211761156,2.4480532301835094,12.181593396661727
2.4082273693141407,1.8370440513077508,2.8657877785678587,1.5703936435705108,17.20454506190455
2.7777479421123696,1.1249645894203189,2.982831350570665,1.496449566239627,15.804166497138985
2.053393696002696,1.0715979645444746,1.0637121212818372,2.532128354317152,7.503804250370675
2.28583603185792,1.3953792344377245,1.8417242885666192,2.362048106196527,17.022566831638947
1.8065265427621318,1.816615968359104,1.841795817253243,2.7001391556650716,22.035981607102364
1.0539646238282685,1.24149459934654,2.5788136522733467,2.6965344168568457,15.694450552845506
1.1505727844298328,2.3549632644072998,2.741252411351314,2.349612175094641,20.73959082294381
1.8968807805746344,1.8722187383674225,2.521564196436879,1.2914045195370925,7.800729410513298
1.44641229222768,1.11992795421231,1.075032633448468,1.7475785984964305,2.6614030971591887
2.7790098780348997,2.9530933182384365,1.7634584100081654,2.1655666342121584,38.54588132431581
2.753065139693198,2.4576049396073936,1.958602184864621,1.627131332594462,17.99618111512913
2.7459226164332984,1.862200005737194,2.4046399278909893,1.8463876540666933,21.64809388104025
2.6715636244646888,2.4566503303819345,2.529014476023444,1.765916067371492,25.891266038811285
2.060894259232582,1.012146112562958,2.9108227540666003,1.3383907222453264,8.765224204798509
2.1088875409143033,2.87423086882533,1.008437886557987,1.051265869520479,5.406048673396847
2.3219808447572987,1.3197327745024825,1.421091261894232,1.345670291490846,3.953682743729335
2.2477598716878617,1.199615011417681,1.1069242472078942,2.9409175261480995,12.949354048124732
2.095280564088336,1.1839152468322365,2.640200225466479,1.5017226918566149,9.89024641174556
2.0708261622295714,1.3059319729476089,1.4102607312104898,1.323454730544524,3.3499108249461345
1.1841241684857395,2.202788998903917,1.5062326189820836,2.0525727437046917,8.881295809964756
2.7228422902711737,2.716848405683216,2.2768316147042493,2.2192499812376223,42.12552248801098
2.179371072882483,2.4877669542805507,1.835796530636704,1.3383639200775832,9.329065668670829
1.422193622546728,2.2753656264987754,2.168192578704965,1.8790413938873929,12.40097245455599
1.8503101780800475,2.5638660357772287,1.4994449736270072,1.3407509988560125,7.335593706871713
2.4263422513027044,2.5325022197437903,2.735498583329565,2.7878269331166012,65.51334058983889
2.2581497264562342,2.0468389232311512,2.7879761193746093,1.0298576428989692,7.162489844203353
1.6583825463034176,2.674521214490624,2.014706792967349,1.5956216979522675,11.835097356659595
