n,theta2,theta1
0.725,3.06,0.05912349924038954
0.885,3.66,-0.4539458578837981
0.6950000000000001,3.58,-0.299482822674364
0.915,3.5,-0.3267499667357002
0.265,1.62,0.26787132822343557
0.575,3.18,-0.022080589287573983
0.9450000000000001,3.14,0.0015050575742889655
0.9550000000000001,3.34,-0.1893680758853468
0.975,1.82,1.2372321813891665
0.275,3.8200000000000003,-0.1734456328989754
0.425,1.7,0.43505198500655196
0.255,4.66,-0.25748590197952287
0.595,1.6600000000000001,0.6343253949630896
0.065,1.8599999999999999,0.06234100591228395
0.055,1.58,0.05502543400738595
0.925,3.42,-0.2570336974790084
0.095,4.859999999999999,-0.0941057366217441
0.335,2.8200000000000003,0.10608498658031905
0.435,4.18,-0.3841752710745445
0.8250000000000001,2.3,0.6626482545075375
0.765,3.2600000000000002,-0.09049356411238185
0.715,2.9,0.17190874566882638
0.08499999999999999,4.9,-0.08360583794912947
0.895,2.5,0.5652566582108366
0.535,4.74,-0.5642663971717504
0.165,4.26,-0.1489520749182502
0.985,2.2199999999999998,0.9020781083512531
0.14500000000000002,2.42,0.0959313463654442
0.935,1.94,1.0592631866658644
0.355,3.86,-0.23583627855734302
0.845,3.94,-0.6500516289621594
0.035,2.7800000000000002,0.012382068477198376
0.8150000000000001,1.26,0.8882254926527202
0.365,3.54,-0.14207962065465016
0.465,3.46,-0.14608936512143575
0.805,3.98,-0.6417287943397627
0.185,1.3399999999999999,0.18108266377009613
0.655,4.38,-0.6676584267965179
0.325,3.02,0.039430524632325686
0.395,1.06,0.3517917908274902
0.20500000000000002,4.02,-0.15845549919037052
0.625,4.46,-0.6500159885121752
0.505,1.02,0.444841211946777
0.755,4.54,-0.8387515187661132
0.855,3.62,-0.40455841178352875
0.025,3.7800000000000002,-0.014898481745393927
0.635,2.14,0.564365508622849
0.405,2.8600000000000003,0.11278274637840542
0.7050000000000001,2.26,0.5752989307003631
0.015,2.34,0.010777180518803149
0.865,2.1799999999999997,0.7886322370154355
0.245,3.9,-0.16931046022275922
0.34500000000000003,4.34,-0.32715895337994905
0.125,4.82,-0.12459908852250186
0.905,2.02,0.9531052270972891
0.795,4.220000000000001,-0.7761802602382271
0.555,1.9,0.5529460638138912
0.875,3.38,-0.20813540360805138
0.315,4.0600000000000005,-0.25300070476672204
0.005,2.06,0.0044135510829781364
0.615,2.46,0.39788435855873283
0.515,3.22,-0.0403493699572011
0.995,2.38,0.7568359851415309
0.605,2.94,0.12143739445495008
0.675,1.22,0.6865751670708125
0.735,2.54,0.42901781544742046
0.155,1.1400000000000001,0.14130799441394887
0.385,4.98,-0.3804044788396517
0.685,1.5,0.7522510033950934
0.585,3.74,-0.33582316212666313
0.545,1.18,0.5281198903311064
0.07500000000000001,2.62,0.0373783263608941
0.835,1.54,0.9874136292455934
0.235,4.58,-0.23510346164265247
0.445,2.58,0.2392540943266946
0.475,1.78,0.4832318440682498
0.135,3.1,0.005613418908694182
0.495,3.3,-0.07816368526738143
0.045,2.7,0.01923328038146902
0.11499999999999999,4.42,-0.11034294923348856
0.525,4.1,-0.4440447700569337
0.5650000000000001,4.300000000000001,-0.5440830389675119
0.305,4.78,-0.3092068003436409
0.175,2.74,0.06845829584925467
0.785,2.98,0.12663710489810082
0.295,4.5,-0.2925255304891939
0.375,1.98,0.35121536349658317
0.195,1.46,0.1950385262080856
0.645,1.38,0.6858041126900557
0.10500000000000001,4.140000000000001,-0.08837899491234218
0.215,3.7,-0.11416259076914627
0.775,4.7,-0.8866209880305668
0.28500000000000003,4.62,-0.28773860129373335
0.665,1.1,0.6343485125964988
0.41500000000000004,1.3,0.4113822608060438
0.745,1.74,0.824724465088882
0.455,1.42,0.4665823209725036
0.485,2.66,0.22658154528970365
0.225,2.1,0.19546439480790012
0.965,4.9399999999999995,-1.222955684142604
