omega,c,k
1.135,8.425,0.1347181008902077
6.3549999999999995,5.815,1.0928632846087702
3.5650000000000004,8.605,0.4142940151074957
5.7250000000000005,1.135,5.044052863436124
5.365,6.985,0.7680744452397996
6.715,9.505,0.7064702788006312
9.235,8.335,1.107978404319136
8.965,7.615,1.1772816808929742
8.065000000000001,2.935,2.747870528109029
7.615,1.765,4.314447592067989
2.665,9.955,0.26770467101958817
9.415000000000001,5.995,1.5704753961634697
9.505,7.795,1.2193713919178961
7.795,8.875,0.8783098591549295
5.995,3.835,1.563233376792699
3.205,8.785,0.3648264086511098
8.695,9.325000000000001,0.9324396782841823
8.245000000000001,3.295,2.5022761760242798
2.035,1.945,1.0462724935732648
5.815,6.715,0.8659717051377513
3.745,8.695,0.4307073030477286
5.905,4.285,1.3780630105017504
1.765,7.9750000000000005,0.22131661442006267
7.255000000000001,1.495,4.852842809364549
6.8950000000000005,8.155000000000001,0.8454935622317596
2.575,4.735,0.5438225976768744
1.315,5.7250000000000005,0.22969432314410476
1.045,5.095,0.20510304219823355
6.535,2.755,2.3720508166969148
1.945,6.085000000000001,0.31963845521774853
3.1149999999999998,9.145,0.34062329141607434
6.625,6.265,1.0574620909816441
8.425,5.905,1.4267569856054192
3.9250000000000003,3.205,1.2246489859594385
7.075,4.105,1.7235079171741776
4.915,7.705,0.6378974691758599
7.9750000000000005,1.225,6.510204081632653
1.225,3.1149999999999998,0.3932584269662922
5.095,1.675,3.041791044776119
5.005,6.8950000000000005,0.7258883248730964
9.685,2.305,4.2017353579175705
2.755,9.865,0.27927014698428787
2.305,1.405,1.6405693950177938
9.595,5.2749999999999995,1.8189573459715642
3.835,9.595,0.39968733715476806
1.855,4.015000000000001,0.46201743462017425
9.325000000000001,4.6450000000000005,2.007534983853606
7.5249999999999995,6.535,1.1514919663351184
1.675,7.165000000000001,0.23377529658060012
7.345000000000001,9.415000000000001,0.7801380775358471
4.735,3.9250000000000003,1.2063694267515923
5.1850000000000005,5.1850000000000005,1.0
9.955,5.455,1.8249312557286892
9.775,2.215,4.4130925507900685
4.015000000000001,9.685,0.4145585957666495
1.405,2.4850000000000003,0.5653923541247484
2.215,6.625,0.3343396226415094
5.2749999999999995,6.175,0.854251012145749
4.105,3.3850000000000002,1.2127031019202363
8.785,7.5249999999999995,1.1674418604651164
8.875,4.824999999999999,1.8393782383419692
2.4850000000000003,3.025,0.8214876033057853
6.175,3.475,1.7769784172661869
4.375,7.075,0.6183745583038869
7.705,1.585,4.861198738170347
9.055,2.665,3.3977485928705438
6.805,2.125,3.2023529411764704
7.165000000000001,7.435,0.9636852723604574
3.655,7.255000000000001,0.5037904893177119
8.605,4.915,1.7507629704984742
8.515,9.055,0.940364439536168
9.865,4.375,2.254857142857143
5.545,5.545,1.0
8.335,9.775,0.852685421994885
2.125,4.555,0.46652030735455546
3.3850000000000002,1.855,1.8247978436657684
4.824999999999999,5.365,0.8993476234855543
8.155000000000001,8.515,0.9577216676453318
2.935,8.245000000000001,0.35597331716191627
5.455,4.465,1.2217245240761478
7.885,2.395,3.2922755741127347
4.555,3.5650000000000004,1.2776998597475453
6.445,7.885,0.8173747622067217
4.195,3.745,1.1201602136181577
6.085000000000001,6.445,0.944142746314973
4.6450000000000005,5.005,0.9280719280719282
3.475,7.345000000000001,0.47311095983662355
1.585,4.195,0.3778307508939213
3.295,2.575,1.2796116504854367
5.635,2.035,2.7690417690417686
3.025,3.655,0.8276333789329685
4.285,1.045,4.100478468899522
1.495,1.315,1.1368821292775666
6.265,2.845,2.2021089630931456
2.395,9.235,0.25933946940985386
9.145,5.635,1.6228926353149955
7.435,8.965,0.8293363078639152
2.845,6.805,0.41807494489346075
4.465,6.3549999999999995,0.7025963808025177
6.985,8.065000000000001,0.8660880347179168
