epsilon,c,Ef,r,omega,omega_0,Pwr
1.5493766635210635,1.6567795808885588,1.7690469195535858,1.474499469419171,1.4664958749952497,3.4079632076645243,3.7782322197610085
1.0846955046463664,1.5202180458192016,1.3584626352968234,1.063633101743786,1.944684610055955,4.60623168729721,0.6784310580748112
1.2198588528875256,1.7801934110373412,1.7266757942456945,1.317229328613648,1.973429766335128,4.341976232592073,3.189555002989686
1.4841521786984813,1.9306777613718131,1.2157279108737025,1.4264421290583127,1.7216052111205724,3.8089513426205337,2.3793897279988423
1.8370000169506808,1.3145315960978952,1.8259729217156184,1.0116992303503871,1.6479513705093245,3.5628870568073268,2.5569031130095428
1.8407215007406947,1.011493722928087,1.8662336394835828,1.3642429993284355,1.8994434647051837,4.0655564118838905,3.941647595277819
1.834399303399982,1.489748383084209,1.7919914795387109,1.947112314999258,1.674642510206117,4.9462738406438005,2.3359999191325422
1.7730017734892458,1.1386280959925763,1.9969267242391728,1.6852928031586885,1.7820809796623545,3.5543486777767948,10.799513293459997
1.5504187705649377,1.5709392884478337,1.6605848738048037,1.8097865285172643,1.7295059972216107,3.7112391058195096,7.091777232986388
1.0255282545469084,1.4153916861288312,1.2975937937669548,1.7279141255074892,1.5543715751448264,3.424578555030513,2.0577811858625625
1.957051644464423,1.168653715030893,1.7063522449616564,1.0373178682380133,1.0749887451385995,4.723422066256344,0.08956177934313828
1.5930226792174411,1.3198396727618025,1.0398701653759006,1.9625411682730844,1.9070383801943536,4.846389527609631,1.2311579917147164
1.5677213609016944,1.781478215986835,1.4691437729799883,1.816104897198897,1.6137104769955315,3.0232513360271045,13.219911709012964
1.9579237204040052,1.685897645682488,1.5834624080170343,1.2756758976552052,1.0841386088348501,3.993575294761898,0.35710568514869545
1.0500532817918846,1.791045458870785,1.9599219962194665,1.1022686236376111,1.4954441464382682,3.387838331791002,2.153242304196256
1.8327718780187323,1.1276504435709,1.0632008082094195,1.2741119675286718,1.0612781510595763,4.572512862977142,0.051500685315896064
1.2306330955960698,1.4839467427865145,1.807302692341944,1.5365847807387172,1.5677838382201978,3.2108674605921856,5.781294294821625
1.4119827500739432,1.3437982238908384,1.706627964437348,1.2784955632667057,1.5494115295070106,3.410100987501859,2.560764181769082
1.491754281753198,1.465340767638462,1.4371947761661117,1.1066497162444857,1.88848536975214,4.315702883999828,1.2991022012315492
1.6151654649493998,1.1169023653565944,1.7650951453113666,1.1309770942451478,1.156620571814691,4.171597721001573,0.2088316312772008
1.0467189761347429,1.387830191809346,1.0774294044986497,1.6834075773933543,1.337232416137105,4.585320826847536,0.1729677728994657
1.3496978892281175,1.2872921921552252,1.3558849947942238,1.9905476197184624,1.0980083465402717,3.630031654442156,0.5376727774114348
1.8898647140018707,1.4832252393658911,1.1912651333178008,1.7092290471878082,1.9170285440294563,4.994969304431799,1.4525478206029037
1.8242784523697004,1.124518125291706,1.2860613478467997,1.4861594615048936,1.7281300279194858,4.533588636444463,0.9072170919090182
1.1995314796420111,1.834229228149104,1.9866901001582584,1.80512977696578,1.6434425442558314,4.6887856867006485,2.3252170406403256
1.9316000848172687,1.1248229229462765,1.946478603422608,1.9783456866322096,1.0465230355592818,3.977640400124346,0.7464399031313139
1.808117965799565,1.1587390325133176,1.9633309698039625,1.9611672067075718,1.614861630725709,3.5129134037505536,9.340809481223763
1.5802146819958534,1.26153752896897,1.975977067456657,1.660333920812926,1.1919158137539436,4.928198437767878,0.3469312216549423
1.1524788086003095,1.8075654120599316,1.5863635143392885,1.9787520909171017,1.9516954313668748,4.267192208590477,6.016420454026292
1.0817574585112224,1.8360110955248203,1.1610263686296916,1.0896632932320716,1.9137472476093191,4.160151313447769,0.9593787894502004
1.2145398822675502,1.7395200470396266,1.4155100553320952,1.5388861340856768,1.2399799778501954,3.528303272419121,0.8338127925385178
1.8514966045436372,1.9038515197669341,1.023168832315139,1.95150944554102,1.6367969871652122,3.7883751023511225,3.101119614359575
1.9222278314478745,1.5367221370420674,1.0294879053564618,1.7392796542719466,1.901262289641867,3.662741304043713,5.3964546952222
1.109958212808551,1.4848120298308445,1.8066333208007657,1.0570308908452328,1.239468446391432,3.672027217585123,0.4162649017679825
1.8744790975756789,1.7977505749264466,1.4817198950441148,1.4778320026034018,1.427019626673902,3.972864172776928,1.4851427511575317
1.064820014511903,1.5872112786014216,1.5818386481391082,1.6943864251608596,1.6887556608656396,3.4958442513222416,4.7122327592149365
1.8897484547182328,1.7157236925299315,1.7965113090709317,1.1369215455210677,1.3954706277772482,3.912537654795465,1.203624212125858
1.1683093776174378,1.5649717622326769,1.6154300516903368,1.8004413669056567,1.5696208166463792,4.56800156586788,1.1611608005293803
1.3357091383843218,1.3607182274318514,1.0271531913309238,1.40002779688982,1.4194192018140428,3.793507583851632,0.41725173712264096
1.841459302725708,1.5800130715809484,1.0017454689440637,1.4768021581296025,1.549172909623712,3.1741011769973246,2.6080488192732783
1.6491773589841603,1.3296722362091713,1.8737545521687442,1.0022787313742272,1.0995139925214328,3.0286210159297102,0.7465959308960844
1.859373687619484,1.5662846278677869,1.4214170462716051,1.3699680806348895,1.0068623572171642,3.3253813868022064,0.4712194777565877
1.484238525794844,1.268944247811281,1.807405682326284,1.2338839772495143,1.5123997981897084,3.67241653619302,1.636742062812633
1.9472946100313653,1.1119683504535915,1.1688552438875344,1.0584145069981028,1.0275082533937985,4.3260101576409795,0.04962207498649858
1.0235787780366654,1.0250537031663118,1.6183593507652612,1.7794302207900883,1.425702315308145,3.3317280776603178,1.831392155949244
1.203114948396942,1.299935821265351,1.8727820531736208,1.6501375552530888,1.062462022301779,4.173014564015455,0.300606628105805
1.974505941103469,1.3767856425647411,1.8052252762622256,1.6889613526665177,1.6348782342264894,3.433484665254244,9.100171469927538
1.1417776365412462,1.0891252802779248,1.7490936785429303,1.2058173134462633,1.6364082699258475,4.157500386081502,0.7787231709128485
1.2584412394766105,1.674243886512217,1.2970578353069646,1.1859486506863703,1.10677722870776,4.056577799384307,0.1350772782469689
1.6907487548316302,1.859338953159265,1.4950415707095221,1.9101403856297388,1.1782145001494482,4.175522261645232,0.8036817637035215
1.6603010105989495,1.7298416307931472,1.3718428827741385,1.2035108187260528,1.655452758832134,4.086004100907802,1.2647476743533306
1.1078202792170924,1.6973116307029508,1.4772770985119013,1.0995416787303007,1.4806849609773864,3.0595638100969,1.9438402866231677
1.823721895957924,1.5821705699446538,1.8003401375941197,1.4485290206101706,1.7334535733180585,3.337789443215415,11.212268213028052
