epsilon,c,Ef,r,omega,omega_0,Pwr
1.845,1.635,1.905,1.055,1.505,3.61,2.2586458468298107
1.5350000000000001,1.355,1.115,1.375,1.875,3.33,4.412950432379205
1.7349999999999999,1.125,1.135,1.855,1.755,4.01,2.0344027271885334
1.4849999999999999,1.215,1.455,1.615,1.585,3.99,1.4650739359981433
1.425,1.495,1.795,1.365,1.385,4.45,0.6163044308040332
1.565,1.295,1.875,1.895,1.495,3.95,2.996123437176943
1.385,1.655,1.945,1.455,1.9849999999999999,3.73,12.0038425725745
1.935,1.065,1.835,1.505,1.465,4.61,0.8307702923339045
1.415,1.545,1.345,1.725,1.2349999999999999,4.890000000000001,0.22881114908966113
1.405,1.005,1.5550000000000002,1.5550000000000002,1.4849999999999999,4.93,0.34433931363077114
1.315,1.845,1.375,1.5350000000000001,1.155,4.15,0.3191511367017183
1.465,1.205,1.435,1.475,1.725,3.85,2.090017435335542
1.345,1.435,1.9649999999999999,1.465,1.325,3.91,1.1276444836557529
1.945,1.035,1.975,1.845,1.7349999999999999,4.97,2.156389893854485
1.5150000000000001,1.105,1.425,1.355,1.905,3.83,2.825032491672574
1.275,1.335,1.675,1.145,1.835,4.25,1.3769224943238556
1.2650000000000001,1.275,1.365,1.205,1.445,4.77,0.1866098394787988
1.975,1.155,1.625,1.755,1.305,3.11,3.549154327289908
1.5550000000000002,1.695,1.2850000000000001,1.695,1.015,3.15,0.7030282300039793
1.835,1.995,1.605,1.665,1.895,4.6899999999999995,4.168768717852345
1.8250000000000002,1.595,1.245,1.165,1.165,3.39,0.46001249393090593
1.595,1.385,1.525,1.955,1.815,3.9699999999999998,5.742982895953487
1.9649999999999999,1.705,1.215,1.305,1.205,4.51,0.20850761328821416
1.885,1.2850000000000001,1.055,1.065,1.565,3.03,1.695580108432723
1.655,1.325,1.7349999999999999,1.575,1.7650000000000001,3.75,5.5543001289872524
1.615,1.905,1.145,1.385,1.695,3.45,3.28110740131782
1.325,1.115,1.315,1.7149999999999999,1.745,4.91,0.6578051756598462
1.7650000000000001,1.365,1.225,1.5150000000000001,1.105,4.1899999999999995,0.19420940599828354
1.175,1.9849999999999999,1.745,1.945,1.685,3.21,16.280644831747118
1.9849999999999999,1.175,1.4849999999999999,1.495,1.045,4.83,0.11612879826782185
1.225,1.925,1.8250000000000002,1.625,1.955,4.99,2.8563607455954343
1.395,1.425,1.045,1.565,1.275,3.35,0.6390281778789719
1.665,1.7650000000000001,1.915,1.2650000000000001,1.405,3.13,4.599797150406625
1.605,1.7149999999999999,1.705,1.675,1.935,3.49,18.52549262623008
1.895,1.9649999999999999,1.395,1.4849999999999999,1.145,3.5700000000000003,0.8800285615655038
1.475,1.185,1.015,1.395,1.8050000000000002,4.35,0.634974985407638
1.585,1.565,1.2349999999999999,1.025,1.295,3.01,0.8590498711838608
1.445,1.935,1.355,1.135,1.175,4.3100000000000005,0.17857919112921902
1.365,1.245,1.955,1.2850000000000001,1.525,3.07,4.82105145443683
1.025,1.855,1.7650000000000001,1.175,1.085,4.33,0.1537496620518602
1.005,1.145,1.925,1.115,1.335,3.29,0.8627389894231317
1.455,1.345,1.165,1.345,1.845,3.37,3.687291527185057
1.775,1.975,1.065,1.215,1.185,3.17,0.6487567635476454
1.645,1.5550000000000002,1.405,1.775,1.115,4.53,0.2771560921265436
1.075,1.465,1.295,1.705,1.7850000000000001,3.87,2.3485431633081157
1.575,1.885,1.995,1.905,1.945,3.55,33.04830862454418
1.955,1.165,1.575,1.125,1.345,4.390000000000001,0.32142167242144853
1.305,1.455,1.335,1.085,1.8250000000000002,4.41,0.7125930572803373
1.2349999999999999,1.025,1.415,1.075,1.605,4.23,0.3470316228985303
1.185,1.835,1.185,1.8250000000000002,1.075,4.49,0.1575170501674599
1.545,1.815,1.755,1.425,1.975,3.25,25.18564824346553
1.295,1.585,1.445,1.685,1.9649999999999999,4.8100000000000005,2.045456402122953
1.155,1.505,1.935,1.2349999999999999,1.375,4.95,0.2906970255645275
1.255,1.4849999999999999,1.275,1.585,1.5350000000000001,3.19,2.8944869026750704
1.995,1.575,1.695,1.745,1.2650000000000001,4.59,0.7779780413383898
1.815,1.405,1.505,1.7349999999999999,1.055,3.69,0.57715131158983
1.725,1.945,1.085,1.445,1.025,3.59,0.2721258489231177
1.635,1.445,1.565,1.925,1.005,4.55,0.23628056804483605
1.135,1.395,1.385,1.525,1.435,4.21,0.5112715766248541
1.915,1.015,1.615,1.035,1.035,3.31,0.2671580214109997
1.245,1.2349999999999999,1.2650000000000001,1.295,1.245,4.03,0.19240997579345787
1.055,1.745,1.845,1.7650000000000001,1.665,4.63,1.803992583475932
1.125,1.615,1.865,1.405,1.315,4.67,0.3875374095969739
1.745,1.135,1.325,1.875,1.635,3.41,4.563165022034392
1.8050000000000002,1.5350000000000001,1.585,1.315,1.995,4.11,4.790311488814615
1.205,1.685,1.475,1.225,1.925,4.17,2.0364539984748484
1.095,1.665,1.025,1.015,1.475,3.23,0.5738407239518608
1.855,1.725,1.495,1.155,1.625,4.13,1.3408349489927236
1.675,1.8050000000000002,1.645,1.935,1.865,4.75,4.262244732830486
1.355,1.755,1.125,1.095,1.355,3.43,0.5168867542619326
1.065,1.225,1.305,1.255,1.855,4.65,0.5250494529510751
1.115,1.075,1.075,1.915,1.705,3.4699999999999998,2.1553302866656994
1.215,1.525,1.005,1.045,1.775,3.65,0.821279222404711
1.495,1.605,1.205,1.885,1.615,3.81,2.4878443986910725
1.525,1.875,1.465,1.865,1.675,3.71,5.86072913147332
1.925,1.955,1.775,1.195,1.7149999999999999,4.73,1.6249299796886845
1.875,1.7850000000000001,1.7149999999999999,1.8050000000000002,1.215,4.09,1.2585468884391406
1.145,1.195,1.815,1.975,1.5550000000000002,3.51,4.391557874661994
1.865,1.775,1.635,1.655,1.095,3.09,2.0940018693979874
1.015,1.675,1.5350000000000001,1.275,1.195,3.63,0.40298199891167663
1.2850000000000001,1.915,1.155,1.325,1.655,3.79,1.340160168149905
1.335,1.2650000000000001,1.545,1.995,1.415,4.47,0.8335152767084029
