c,v,omega_0,omega
7.308260478633628,1.284424287344888,2.4910790622771564,2.975194581975125
4.160833181006012,1.7400791172203278,2.9173097941850186,4.554773605342249
7.468187449311183,1.3639529295338595,3.1112004873886603,3.7423583794526065
5.496589801968206,1.1676081155585392,1.4300222954587736,1.7742870288415078
6.470861224459143,1.50068474115091,1.5228496361161523,1.9286010378638447
4.918686604707533,1.7740917953144857,4.7001754049361395,6.8570125098432815
9.561815250936169,1.0257343671462222,3.521857241251773,3.922294657151344
9.704922816677644,1.9402113004675379,4.9324292825088785,6.0404661125392725
6.4930031002984006,1.19916893396501,1.6654442244226906,2.0075640997667854
4.149531296582635,1.7398916305448224,2.0199601063678303,3.1579344560891873
8.416078790093824,1.4905288665256546,4.178484082687772,4.997514946906443
6.310802084359528,1.256598297584314,1.8444335775808518,2.2568879707896183
3.4149233340072094,1.5482200269492887,2.4857245645313064,4.0531601651754645
5.622371731328209,1.2499061599329422,4.283065875992573,5.369599707391799
9.170147339976706,1.8698929489424219,1.7441046592436136,2.1448102394373256
8.104831984783496,1.7842636731813837,2.4292874750980515,3.038639193602056
5.838224310320991,1.8088090507830719,3.547450907073266,4.886994756272289
6.579606188317411,1.6887317725443811,3.4082939556884457,4.4315218859697625
7.403285383711878,1.1630550988557131,4.378760039727833,5.1303678305090665
8.747267722848923,1.5387346121525078,1.8711318803438788,2.235137571177078
9.210807528776384,1.7098453709480148,3.5810092553338637,4.320870577438447
7.174544460883608,1.7347939484036603,4.147972596198923,5.3084669194156255
7.749626184195401,1.59905965278277,4.584164558342106,5.65168465389689
7.166674030021907,1.8664745608436817,4.000915564278655,5.223154303687777
9.804020449281,1.3540921175566578,3.800843956382217,4.3676607348148
8.837774790978392,1.3987084329211956,1.5284809502600356,1.7929831308485067
9.173394162720877,1.8715240443655337,1.7296054549119213,2.1272143130145524
6.649477928677109,1.414902738704284,2.5805791627565955,3.2030371431873896
8.095401276271502,1.5600027848036817,2.3964682197675593,2.91286839739178
6.320507153329121,1.8201304616757,4.834039221103135,6.501520668825602
9.53662370432561,1.0968612736108647,1.9392092227747608,2.1766939388787527
6.178613688256,1.1840657065635076,3.7237998443939446,4.521225615309635
5.971816080871103,1.5679724641932509,1.652353589742738,2.162054449645449
8.62215631208165,1.607010933109157,2.967703318219835,3.5836227431838608
8.954325193484955,1.71322890072276,2.031050690739721,2.4651935803856038
6.919413873143537,1.7246452992865202,3.852613236599439,4.969711474513288
4.856664558294899,1.1474352076257386,3.2211142299839413,4.098153607062453
4.949109227649245,1.9192776046213884,2.5265061556317283,3.803982296739272
4.179556983040524,1.9166850834032412,1.816683366419371,2.9818126771471296
8.481527508653848,1.1819640470939805,4.956593482882889,5.702980583141005
5.395065810306559,1.9205103739619929,3.826540694353693,5.552403028176042
9.889252966074308,1.6329981380094218,3.955444413196104,4.672748523887969
3.7746166937808026,1.1333939202850545,4.9885048408009025,6.80018343555929
4.729938682170392,1.7508645267440182,1.391322563679407,2.0521144973780228
4.8372660073373135,1.8587968048048564,3.7800678472283353,5.667777560504285
4.985085551769694,1.993076678363112,2.6698020157365443,4.077257581395388
