I1,I2,delta,Int
1.46,2.94,1.06,6.425700920158716
4.58,3.9,2.1,4.212691431543197
1.1,2.38,4.78,3.698625780857695
4.9399999999999995,4.26,2.7800000000000002,0.6184593637613887
3.1,4.02,3.98,2.399137206336402
1.5,2.1799999999999997,3.18,0.0660388961474343
1.06,3.34,2.02,2.765840907295279
3.34,4.9399999999999995,2.94,0.32057859768161734
3.42,1.22,3.5,0.8143022163213143
3.7800000000000002,1.1400000000000001,1.78,4.057766105720199
2.2199999999999998,1.5,4.140000000000001,1.7431929622669373
1.82,3.54,1.98,3.340154269517951
4.54,2.02,1.6600000000000001,6.020439406469599
3.2600000000000002,2.9,4.220000000000001,3.2529454513721
4.9,3.06,3.46,0.6048541708841837
2.1,2.46,4.34,2.9060602676116734
4.5,4.18,2.8600000000000003,0.34753800030175164
2.34,4.220000000000001,2.7,0.8780522333695595
4.62,3.58,1.18,11.29835925444196
3.5,4.74,4.0600000000000005,3.2945733133763238
2.06,1.7,2.54,0.6743643796796328
3.54,2.7800000000000002,1.5,6.763814921911592
1.98,1.06,1.3,3.815063719224753
3.98,1.6600000000000001,2.06,3.2242478064461317
1.3399999999999999,3.66,4.82,5.475708774655878
3.22,1.26,3.74,1.151518200997384
1.58,2.1,1.22,4.93192744159232
3.38,2.34,4.58,4.9775303002400495
1.26,4.140000000000001,2.74,1.1955349947359535
1.22,2.14,2.5,0.771029071693778
4.0600000000000005,1.58,3.22,0.590071523096892
3.9,2.58,1.3399999999999999,7.931237812795017
1.9,4.1,3.7,1.265808689584989
2.14,4.54,4.46,5.123265343735231
1.1400000000000001,4.58,4.7,5.663383943518117
4.98,2.3,3.2600000000000002,0.5586428199205793
4.7,1.38,4.62,5.6100835699327884
3.66,2.42,3.02,0.17173717652056197
1.7,2.54,3.06,0.09786661248193518
3.62,1.94,4.859999999999999,6.33951708381572
3.7,3.62,2.42,1.8248045019444934
3.46,3.86,3.7800000000000002,1.4504872823926132
2.1799999999999997,3.8200000000000003,1.9,4.134129006462932
1.38,2.26,3.9,1.0759890149803208
4.220000000000001,1.18,2.66,1.444625933301149
2.54,3.14,4.02,2.074300816104278
4.78,3.02,1.82,5.925880040248097
4.38,3.5,4.300000000000001,4.741458404104165
2.94,2.66,4.18,2.761033870815324
3.18,3.42,1.62,6.275601466676092
1.94,1.1,3.42,0.23085638043083945
1.8599999999999999,4.0600000000000005,3.14,0.42397203608295975
2.66,4.859999999999999,3.1,0.3352247615562325
4.26,2.06,3.62,1.060445785961214
2.42,4.42,2.62,1.1687173074187935
4.140000000000001,4.98,4.9399999999999995,11.16918762873834
4.02,3.3,3.86,1.8358250541424805
2.8200000000000003,1.46,2.58,0.8451264132694405
2.7800000000000002,1.02,3.94,1.4497529299884504
2.5,2.8200000000000003,3.38,0.1598348147482156
2.74,2.7,1.7,4.7391048990082085
1.02,2.74,4.26,2.298490941862686
4.46,4.7,2.46,2.0490582403716973
4.18,3.38,4.5,5.975331449173973
3.14,1.9,2.3,1.7851887844898089
2.7,4.62,2.14,3.512932580742564
4.66,4.5,1.26,11.960855505739383
4.859999999999999,4.78,1.8599999999999999,6.890872139075382
3.02,1.62,2.34,1.5629989092649574
3.06,4.300000000000001,1.46,8.162160701017092
1.74,3.46,4.98,6.497628922017071
2.58,1.3399999999999999,3.54,0.49253974401504497
4.42,4.9,1.58,9.234336812806376
2.3,3.7800000000000002,1.38,7.198334348430793
1.18,2.8600000000000003,4.38,2.8411247661551093
4.1,3.74,3.58,0.7489251023984318
2.62,2.2199999999999998,2.26,1.772662698269896
4.300000000000001,1.74,2.38,2.0806841294438443
4.34,2.98,1.94,4.724403151392437
1.6600000000000001,4.82,4.9,7.535152417080536
3.74,3.98,1.42,8.879180065620512
1.62,1.98,1.54,3.710293613846051
3.8200000000000003,3.1,3.66,0.9418464290894217
2.8600000000000003,4.34,3.8200000000000003,1.713980877106791
3.3,3.18,2.2199999999999998,2.563173065889685
4.82,1.8599999999999999,4.42,4.953903033224882
1.42,1.42,3.3,0.03555745345882366
3.86,1.54,3.34,0.6194350293278896
2.38,4.46,4.74,7.019892544431986
2.98,3.7,2.1799999999999997,2.879874826563362
3.58,1.82,1.1400000000000001,7.531876180206872
2.02,3.22,4.54,4.365036523612039
1.78,4.66,4.66,6.138370216799694
2.26,2.5,1.74,3.9594476714466293
2.9,2.62,4.1,2.3510565274070205
1.54,4.38,2.9,0.8765475622996926
2.46,3.94,2.98,0.2545934211633982
1.3,1.78,2.8200000000000003,0.19360488960971445
4.74,3.2600000000000002,1.02,12.1146550455983
3.94,1.3,1.1,7.2931426046030605
