gamma,pr,V,E_n
2.5417511131808306,2.69932033460948,4.176399193155324,7.312100618025327
4.019528339302275,3.713617000164163,2.3097187414062312,2.8406458955990272
3.3952127436880217,2.4927649290111518,1.651006875288607,1.7182490562148514
4.598391652710571,4.568619124935352,4.84803252026272,6.155198274122466
3.1205011508290017,2.405559615800158,4.0183799105171385,4.5585697654083415
4.0456150144309895,4.072569107153866,3.0069045953511404,4.020805881623857
3.744020629330752,3.646440458728436,4.203044880234933,5.585290699829041
4.219686599745058,4.141253896380927,2.8651799956904562,3.685277263298021
2.1040620141096986,1.829367933336807,2.748807392022714,4.554617434185081
3.4613317054452946,3.9639889498369687,1.3817126849272157,2.225256271953868
2.715430170063224,2.8906917048215983,4.082743653875294,6.879879705470822
2.587898018184796,1.425820063250685,4.918151666872767,4.416152196444712
3.630363519350958,1.794029728964997,1.4065787145226545,0.9593518201642608
3.7248200377733554,1.8548878026513782,3.7609157935432274,2.560197273777725
3.680562666207268,1.1879875958552228,3.587392478606217,1.5898817885419951
4.36480669804916,2.0278470785527114,2.8383451780647015,1.710567795944928
2.6631953278243485,1.0291146066927013,2.5188257487947245,1.5585423590560328
4.5879368225322805,3.8239228955982165,2.7618135703588265,2.9434637975635534
2.284161185944088,1.720645234232563,4.850814582350203,6.499597624211409
4.32575783913445,2.958451569845231,3.84797446514552,3.422993088425494
2.3489769578024413,3.5729783326538023,3.1039224821427718,8.221228473019853
2.915314473741242,2.024963743882961,3.880798509675045,4.102969192341972
4.7187514480242125,1.5554272042326915,2.4768206566438433,1.035969809543514
4.840059877185,2.7460863276253344,3.659849028658462,2.617214757114496
4.66616325000761,3.7617689889303088,4.59180523625262,4.711549749157259
4.464243801284941,4.8316021876475075,3.3946715474941622,4.7345693363538395
3.3662193518753307,1.3910891971752075,3.1460156757221847,1.8495277782140176
3.2986789094069957,3.264290800425989,4.7453249915821,6.7387057199080775
4.073487051934428,2.5005999031712167,3.4495989344656395,2.80660585704278
2.7284610543636076,4.1122606202122745,4.816506274209301,11.459170010474304
4.93700690730199,1.309549822224679,1.098351747423167,0.3653400589443885
3.980000453027676,4.998252292148688,4.597282477025758,7.7108638205417055
2.1080279958841817,1.7167475810566557,3.0394537055123787,4.709244546215854
4.772370267607662,1.6133097709633928,4.467420938159681,1.9105584391932355
