n,T,V,kb,pr
2.14,1.94,3.3,4.66,5.862562424242425
3.34,2.46,1.62,1.02,5.173288888888888
3.18,3.9,2.34,1.3399999999999999,7.101999999999999
1.06,3.38,1.26,2.14,6.085073015873016
3.9,4.82,3.7800000000000002,2.8200000000000003,14.023904761904763
4.98,3.02,4.34,2.06,7.138611981566822
4.0600000000000005,2.5,2.06,1.9,9.361650485436893
2.74,4.859999999999999,3.1,3.18,13.660049032258064
1.3399999999999999,1.98,4.859999999999999,2.2199999999999998,1.2119555555555552
4.58,3.5,4.78,2.34,7.8473221757322165
2.26,3.7,1.3399999999999999,2.98,18.59608955223881
3.8200000000000003,4.220000000000001,2.46,4.18,27.391573983739846
1.5,3.3,4.82,4.0600000000000005,4.169502074688797
4.82,4.42,1.8599999999999999,3.58,41.005243010752686
3.62,4.66,3.7,3.74,17.05156972972973
2.38,2.06,3.38,4.82,6.991566863905327
1.74,2.8200000000000003,2.3,4.54,9.685596521739134
3.7,4.140000000000001,3.02,1.46,7.405390728476823
2.06,3.22,3.42,3.14,6.090130994152049
2.46,1.58,2.38,2.3,3.7561512605042013
2.9,2.54,4.140000000000001,4.62,8.220028985507245
1.82,4.98,1.02,1.6600000000000001,14.750564705882354
4.62,1.02,2.94,4.9399999999999995,7.918114285714284
2.3,3.7800000000000002,3.86,4.9,11.036424870466321
3.94,3.58,4.300000000000001,1.3,4.264362790697674
1.18,3.34,4.220000000000001,1.82,1.6997592417061609
2.66,2.1799999999999997,1.54,4.859999999999999,18.30010909090909
1.1400000000000001,1.42,3.58,3.9,1.7634972067039107
1.7,3.86,2.2199999999999998,4.26,12.591945945945946
2.58,1.82,3.98,2.7,3.185457286432161
2.8200000000000003,3.94,3.22,2.8600000000000003,9.868598757763978
2.98,2.7800000000000002,3.14,1.62,4.27411719745223
2.62,3.2600000000000002,3.18,3.22,8.648636477987422
2.7800000000000002,1.38,1.6600000000000001,2.66,6.147484337349398
3.22,1.9,4.98,1.94,2.3833172690763047
4.46,1.22,3.46,1.22,1.9185734104046244
2.2199999999999998,3.54,3.06,2.02,5.187835294117647
4.78,2.14,4.18,2.54,6.215829665071772
3.58,3.98,2.42,2.7800000000000002,16.367996694214877
4.9399999999999995,2.2199999999999998,3.62,1.38,4.1807138121546945
2.34,3.74,2.74,1.18,3.7689372262773713
1.98,3.66,2.26,3.2600000000000002,10.453348672566374
4.7,1.18,1.06,3.1,16.219433962264148
3.54,1.78,3.34,4.1,7.735005988023953
2.94,4.34,4.58,4.42,12.313849781659387
3.2600000000000002,1.26,2.7800000000000002,3.06,4.521315107913669
4.02,4.54,1.5,2.38,28.957935999999993
1.46,2.1,2.5,3.86,4.733904
3.42,1.54,2.66,4.98,9.8604
4.9,2.7,3.2600000000000002,1.54,6.249754601226995
4.66,1.06,1.94,2.94,7.48578556701031
3.3,4.62,1.9,4.7,37.71378947368421
2.02,3.42,2.54,1.1,2.991826771653544
1.78,4.300000000000001,4.5,3.54,6.021146666666668
2.1,1.6600000000000001,2.8600000000000003,3.98,4.851146853146854
2.5,2.38,2.1,4.02,11.389999999999999
1.02,3.1,4.7,1.74,1.1706127659574468
1.58,1.7,3.5,3.02,2.3176342857142855
1.3,3.06,2.58,1.78,2.744511627906977
4.26,1.74,4.74,3.3,5.16053164556962
4.1,4.38,1.46,1.1400000000000001,14.022
1.8599999999999999,4.7,4.9399999999999995,3.38,5.9813684210526326
4.220000000000001,4.9399999999999995,4.62,4.58,20.666308225108224
4.54,2.98,4.42,2.26,6.917645248868777
1.22,2.26,2.8200000000000003,2.62,2.5616539007092194
4.38,2.94,4.0600000000000005,3.42,10.847296551724135
3.46,4.78,1.1,4.38,65.85449454545454
4.42,2.02,3.66,4.78,11.660587978142077
1.9,1.62,2.9,1.8599999999999999,1.9741655172413795
1.94,2.62,1.78,4.34,12.39289438202247
1.54,1.1,1.38,3.62,4.443681159420291
2.42,1.46,4.02,3.66,3.216794029850747
4.5,2.66,2.98,4.300000000000001,17.272147651006712
3.38,4.18,1.1400000000000001,3.7,45.85533333333333
3.74,2.8600000000000003,4.46,3.7800000000000002,9.06555874439462
4.18,4.74,4.66,2.58,10.969539914163091
4.300000000000001,2.9,4.9,4.74,12.062816326530614
1.1,3.14,3.9,2.74,2.426656410256411
3.5,2.3,1.18,1.58,10.778813559322034
3.7800000000000002,4.46,1.22,3.46,47.81266229508197
3.06,1.3,1.98,1.06,2.1296363636363638
1.42,4.02,2.14,4.140000000000001,11.043353271028037
3.1,4.5,4.1,1.26,4.287073170731708
1.62,4.58,1.3,3.94,22.487095384615387
4.140000000000001,4.9,2.62,4.46,34.53265648854962
2.7,2.58,4.26,4.220000000000001,6.900591549295776
4.34,1.3399999999999999,1.42,3.5,14.334225352112675
2.1799999999999997,1.5,3.8200000000000003,2.46,2.105811518324607
3.98,4.26,3.74,1.98,8.976070588235293
3.66,3.8200000000000003,3.94,1.42,5.038909644670051
4.859999999999999,2.42,2.7,2.5,10.889999999999997
2.54,4.0600000000000005,2.02,2.1,10.720811881188121
1.6600000000000001,1.8599999999999999,1.82,3.8200000000000003,6.480567032967032
3.86,3.46,3.54,4.5,16.977457627118643
4.74,1.1400000000000001,4.38,1.5,1.8505479452054798
2.8600000000000003,4.1,2.1799999999999997,2.42,13.016935779816516
3.02,2.74,1.7,2.1799999999999997,10.611214117647059
3.14,3.18,1.74,3.34,19.166993103448277
1.38,3.62,1.58,2.9,9.169139240506329
1.26,2.34,4.54,1.7,1.1040264317180615
