n_0,m,x,T,g,kb,n
4.58,4.26,3.38,2.54,3.9,3.02,0.0030307015012355806
2.66,1.3399999999999999,4.220000000000001,2.3,3.22,1.22,0.004042917754163367
4.78,3.38,2.38,4.7,1.6600000000000001,2.42,1.4775500327796514
3.14,2.8200000000000003,3.74,1.26,4.38,2.9,1.014953548245558e-05
3.98,4.74,4.0600000000000005,2.7,1.1400000000000001,4.82,0.7375004491066672
2.62,2.98,1.8599999999999999,4.02,4.9,4.38,0.5602761387681976
1.8599999999999999,2.5,4.78,3.54,1.42,1.3,0.0465730431898575
2.1,4.859999999999999,4.9,2.5,2.06,2.34,0.0004789821287945902
1.74,4.7,1.1400000000000001,3.86,4.220000000000001,3.1,0.2629743690599771
1.82,1.5,2.06,1.06,2.7,2.8200000000000003,0.11166954378811235
2.98,2.7800000000000002,1.94,3.14,3.1,2.38,0.31814111546268
1.02,3.2600000000000002,1.3399999999999999,4.62,2.38,1.82,0.29621366934345483
3.42,3.18,3.66,2.06,1.82,2.26,0.03614266471140898
2.54,3.34,3.54,2.74,4.300000000000001,2.94,0.0046117068740907895
3.34,3.7,2.8200000000000003,3.42,3.18,1.1,0.000493573978055203
1.46,2.02,1.22,4.300000000000001,2.5,4.74,1.0791351326536085
1.7,3.5,1.74,4.78,3.62,3.86,0.5146777774484232
1.22,4.38,2.14,4.9399999999999995,4.98,4.78,0.1689846254021449
3.9,3.06,1.98,3.7800000000000002,3.02,1.5,0.15472450027102286
1.18,4.140000000000001,1.6600000000000001,2.62,3.34,4.9,0.1974155396162519
3.74,2.26,1.38,2.7800000000000002,4.78,3.66,0.864080341070327
1.98,4.82,2.66,2.34,4.62,4.34,0.00580206320581168
4.42,2.94,4.7,1.22,2.02,4.140000000000001,0.01759421988405256
4.0600000000000005,3.66,2.94,2.9,2.62,1.58,0.008637493290889739
3.02,3.8200000000000003,3.34,3.66,2.9,1.8599999999999999,0.013168581200052942
3.54,1.1400000000000001,4.82,4.220000000000001,4.5,1.42,0.05714291014935218
3.94,3.58,3.3,3.18,3.74,3.9,0.11174905637909552
4.18,4.18,2.34,2.66,1.62,4.58,1.1384440514819445
3.2600000000000002,3.7800000000000002,2.3,1.82,2.1,3.54,0.1916583859338404
2.1799999999999997,1.94,1.7,1.18,4.18,1.54,0.0011061456758399912
4.300000000000001,1.3,1.3,1.98,3.38,4.0600000000000005,2.1128470047480667
1.1,1.38,3.62,1.58,1.22,1.02,0.025061629792958444
2.3,1.1,2.5,1.3,4.42,4.1,0.2351389455404535
4.1,1.46,4.5,3.34,4.1,1.78,0.04416180152677067
1.62,1.02,3.9,4.82,3.5,3.58,0.7229303865507639
1.3,1.58,3.46,3.22,2.58,1.62,0.08703176897629904
2.74,3.02,2.54,2.1,3.98,4.18,0.08458226334493837
4.46,2.54,3.7,4.140000000000001,3.06,3.46,0.5990164537142026
1.78,4.02,2.1,3.94,1.1,4.300000000000001,1.028906161571571
2.46,2.34,1.26,3.02,2.7800000000000002,4.26,1.300893070299237
2.5,2.74,4.9399999999999995,1.02,4.26,3.22,5.93430153157298e-08
3.62,4.1,3.5,2.38,1.98,2.2199999999999998,0.016720672681611412
1.54,3.86,4.34,3.7,1.26,3.06,0.23869835754379884
4.859999999999999,3.94,1.18,3.1,2.34,3.94,1.9943710959004344
