omega,T,h,kb,c,L_rad
2.961730829555035,1.5223265356376467,3.521593348574993,4.969026867989049,1.6646115266592083,2.1698106952647613
3.6292379302952025,2.2119476627020163,1.4156820223359512,4.206831680509971,3.801875891598722,0.8219462962625534
3.430228763257197,4.643026479269197,1.5484924592961176,1.1358221066220406,4.574621156001934,0.27699596420760925
1.570605833081849,1.860803910233516,2.7904277504474093,2.3156461566078987,1.278805285026232,0.6066991619814077
4.068960167709273,2.3401246185690563,1.5943281134977367,2.400836078349422,3.9287179092751097,0.5562248054082272
4.028673462765367,1.7264113678248578,4.877655346225076,1.0163733939960231,3.2532932042137883,0.09828875055019767
2.2712640467519205,3.211217801299881,3.2207778148851256,2.6969367866789566,2.2549277749986167,0.8317482322324686
1.3498024937523163,4.795820856069739,2.233663786366724,4.54595215979151,3.7032560886990287,0.2902504144436802
2.154847648099433,4.986830305750099,3.613373316911232,3.689637981589481,1.0200222365798113,8.042950472406321
3.811431584347611,2.829622336105821,2.6111846935866243,3.2071790897075005,2.7054520711080183,1.6703080492189817
2.8207282997505487,2.5532509619421138,1.5498099325153727,2.5088314482316383,1.307270689069675,2.860602574114454
4.92632161862695,4.693714653699324,2.7274256413098024,4.698348026177815,2.191429906301814,10.752903203218477
1.3824463784834005,4.205502483427792,4.789047778652504,4.786551030164391,4.243115326443067,0.21088785010374955
1.3881962063748678,1.1459161430100195,2.8132524731831583,3.5297550254192696,4.0194575884748645,0.04522397663810987
4.579910604732053,1.0744445480773606,4.7623757729754335,2.9497417323956814,3.7770082679467527,0.2598658556575033
2.567449448479353,2.1012058003431884,4.77412519573048,4.238846411506727,4.650279910072594,0.2460554923212085
4.424003236726622,3.6113719178966237,3.236677068125861,1.8702983059772544,1.5039399026554148,4.978844298158754
4.677124655861181,4.344387484266069,3.308104643043157,3.9506856990733294,4.784380966271626,1.5455389626328833
4.315608510238366,3.658961010623206,1.2429608427002918,1.848939079959174,2.797170139803724,1.5308622267590384
1.0142835488024438,2.9512575596770105,2.0864153078671968,3.79143708857668,2.9057343277048266,0.13607100954586052
2.5756832794599718,1.16441042993924,2.6707120246830724,3.2469604580065616,1.8260005726127773,0.657158888428374
2.583056691280585,2.8045132095534977,3.8073420117557033,2.9480680914707817,4.586834419529543,0.24131249839327765
1.1411125627743788,1.4753693341955474,2.8392793812145287,2.140570639267315,3.8439937722906343,0.025958800110208045
3.1637981424365185,3.190374670212865,4.401379651334932,1.8299559376065255,3.9120131019628768,0.3181003706439801
3.5447355893025083,2.56501567311395,4.260406047394975,4.949152453997709,2.1787445460095576,3.0925291066789913
2.5075437465795614,4.292488070850747,4.45442795732156,2.2421865156902414,2.011786503045132,1.3793957552661364
3.9074237541202743,3.7237317726744505,4.650977609044218,2.3709089227029634,1.648927147935403,4.245127964312955
2.8965163256096185,3.0999869720444555,4.147803125788659,1.1582972251322246,1.5600953961917077,0.9496762103523756
2.6091986812240413,3.1373298256046085,3.480681552668909,2.1813118210046767,2.9621055993619483,0.48319329114605897
4.546844955907568,3.2615956125060093,4.7364251002190745,2.414932315308855,4.641684162842697,0.6112095201001602
3.6384407133158687,2.749409167269946,1.6587252378617119,3.1264846874137326,4.656667217847788,0.5025576332997179
2.0898579937816404,3.9859131009478377,4.866972358328088,3.2376060376689395,3.3712902039537704,0.4715950099161019
4.653825022487616,1.581667444958791,2.536208809719309,3.507445136639772,2.9997271056316346,1.1367375857249171
2.9321010020688774,3.0292273083353214,4.677452003860699,4.81376070306673,2.876257946211444,1.4233401420084315
2.8174123613147395,1.986804698920587,2.8803991423555018,3.7075077842282416,4.9513895661230105,0.22108175597820545
1.7018353637089831,3.9143224280517854,2.3924315151366202,1.774654656113591,3.0513932939869663,0.20887940345827896
3.1540275076985447,3.5537348953118326,3.2944533230351634,1.258701019090542,3.8470710522575886,0.2517829229752875
3.5812273767779064,2.186853110840968,2.974848263266564,1.6189984555430406,4.000136286766393,0.22415319076579268
1.1788452955852022,4.822008244318028,4.8455774181048215,1.3749921217846848,2.5333239652241963,0.13572055460248966
1.7820503832088432,3.0921896715311847,3.3154428804240395,1.3315337411620134,2.9796115113480512,0.1328321193009008
1.102777846580982,1.5107346539720958,4.1695382005868336,2.893276068136438,2.3061143498419705,0.09303147478930364
2.3702475942894625,2.9792726888430474,4.780386622227488,1.4531714718569266,1.6879668452418062,0.6972730120969709
2.258577374221002,1.0015825389144144,2.7570185107202683,4.8562114045897005,3.3382572486070687,0.20338497371666053
1.4948763871116522,1.6465428425582502,2.969618402482092,2.095135895850609,1.1743416689109427,0.5103586538373872
4.900167112283251,3.8909128453657233,4.609343840005689,3.2621487908428835,4.1087436800191055,1.5823755557296195
1.8291220992839488,1.2392849481616075,3.677275817475672,1.5448383985839835,3.6748732522713063,0.035866780277106464
1.3339351628934557,2.2451462092942926,4.702134969531191,4.557183573318882,4.788229553144934,0.0765952757342321
1.0930700294019084,3.8124766093951687,2.2631550144531496,2.663981963755448,2.649331487187484,0.17179760588737197
1.7181177319203162,4.710354165622508,1.2257004610205295,2.9371045722425557,2.0255498620823067,0.9963729465527168
2.591882890234284,1.6181276605492418,4.891702778668955,2.0214890619048056,1.686672744702599,0.5658895684527447
2.5508556713006514,1.292590570854972,3.4167605415888036,3.641442626303222,4.472569175964555,0.13339136075235689
4.253910421687634,3.1971422338847884,2.467987218421635,2.583332483893126,1.0629743748270886,12.09213596362435
3.862895001171564,3.6501978129882815,3.9157902768237984,1.4173169819392646,3.890379296056227,0.40585153845864796
4.267172032083882,1.2354557674863489,2.0138306014132534,4.657985187387767,3.7053076381322594,0.6850594801733133
4.315768119251624,3.5132639275108426,1.0069509299036523,2.0262644798693814,1.8664687603993733,3.6720912888390473
4.359668086962092,2.9873344282296985,4.537158064415439,4.246309627257581,2.2161971765878654,4.3820854184526326
4.141478187215877,1.0296985245951524,2.7622746220441696,4.362944287538475,3.9683182864692013,0.40208207702073867
2.0024659332421124,3.4748991918213057,2.181285358641541,3.844781055907128,4.043337892907605,0.3234568349060723
3.414100379129787,2.6451164552458333,1.3037256536974775,2.298279762617068,4.549030092433871,0.32712459572458596
2.4777549422991783,1.0927634218014122,3.1585793963379536,3.3259479241052388,3.128460516711045,0.19366674927394006
1.6572129973922143,4.321529474955256,4.103596307662127,4.238439842662448,1.9248084422541416,1.335459772905278
3.882248514386892,3.855136351762968,2.0215265775313944,1.3704532170036456,2.6745619810249326,0.9998095153463412
4.680949457580778,4.1606544819608615,3.4959752147012697,4.739739000867213,2.6114148252447373,6.00534742754208
1.6166324384191753,3.5528298758458323,1.991460971032696,2.6031084311887667,3.3673889387126184,0.2100471041855521
1.1543649157070268,4.930746343529467,2.8060115012185416,1.5200280805497202,1.5732125421582768,0.3949608627249997
1.4512676741143888,1.5185176844808628,3.49008683647428,2.0191289063991813,2.1439587987967634,0.12445269373986205
3.5922205088578862,3.2246055094771475,3.0876694024574687,1.068984529239263,2.0461002843186438,0.8242919119789445
4.9065807098533085,1.8289947088079548,2.9842737977904044,4.1820420944905985,3.3684181165729155,1.4065954251428665
1.524942393408696,2.30528326152984,1.6463029037902044,3.581802800906118,3.212818731622836,0.18395452874315615
1.8375235001786203,4.757135115284304,3.4799059898720026,4.583919242481786,2.5355774272224787,1.1334988074819992
1.9418750471236703,2.2650342003586443,3.8060227536933833,3.023540294048084,1.445897492442274,1.1471689542126426
2.9492539717981336,1.6683698307085413,2.054755395035233,1.7036514428335905,4.9395723591075535,0.08622898942289775
4.201917319821743,4.503642467123777,2.112520755525111,2.9654837829260554,1.4002310741125314,11.552678822534725
1.007612158773175,2.580772693845605,2.3903062937040223,2.8832521502145583,4.6718621235087205,0.034174723639463826
1.5022953452114742,3.805552250982853,4.8552859754615625,4.314313287888185,4.191996382528346,0.2061836514317499
1.31530259798026,2.34209103707571,2.680378349066756,4.717607469601459,4.206969287216468,0.1066754538733824
1.16654925293107,1.1220674360069722,2.4537151789294382,2.7394224127504496,2.29759792470738,0.07448282175746265
4.200176790024102,3.533125401575753,1.4817571185937326,4.963670577864557,4.945196382664402,1.2459708590476366
1.9784910366979191,1.983404906694039,4.553234273380575,4.400404751443852,2.5728260873135578,0.4811623049592706
4.691574491983218,2.1226932628797117,3.4969406033812898,2.1849975178252268,4.0212814314274885,0.4764070709974563
2.199322165716115,4.678329009021833,4.756174515964135,4.405405783812653,4.9101572210745035,0.4022584478456415
2.804903397420756,3.843771670240817,2.5461579036964337,1.1090716814777393,3.342725844080132,0.26538018597454
4.997883645308685,2.2259866262513066,2.031111949715177,4.976725875917335,1.1858756527549827,18.51855708421168
3.146797565519577,1.0342252785818156,1.9178474063195619,1.5985016811196275,2.435258436738758,0.20626361075580632
3.1455717736305093,1.0278621765973792,1.7477966251767645,3.1305889726813034,2.819199576162172,0.35320242818120084
4.334389938929796,1.8282256257951024,2.8915146465684347,3.9807703043827414,3.200638548613438,1.1754543408093254
1.6458299983232818,3.5459174843863166,3.7350187761271805,3.8677562075547884,4.580983455757407,0.17304454935277616
4.183812604536507,3.816394151629737,4.966994295503666,2.52493100178955,2.497711542183064,2.2961596911407067
2.7622253310709555,2.4012115388605952,3.2220078827213823,2.3664699660868083,4.4172518004148245,0.19824073777583864
