omega,T,h,kb,c,L_rad
2.94,4.82,4.82,1.9,4.18,0.4048264817751253
2.42,1.74,1.22,1.98,2.74,0.2541505975803836
1.02,3.58,1.42,1.82,4.82,0.029043949973943183
1.98,4.46,4.74,2.8600000000000003,4.859999999999999,0.20220066974235132
4.66,2.62,1.06,4.62,3.86,1.730059515652232
3.22,2.46,3.18,3.94,1.02,8.987115433947917
2.34,3.9,4.66,2.3,4.9,0.18786335587247216
3.66,4.02,4.300000000000001,3.14,1.46,7.266260046594665
4.300000000000001,2.66,1.26,4.66,2.54,3.4757124850935384
3.9,4.0600000000000005,3.46,2.26,3.38,1.0985359157652945
2.7,2.5,2.54,4.220000000000001,2.46,1.2222236484805549
4.98,2.58,3.14,2.34,3.2600000000000002,1.1533818565976697
3.58,4.62,2.14,3.34,3.66,1.4375433839286555
2.98,3.1,3.22,2.9,4.38,0.38684236169309133
4.54,1.26,2.1,2.5,2.7,0.7024288429241584
2.2199999999999998,3.2600000000000002,2.1799999999999997,2.7,2.02,1.030728123430554
2.1,2.1,1.6600000000000001,2.06,2.8600000000000003,0.2214860229795209
1.38,1.22,4.140000000000001,1.5,4.26,0.015022304277758237
1.06,2.7800000000000002,4.62,4.54,4.74,0.06199792635133373
3.7,3.5,4.859999999999999,1.7,4.62,0.3011004032740392
1.54,3.98,1.1,2.74,1.22,1.738905951374887
4.140000000000001,3.46,2.02,3.3,4.02,1.156859045531693
2.14,4.7,4.54,3.98,3.58,0.6496345139562534
3.38,1.06,2.9,2.14,3.74,0.13051103693990254
1.78,4.54,1.58,4.1,2.3,1.1160717981081292
1.8599999999999999,1.62,3.06,2.1799999999999997,2.5,0.1737520963879396
3.7800000000000002,3.38,4.34,2.54,1.06,9.464776554535739
3.54,3.54,1.18,4.140000000000001,3.46,1.5193943136799242
2.7800000000000002,1.8599999999999999,2.34,2.2199999999999998,1.82,0.8588741828808926
2.9,1.18,2.42,3.86,4.78,0.14988986507693453
1.26,2.38,4.98,4.5,2.7800000000000002,0.2126844652675813
4.7,3.34,2.5,1.3399999999999999,3.98,0.5094414628402221
4.1,2.1799999999999997,2.38,1.46,2.62,0.6126589205420285
4.5,4.74,4.58,3.8200000000000003,1.58,13.574419059696668
1.18,1.5,1.5,2.58,4.9399999999999995,0.021568449248063167
4.34,4.98,1.82,2.7800000000000002,2.42,4.309788812542696
