mu_drift,q,Volt,d,v
1.26,3.94,3.58,4.140000000000001,4.2928869565217385
2.74,1.8599999999999999,2.94,3.1,4.83336
3.74,2.9,4.62,1.58,31.71425316455696
4.62,3.9,4.18,4.66,16.162068669527898
2.8600000000000003,4.34,1.8599999999999999,1.42,16.25849577464789
1.42,1.42,1.58,2.38,1.338618487394958
1.46,2.14,2.8200000000000003,4.82,1.8279684647302907
4.0600000000000005,3.06,2.9,4.859999999999999,7.413259259259261
3.54,2.54,4.220000000000001,3.8200000000000003,9.93312879581152
1.98,3.02,2.7800000000000002,4.78,3.477675313807531
1.58,4.82,3.34,2.2199999999999998,11.457704504504505
3.58,3.8200000000000003,4.0600000000000005,3.02,18.385078145695367
4.58,4.5,1.74,3.66,9.798196721311474
2.7800000000000002,3.1,1.1400000000000001,4.1,2.396224390243903
3.86,1.54,1.3399999999999999,4.62,1.724133333333333
4.9399999999999995,4.7,4.9399999999999995,3.22,35.62016149068322
4.42,4.38,3.86,3.46,21.59770404624277
4.98,1.1,3.62,1.94,10.221835051546392
3.38,3.14,4.9,4.42,11.765764705882354
2.58,3.62,3.2600000000000002,1.62,18.794503703703707
4.1,2.3,3.14,1.8599999999999999,15.919462365591396
4.26,2.8600000000000003,1.98,4.220000000000001,5.716475829383885
1.3399999999999999,2.06,2.06,2.3,2.4723582608695653
1.06,4.62,3.9,1.82,10.494
3.8200000000000003,4.140000000000001,2.5,3.7800000000000002,10.45952380952381
1.8599999999999999,1.62,2.26,1.98,3.4393090909090906
2.34,4.66,2.2199999999999998,3.3,7.335687272727271
3.62,2.5,1.62,4.26,3.4415492957746485
4.78,1.22,2.58,2.14,7.030620560747663
2.42,2.46,1.5,4.9399999999999995,1.8076518218623483
2.38,3.46,4.42,4.54,8.017140088105727
3.46,4.42,4.300000000000001,4.7,13.991651063829787
4.66,3.2600000000000002,4.46,2.8200000000000003,24.026431205673756
3.3,2.02,3.94,4.34,6.051622119815668
1.6600000000000001,2.94,4.26,4.0600000000000005,5.120813793103448
2.54,4.300000000000001,2.54,4.38,6.333762557077627
3.94,2.34,2.3,3.38,6.273692307692308
1.18,3.42,1.3,3.9,1.3452
4.74,3.7,2.1799999999999997,2.54,15.052299212598424
3.66,1.38,1.54,1.5,5.185488
1.1,1.5,2.98,2.02,2.4341584158415843
1.82,3.98,1.42,4.02,2.558684577114428
4.46,2.66,2.02,2.1799999999999997,10.992877064220185
2.66,3.74,1.94,1.06,18.207449056603775
4.9,2.7,2.62,3.58,9.682290502793297
3.1,1.3,4.54,2.7,6.776370370370371
3.14,4.859999999999999,3.54,1.1,49.11074181818181
4.38,4.74,3.1,3.54,18.180711864406778
4.300000000000001,4.0600000000000005,2.42,2.42,17.458000000000006
2.02,2.26,2.1,3.2600000000000002,2.9407730061349695
2.8200000000000003,1.58,2.34,4.46,2.337691479820628
4.220000000000001,3.3,1.78,1.6600000000000001,14.932698795180723
2.5,3.54,1.02,2.58,3.4988372093023252
1.9,2.74,3.66,2.8600000000000003,6.662223776223777
2.3,2.42,3.3,4.74,3.87506329113924
1.94,4.98,2.7,2.9,8.994910344827588
1.62,3.22,4.5,1.26,18.630000000000003
2.62,2.1,4.82,2.94,9.020285714285716
1.3,4.9399999999999995,3.18,4.98,4.100795180722891
1.02,4.58,1.22,2.34,2.435620512820513
1.22,4.9,3.02,2.98,6.058241610738255
4.7,3.58,3.22,3.62,14.966773480662983
2.7,1.9,2.74,1.3,10.81246153846154
1.54,4.78,4.58,3.74,9.014517647058824
3.34,1.78,4.74,3.18,8.861713207547169
4.140000000000001,3.38,3.8200000000000003,1.38,38.734800000000014
2.26,1.26,2.8600000000000003,1.54,5.288400000000001
1.74,1.98,4.34,4.18,3.5770736842105264
2.14,2.62,1.82,3.7,2.7579394594594597
1.1400000000000001,2.7800000000000002,3.7800000000000002,3.14,3.8151515923566888
3.9,2.2199999999999998,4.859999999999999,1.9,22.146252631578946
3.98,3.18,1.38,1.02,17.123364705882352
3.02,1.02,4.7,3.86,3.7507461139896376
3.7800000000000002,4.220000000000001,1.7,2.06,13.163941747572817
4.5,3.5,2.46,1.7,22.791176470588233
2.46,1.6600000000000001,3.46,2.46,5.743600000000001
3.42,4.1,3.98,1.1400000000000001,48.95399999999999
4.02,3.86,3.42,4.300000000000001,12.341586976744182
2.1799999999999997,1.74,4.1,1.78,8.737146067415729
3.5,4.46,3.5,3.98,13.727386934673367
3.7,1.94,4.98,1.46,24.48386301369863
4.859999999999999,1.06,2.14,2.66,4.144520300751879
4.82,2.1799999999999997,2.66,3.5,7.985776
3.22,1.3399999999999999,4.78,3.94,5.234706598984771
3.2600000000000002,4.54,4.140000000000001,3.06,20.0240705882353
4.54,1.46,1.9,2.5,5.037584
2.94,4.18,1.26,1.18,13.122366101694915
3.18,1.1400000000000001,1.46,3.34,1.584668263473054
4.18,3.66,4.66,1.3399999999999999,53.20328955223882
1.5,4.26,1.1,1.74,4.039655172413793
2.06,3.34,3.06,4.5,4.678672
1.7,2.8200000000000003,3.7,4.58,3.8728820960698696
2.98,1.82,4.02,2.1,10.38232
3.06,3.7800000000000002,1.06,2.74,4.474747445255474
1.38,2.58,3.38,3.42,3.518757894736842
2.9,1.18,1.6600000000000001,4.9,1.1592897959183672
2.1,1.7,4.38,2.7800000000000002,5.624676258992805
4.34,4.02,1.18,1.22,16.8747737704918
2.2199999999999998,2.38,2.38,2.26,5.564145132743362
1.78,2.98,3.74,2.62,7.571929770992367
