mob,T,kb,D
2.98,2.42,1.26,9.086616
4.220000000000001,2.46,1.8599999999999999,19.309032000000002
4.54,3.74,1.7,28.86532
1.54,2.1,1.62,5.23908
4.34,3.58,2.94,45.679368
3.58,4.74,2.3,39.029160000000005
1.46,1.26,3.9,7.17444
2.06,2.62,1.98,10.686456000000002
2.46,2.58,4.5,28.5606
3.3,4.9399999999999995,4.58,74.66315999999999
3.94,1.22,4.74,22.784232
3.2600000000000002,3.7,1.3399999999999999,16.16308
2.66,3.5,1.1,10.241000000000001
2.1,3.66,2.06,15.833160000000003
3.06,2.54,3.58,27.825192
4.58,1.9,1.46,12.70492
4.9,4.46,3.94,86.10476
1.42,4.54,1.02,6.575736
4.300000000000001,4.0600000000000005,3.62,63.197960000000016
2.74,3.38,2.54,23.523448000000002
4.7,2.06,3.66,35.43612
2.9,4.78,3.18,44.08116
4.62,1.5,4.34,30.0762
2.5,3.8200000000000003,1.1400000000000001,10.887000000000002
4.140000000000001,4.7,4.38,85.22604000000001
4.02,4.82,4.220000000000001,81.76840800000001
3.62,1.1,2.38,9.477160000000001
4.859999999999999,4.26,4.78,98.963208
1.78,3.54,3.74,23.566488000000003
2.42,1.18,3.22,9.195032
2.14,1.38,4.1,12.108119999999998
2.3,1.54,1.82,6.44644
2.2199999999999998,4.62,1.5,15.384599999999999
1.26,2.8200000000000003,2.02,7.1774640000000005
4.66,3.7800000000000002,4.66,82.08496800000002
1.8599999999999999,4.42,1.42,11.674103999999998
1.7,2.34,1.54,6.126119999999999
4.98,1.74,4.18,36.220536
3.02,4.66,3.98,56.01133600000001
1.94,3.18,4.02,24.800183999999998
2.7,2.1799999999999997,3.38,19.894679999999997
3.38,3.94,2.7,35.95644
1.3399999999999999,3.06,3.5,14.351399999999998
3.66,4.38,1.22,19.557576
2.62,2.5,3.86,25.283
4.0600000000000005,2.02,4.300000000000001,35.26516000000001
4.46,4.98,4.7,104.39076000000001
2.54,2.94,3.7,27.630120000000005
3.7800000000000002,2.98,2.98,33.567912
4.38,3.14,3.06,42.084792
3.34,3.86,3.7800000000000002,48.733272
3.1,2.8600000000000003,3.3,29.257800000000003
3.8200000000000003,4.859999999999999,2.58,47.898216
1.9,1.58,4.0600000000000005,12.188120000000001
2.02,2.26,2.5,11.412999999999998
3.42,1.94,4.82,31.979736
3.54,2.38,3.8200000000000003,32.184264000000006
1.62,4.140000000000001,4.46,29.912328000000006
3.98,1.3,3.14,16.246360000000003
1.1400000000000001,3.3,4.140000000000001,15.574680000000004
1.58,3.1,3.42,16.75116
4.5,3.9,4.9,85.995
4.78,2.2199999999999998,2.1,22.28436
4.18,1.78,2.46,18.303384
1.02,1.02,4.26,4.432104
3.14,4.220000000000001,3.02,40.01741600000001
3.46,1.82,1.9,11.96468
1.18,1.42,4.98,8.344488
2.8600000000000003,1.7,2.14,10.40468
3.9,3.62,2.74,38.68332
1.74,4.58,2.26,18.010392
2.58,4.02,2.8600000000000003,29.662776
3.7,3.2600000000000002,1.3,15.680600000000002
3.5,4.5,4.859999999999999,76.54499999999999
1.06,1.98,1.74,3.651912
2.26,1.62,2.8200000000000003,10.324584
2.38,3.98,2.42,22.923208
2.8200000000000003,3.02,1.58,13.455912000000001
1.6600000000000001,2.9,3.46,16.65644
4.74,4.34,2.1799999999999997,44.846087999999995
2.1799999999999997,3.34,3.34,24.319207999999993
4.82,3.46,3.1,51.69932000000001
4.42,2.74,2.34,28.339271999999998
4.26,3.22,4.62,63.373464000000006
4.1,1.1400000000000001,4.42,20.659080000000003
3.74,1.06,4.9399999999999995,19.584136
1.82,4.300000000000001,2.66,20.817160000000005
1.1,2.3,3.2600000000000002,8.247800000000002
1.22,1.46,4.54,8.086648
2.7800000000000002,1.8599999999999999,2.9,14.995320000000001
2.94,4.9,2.62,37.74372
1.38,4.18,2.7800000000000002,16.036152
3.22,2.7800000000000002,1.6600000000000001,14.859656000000005
2.34,4.1,1.06,10.16964
1.3,1.6600000000000001,2.2199999999999998,4.79076
4.9399999999999995,2.7,1.38,18.406439999999996
1.5,3.42,3.54,18.1602
3.18,2.14,1.18,8.030136
3.86,2.66,1.94,19.919144
1.98,1.3399999999999999,1.78,4.722695999999999
