gamma,kb,A,v,kappa
3.781834667330324,3.099730943419692,4.226523126380647,3.5089417801647627,0.9250934299050032
2.578469209575747,2.4637178012817977,2.970990861588711,3.252686789152522,1.7088178681441573
4.162176856022448,3.1857783018113928,1.3291811359114492,4.097616541052243,3.1058218393201185
4.28799413298446,4.256555333269672,1.1337858051522711,1.6049006822948462,1.832501740376493
2.3776014574954174,2.6513833259044945,4.034733776837621,4.170312058950609,1.9893106011098045
4.771271729168031,1.8093521249064024,4.188797380643957,4.3687617124436064,0.500384989640026
2.59191005391153,1.5425601332145258,4.184975734887532,1.2969177810137316,0.30029152658823105
2.1420884493774834,4.932661539622335,1.9714789232472705,4.74533303184693,10.39575740185968
3.333192464312965,1.7881616864250849,2.5336737663653333,4.9223286367393655,1.4889363452861923
3.516761871033021,2.705904322408105,2.6056817429187347,2.5311396896316847,1.0443956503942438
2.827713298053596,2.4119137287531345,4.9869528056173555,3.3880368191772057,0.8965335801781357
2.1155953727948016,1.531778530669071,2.4182378062407883,3.4551008454507146,1.961783128275301
4.073647854411888,2.8240879470104683,3.1286972025888704,4.610404510463023,1.3539405819870418
3.8854709322075034,2.8758751861594583,2.310616154513936,2.4963358018118806,1.076783841810425
2.799161129275179,1.674067242471439,1.9888485817944408,2.8711965977677383,1.3432722700937758
2.244562440710018,2.349906797144896,3.071034259785156,1.3530965033937252,0.8319132807344015
3.446043931875675,4.1865192248381815,4.918366610213155,3.795803338998142,1.3209051791120467
2.5779714573908747,4.765539016249214,3.7268751681456833,4.694039029947753,3.803774268699355
2.412105424444901,4.245278424908202,4.886272383785664,2.7004458591184535,1.6614866607228973
4.711149308493725,3.0988828527778294,1.9086304523328577,1.0880759244440703,0.4760297372280367
4.007853455149643,4.726570865093332,1.4160701339966502,3.7366315150288,4.146531886386235
4.36682651481538,2.5928175423783557,1.6892190154027715,1.2757926507373478,0.5816280622517654
3.7451404798856553,2.9516677783871064,1.9302963068115644,2.017667850881692,1.123902390040017
4.64711537734607,1.4507006433964007,1.0537440928982185,4.882847399000972,1.843173848070224
2.3080554161584885,3.5080371937981782,4.8989511414718345,2.9155772772577957,1.5960977840224635
4.673767843664804,3.3173520509239824,2.605001156455287,1.8336961964845164,0.6356225822404399
4.0699285626234465,1.2871044492266837,4.734481405671797,4.421104294917212,0.3915109083281709
3.79861926294512,1.7328353856626049,2.949629362242819,1.042118981332047,0.21875769937422065
4.855178156270296,2.20610668507098,4.49503180019372,2.874120440821017,0.3658931280964256
2.3318906538451496,4.856911912834961,4.022236308269236,1.512393730148212,1.3711625462123882
2.9092399157740974,3.769709100460751,3.0616738731965825,3.675197852943899,2.370113415786709
3.265033217107993,4.900769008987826,2.4728240557313512,4.924612042434855,4.308920323232947
3.3894697753157805,3.1355874288673014,4.20891815779113,4.434060103375731,1.3824469281410101
4.1420947596363815,2.944854183326618,4.988235144338974,4.378408838145089,0.8226477435048399
4.743912065353927,2.052333594915658,4.388255288421884,1.6134980514445578,0.20155745909639464
2.9985674984740935,2.305582112492772,2.7174918257540797,3.8492943625267872,1.6340850280155268
2.8170683021017084,1.981879132323284,2.1150249127681136,2.3647497895550798,1.2194826356604695
4.187942991493518,2.7068005767220367,4.255822160625875,4.1593117952966585,0.8298196599685335
4.634451351698526,3.0387263921623333,1.877714831350832,2.8895186213839716,1.2866149657832189
2.6010221771952273,2.2480470408215054,3.0391909034114817,4.6981081442014965,2.170566398891165
3.7964814052806077,3.5286455170954176,4.882655426592311,2.757676400247451,0.7126615395533621
3.5646066387477027,3.1883411577968475,2.9182533731829308,3.222300472504294,1.3727361229001835
2.5145066124068336,1.4094604464630818,4.263135607224655,1.9827280599736623,0.4328283752512383
3.6239456562005383,1.8734123035876695,4.619513671030488,3.350038471798445,0.5177642609809459
4.7833742034563365,2.27527718202884,1.0871274317690731,2.0965271645673997,1.1597784972068366
3.0182279551486237,4.8170085251042964,1.6587803885461954,4.4421192456883585,6.39158425234853
4.1201084429206745,1.8463771296271536,1.9307963270282893,2.703285382882262,0.8285260265901576
4.650827180251572,1.7817743338266,4.270281261332611,3.7268118050369687,0.4259340946324959
4.990559305798044,3.6999431216936167,2.6573094530847983,3.989644407493615,1.3920451934617257
3.94474258498555,4.380828115130002,3.894874759275738,4.299677203637297,1.6422952309535608
2.381153528438425,4.825518479994148,1.794527982368982,2.162837438025369,4.210907191073713
2.482713453180013,4.122387507273636,3.2688442110430858,3.608151027843105,3.068895283941533
3.1534201565433344,1.7375957717059711,4.6209393374065115,3.7158154088089086,0.6488493013559841
3.0812899399118434,4.031845136110897,3.2331712767597205,4.683271620709392,2.8060273016562047
3.073060756902604,3.003441524985648,4.436914328637105,3.72174193781548,1.215268842882531
3.097656554983142,1.0615399806391093,1.0804236339666469,2.6351446009178865,1.234276180889626
2.0302200667710046,3.8727599017381285,1.2337467715093258,4.416177995135137,13.455849107196672
2.8741410520907387,3.381925607028681,1.6044733052085154,4.9963456103466735,5.619293969953146
3.3913816166211417,1.5466912889853166,1.1097974780415796,4.581134884957564,2.6698330124498724
2.4390513260136815,4.73690721990285,4.666568390930829,2.7237624141234953,1.9212778773064731
3.0878102670604153,2.953886698304156,2.677767383729504,2.8260351481833954,1.4931640178996526
3.4569607854035667,2.201866812756671,1.7488482419981808,2.8313035837196003,1.4508654360014752
2.4674744889231404,1.3801929703876978,3.1091330736802565,2.425515680752698,0.7337261997870909
3.450151683093565,4.6636195074202815,2.3528614990335717,2.4403097575430146,1.974143563081194
3.5548111347757407,3.0419369220590182,2.3630050712598543,1.7006418001743775,0.8569186593675379
4.067760058544042,2.8366115160662515,4.2453743529129255,3.3308031122484345,0.7254566111532589
4.222421172587368,1.5912198049465478,4.195197535871998,3.638656774785205,0.4282886347124295
4.695381714002998,3.956328485620472,2.8401543608009936,3.9085029303520815,1.4733350989647542
4.1276522446121415,2.652356655396186,3.55570217203771,4.7788115425938305,1.1397457726076599
3.759802379190984,2.149871160934429,2.1204970070136837,1.6085737201868433,0.5909323350562382
2.6629145125399893,1.5080562977651275,1.216040563977664,2.0430472527891954,1.5236246152451676
2.6226064592127005,3.657154547249883,3.27324650529444,4.043929933539578,2.7845500118823026
3.3303161444216918,2.704265897775473,4.517852567880942,3.372345474644283,0.8662326557663559
2.5719247796275915,1.0783183760664437,2.724760423147441,4.512748792947651,1.1361301425949604
4.973832522205312,2.9345991279537094,3.713785845904893,4.837973167051759,0.9620238146131742
3.9559225087180834,4.445397986417829,3.773268698047103,1.1008161172585955,0.4387474956702222
3.0304102499129217,4.437851183064673,2.4397018020029013,4.265459550644392,3.8213605731840867
2.05420915887589,4.2416586954396,2.990966956059334,3.0389231219111794,4.088057857305664
4.643707387893504,3.1981585173253686,3.606970786711496,4.657166515599812,1.133275849751874
4.905342058431031,3.967126968986749,2.1603943942757344,3.0427585993710218,1.43070955834652
4.581832988128298,3.214649608294517,2.277543118513956,2.55206396255628,1.0056648192330628
2.785152742151171,4.456523448898398,1.324423619156272,1.8852579803207876,3.5535684494291986
3.2877250376612586,3.0434733486035728,1.3641382206526176,1.4650156259504559,1.428728004601124
4.564022862116659,4.66885407637308,3.7290928139116253,4.188585139530908,1.4714109173465972
3.6355509741392784,1.7345557883944287,1.6562580854767837,2.271175218343069,0.9024839387893694
3.945762091267398,4.676659628619079,2.2384748402755794,4.782899865239365,3.3921665315143823
2.8920081145604986,4.847304180690081,1.8527652945727742,4.86715891397662,6.730268619727019
2.9968661604459883,2.689207969191723,1.3302759646660829,3.9768729127993576,4.026015110197279
3.882934231076791,4.5722565288512955,3.203929476998649,2.959856791318682,1.4651551116420556
2.2897944176949645,2.3698269638852767,1.7966903477140286,1.2817926379830955,1.3108128248453998
3.301879417708109,2.837963628320872,2.723467100033784,1.1025146954731209,0.4990987809770041
4.8891194075792095,4.869763417605505,1.7694607849612771,1.2963303862969489,0.9173421402936603
2.866781969095398,2.915427792109522,3.002611983821814,2.9727017698073284,1.5461827371065868
4.317111825130919,2.9416447540600004,2.872459983426225,4.814427798510628,1.4863490248791846
4.445225832264334,1.623578653048399,2.3314423955703685,1.6363471993725032,0.33075499049429696
3.0348007615056325,4.6011699998851805,2.5150248682996885,2.5357577074489046,2.279879316115061
4.568059374033411,4.992709072556439,3.964977854396112,3.827478704065556,1.3507538206552816
2.8782253627980112,3.884357126598245,2.2689772360522147,1.763895864368569,1.6077342153795804
4.064055355964846,1.6972683770299877,3.2145786851737883,4.550479767560279,0.7841281398620601
3.6487320243952266,1.4108178981329198,3.0380134515963597,4.135501394872537,0.7250557773445248
