gamma,kb,A,v,kappa
3.785,1.94,3.58,2.66,0.5175772042967614
2.645,1.7,4.62,3.14,0.7023776628639851
3.065,1.78,2.46,2.54,0.8900175200299218
4.355,4.0600000000000005,4.7,2.7,0.6951834353299299
3.335,4.9399999999999995,4.46,4.9,2.324348719524491
3.3049999999999997,4.38,2.02,1.1,1.0347715899572605
4.055,2.7,4.26,3.02,0.6265415734999195
4.145,1.6600000000000001,4.74,4.140000000000001,0.4610090358415006
2.825,1.42,2.3,1.26,0.4262537224538416
2.885,3.42,2.7,1.58,1.061715296198055
3.275,1.46,2.5,3.22,0.8265846153846154
2.855,1.98,2.9,4.5,1.6562877590854168
4.5649999999999995,4.34,4.140000000000001,4.1,1.2056290695232093
2.045,1.3399999999999999,4.54,4.300000000000001,1.214510043631305
4.385,4.5,2.8200000000000003,1.3,0.6128413840786952
2.195,2.38,4.34,1.9,0.8719125388041571
3.185,3.94,4.1,1.82,0.8004465033208685
2.705,4.220000000000001,2.8600000000000003,1.18,1.0211840944978774
4.955,2.1,4.9399999999999995,4.18,0.44928522804629
2.015,3.74,3.8200000000000003,4.7,4.533567173032781
4.234999999999999,3.38,1.78,2.1,1.2326554712328293
2.795,3.18,1.06,4.26,7.119777158774373
2.4050000000000002,2.1799999999999997,3.18,2.14,1.0441594485104857
2.615,4.18,1.5,2.7800000000000002,4.796862745098039
3.1550000000000002,1.3,1.58,4.54,1.7333842403594817
3.875,2.58,1.3,2.74,1.8914247491638798
4.984999999999999,2.34,1.74,2.26,0.7626876649504608
4.625,1.9,3.3,4.98,0.7909717868338558
2.465,2.66,4.42,1.42,0.5833243247417108
3.245,2.42,1.7,1.5,0.9511332372592689
3.575,2.9,2.34,1.06,0.5101651315243548
2.585,4.1,2.38,3.54,3.847520080587439
2.075,4.82,2.06,1.3399999999999999,2.9165951682095277
2.165,2.06,1.26,2.58,3.6206826078070717
2.255,2.62,3.46,1.94,1.1705317458489743
3.515,4.7,4.82,3.7800000000000002,1.4655634656789553
3.0949999999999998,3.58,3.42,3.86,1.9286800932322856
4.775,3.5,2.1799999999999997,3.06,1.301415638860198
2.105,3.7,2.74,2.46,3.0062423621891208
3.995,2.2199999999999998,2.62,3.8200000000000003,1.0807325185742138
2.225,1.8599999999999999,1.98,4.9399999999999995,3.7882498453927016
2.5549999999999997,2.74,3.74,2.9,1.3663015630104718
3.6950000000000003,4.78,2.58,2.2199999999999998,1.5261681839754926
4.175,1.74,3.14,3.62,0.6318070113847233
4.415,3.46,2.26,2.98,1.3359592635302349
3.215,3.66,1.22,4.34,5.878103837471785
3.125,3.06,1.38,4.0600000000000005,4.236521739130436
2.525,4.02,3.62,4.74,3.4516438728376055
2.375,2.8600000000000003,3.02,1.78,1.2259602649006625
4.595,2.46,1.3399999999999999,2.38,1.2153696053806078
3.545,3.86,2.94,1.38,0.7119201315103645
3.035,3.98,4.5,4.02,1.7471580671580669
3.935,3.14,2.1,4.82,2.4555528514642653
2.975,2.54,3.9,3.2600000000000002,1.07502758844531
4.835,1.54,2.7800000000000002,3.9,0.5633459334227533
4.6850000000000005,4.66,4.0600000000000005,1.8599999999999999,0.5793424280300244
2.765,4.300000000000001,1.8599999999999999,2.62,3.431721953151178
3.7249999999999996,1.5,4.18,2.8200000000000003,0.37136209999561043
4.325,4.62,2.66,3.66,1.9118322121092202
3.815,3.9,1.82,3.74,2.846993148946968
2.495,3.62,3.5,3.38,2.3383850931677017
2.315,1.1,1.1400000000000001,3.18,2.333400040024015
4.925,2.14,2.42,2.42,0.5452229299363057
4.505,1.58,3.1,4.66,0.6776310340067186
4.745,1.1400000000000001,1.6600000000000001,2.3,0.4217671755111232
2.9450000000000003,1.38,2.98,1.54,0.3666603405738341
