gamma,pr,rho,c
2.255978733896298,4.85795800443414,3.45144181745316,1.7819442003144583
1.6688466006663174,1.2292367459231337,1.2316338967076628,1.290580681353066
1.0028148167805235,2.413265231057369,2.5605996962256987,0.9721696396908696
1.8936551286432337,2.7392130189069923,4.181912223131575,1.1137196732890526
3.214478226725917,3.1106507283227987,3.3559638422767155,1.7261249608923614
2.8283417289777386,3.1237052447976423,1.9337743332195776,2.1374603541990336
4.32330338038379,3.6051770380513832,1.4400195832985945,3.2899322553643167
3.7628172024168505,4.033139443239058,2.545883394832081,2.4415123477953005
3.8941207383696224,1.852719280069238,4.189958984060935,1.3122138916670243
3.5055974016698923,4.8006465602278645,3.0321229850756133,2.3559034020441167
4.150648601210509,1.2477593406911436,4.29469255064812,1.0981391094261723
4.474626081573588,4.311612459973584,1.2627748199735898,3.908726447103252
2.9368755574460965,2.487478714690932,2.9175958152874704,1.5823767577257677
3.2743665755316758,2.9990995926486965,4.002144866214526,1.566436126781361
3.0921198337529554,1.313257096633782,3.0265875851981137,1.1583142874117165
2.2454346098978206,1.3519293976092026,4.022306145041572,0.8687396646756713
2.6942581582238097,4.41083441201196,1.63169789053361,2.698734147767374
2.102735182833793,4.176326158222373,4.732143328331457,1.3622617099770151
4.5795784868343015,3.5545512714039145,1.1586981911330136,3.748176041026493
1.1509804802261083,2.59059396135884,3.130581318025923,0.9759355968501612
2.7238668638946995,3.8065636368230313,2.557823532661632,2.0133727956034706
2.739686661583792,4.968244948118763,3.961782558629738,1.8535599182274085
3.382011829015521,1.9299018839342232,2.4110874299536316,1.6453136347311983
4.005270193358046,3.0006390596845307,3.2643800500351694,1.9187678408154685
3.697525477631857,3.0901605753073578,1.0167975144311718,3.352191907712926
3.4206543875949422,2.4709302088673675,3.779192641302304,1.4954962303420622
4.730012576853676,3.565146364659297,2.7230536945627732,2.488523391330608
1.2584856517196563,4.980412001454344,3.0181273020076,1.4410796742667225
1.1748328606053922,4.506694331974479,2.0820081341389005,1.5946885766057428
1.93707793881221,1.7682485366916194,3.5912728438975754,0.976609625563778
4.9326474674218215,3.227724385947112,1.1003629394211782,3.803822852510153
2.099700024378345,2.361497377792196,2.152782549775897,1.5176522785006967
3.771307005839702,3.5867428978160203,1.9992088713472769,2.6011594933259103
4.4904217602421435,2.2523777434653454,2.9210647101522738,1.8607738387583157
1.5185607449145375,3.387399121917647,1.564373657920366,1.813339085682925
1.4344909781650443,2.9145973528991043,4.849460288805363,0.9285204859124888
3.8396032512612535,3.1491470539570154,2.9635904178852632,2.0199031895923762
4.56075269886347,3.2042396033246363,1.0744298684653075,3.6880068358085305
4.015604110990321,1.2699020322364127,3.0018851975101604,1.3033573774334386
1.115521170609849,3.616172259367461,2.786064745484373,1.2032832220187923
2.1045375212600925,1.311663411038249,3.113046713594659,0.9416656308781168
3.2412344303818443,1.963833105994114,2.824301284629999,1.5012464676068351
2.8487508946242244,1.081875601300522,2.5931185050489973,1.0901963367405196
4.016336650292773,3.6106441036784807,4.789646734817133,1.7400256652288022
4.2086597661345735,3.8956123276665013,2.015001550762285,2.8524765479397405
3.3786360894702296,4.050575828966379,2.2700509159271967,2.4553380418818014
2.5919843293432243,1.1862544403165276,3.1451948342464,0.9887382477250244
2.278280102776064,4.088939425487629,3.5386677497908883,1.6225160555609706
4.2491745943361945,1.0887250989847583,3.920398830184496,1.0862912470467458
3.026717405267473,2.3714001527704167,4.263234564472357,1.2975339939100912
1.038583512134783,2.097398630252444,2.685405676295817,0.9006504090631668
2.8180891516041733,2.526145935387341,1.2831872878711614,2.3553831173562862
2.3902641507258395,3.734451013223424,2.5341739132254344,1.8768005604577152
2.120218234093544,4.167861442922727,3.8321608594494463,1.5185358648600988
1.5976536502911782,3.6741584207621223,2.5867253395265943,1.5064166193360349
2.217380213882425,1.5206348204038087,4.831872920456744,0.8353621576537084
1.5273891651200304,1.723642681811119,2.53300976088754,1.0194831237624054
4.043142864333524,3.329555245145107,2.9648485961168283,2.1308427248287902
4.4281124405550205,3.7187561772168167,3.748037497697188,2.096072058625476
3.6288792999255373,2.4311664162849844,4.7268959613936845,1.3661726407050765
1.2836370615443524,3.132503186719054,4.70885924083672,0.9240788498752978
2.0306684564453445,4.806025192317139,4.62079614696367,1.4532961670405269
1.7958030969940948,3.3058258480186846,1.9106466657858925,1.76270303891627
3.0330124597736607,3.8805019062310295,3.2164982680682908,1.9128873132521464
1.785765887998248,1.3418939691370864,3.2528677252344367,0.8582981178370344
