m,v,c,E_n
4.82,1.215,6.115,183.90197571489762
1.3,1.955,4.925000000000001,34.3549731164218
4.74,1.315,9.825,461.7093222408631
1.82,1.4849999999999999,9.895,180.23936750051925
2.7800000000000002,1.975,9.615,262.60577009205764
4.300000000000001,1.365,4.155,78.5977112111853
2.94,1.755,5.135,82.4898878433122
3.58,1.9849999999999999,7.865,228.8613362044977
4.220000000000001,1.445,4.365,85.20904603770084
1.42,1.2349999999999999,7.445,79.81357938512424
3.46,1.275,6.745,160.3028019526114
1.5,1.645,4.015000000000001,26.507301586948255
4.1,1.5550000000000002,9.195,351.7127773253798
1.7,1.575,4.295,33.708150418468655
1.06,1.685,8.705,81.87208712391156
2.06,1.035,8.215,140.13829689377255
2.8200000000000003,1.135,5.415,84.56720102409191
4.78,1.325,3.875,76.3785228818387
4.46,1.045,9.545,408.7946599298687
2.54,1.725,9.965,256.0912643517425
2.98,1.5150000000000001,9.335,263.17279041543475
4.66,1.675,4.855,117.02629853311335
3.7,1.665,6.1850000000000005,146.96597161422733
4.9,1.105,6.885,235.32637500656057
3.18,1.165,3.245,35.87734205364727
2.02,1.255,5.484999999999999,62.428246024437414
1.46,1.415,7.165,76.45816552776483
3.42,1.9649999999999999,7.7250000000000005,211.03206085655032
3.7800000000000002,1.155,4.505,79.36802376585949
2.2199999999999998,1.2650000000000001,8.004999999999999,144.06788080435715
2.58,1.895,6.465,112.78830105158936
2.14,1.245,5.765000000000001,72.84227176148617
4.859999999999999,1.7149999999999999,4.645,112.83168043133219
3.8200000000000003,1.8050000000000002,8.355,273.1085029321306
1.1400000000000001,1.185,9.265,98.66822072730231
3.9,1.745,7.795,243.14261930922365
3.2600000000000002,1.025,5.835,112.7471532431707
3.5,1.915,4.715,85.14856940290564
3.98,1.8250000000000002,3.8049999999999997,65.66897881352598
2.74,1.115,7.375,150.76329654833086
1.1,1.925,4.785,27.51023085594565
2.26,1.125,7.655,133.88754419020663
1.58,1.905,8.635000000000002,120.78590985806134
4.54,1.7850000000000001,9.754999999999999,439.4460943293628
1.3399999999999999,1.465,6.955,66.30617619957734
3.62,1.405,3.5250000000000004,49.04497803985294
2.9,1.005,9.405000000000001,257.99387156445107
4.42,1.585,7.515000000000001,255.36488717158232
2.3,1.395,7.9350000000000005,147.1088949791354
2.62,1.2850000000000001,4.995,67.64582415581533
3.74,1.615,6.045,141.82221692573918
4.18,1.055,8.425,299.0529547862827
1.94,1.705,3.665,29.438012700706572
4.34,1.495,3.105,47.74003017704812
4.140000000000001,1.775,5.975,154.78845789324757
1.02,1.085,3.315,11.862384591194397
3.86,1.525,8.985,316.20648844493365
3.14,1.935,5.275,93.91958701438438
1.74,1.345,3.7350000000000003,26.018979571019653
3.22,1.635,5.555,103.96821381839078
2.34,1.335,8.844999999999999,185.18913862437307
1.9,1.095,8.775,147.45373918247776
3.06,1.545,6.675000000000001,140.1459801474007
4.7,1.295,5.345000000000001,138.39787926600272
4.9399999999999995,1.625,6.255000000000001,200.14985820056168
3.54,1.205,5.0649999999999995,93.50055491406712
2.42,1.425,6.395,101.52089586942647
2.5,1.175,9.125,209.9116060071904
4.26,1.435,8.565000000000001,316.9910030406894
3.66,1.195,3.455,46.56338499813199
2.38,1.945,6.324999999999999,100.06189803133655
3.34,1.5350000000000001,5.205,94.69906432146433
1.98,1.995,4.085,37.863123688034314
4.5,1.015,8.145,300.87997057998405
1.8599999999999999,1.875,4.225,37.05051384048236
1.26,1.065,4.4350000000000005,25.53025322549514
3.94,1.7650000000000001,8.915,319.46377341172246
1.18,1.145,3.035,11.736512092369178
3.1,1.595,5.625,102.28410569446292
1.78,1.695,3.5949999999999998,26.086273900619773
1.54,1.565,6.815,73.48803591644761
4.98,1.225,9.055,412.11390518217763
3.3,1.845,7.095,172.03734363661934
2.66,1.815,7.0249999999999995,135.88628581195255
2.1799999999999997,1.455,3.385,27.665032028369232
2.1,1.475,8.495000000000001,153.88394418133186
2.8600000000000003,1.505,7.234999999999999,153.05538431620909
1.6600000000000001,1.835,9.475000000000001,151.9034935911554
2.7,1.885,3.175,33.823990174804
3.02,1.7349999999999999,8.075,201.63011756035564
4.62,1.865,9.685,441.61771069890966
1.38,1.385,5.695,46.14291296599179
1.62,1.855,4.575,37.093547629593
4.02,1.605,7.585,236.63798617965463
4.38,1.305,6.535,190.8982778350378
4.58,1.795,6.605,207.62123146023936
3.38,1.655,3.9450000000000003,57.9490029758746
2.46,1.355,5.905,88.12939815178852
1.22,1.075,7.305,65.81948181377003
4.0600000000000005,1.375,8.285,282.60249056386766
