x1,omega,t,alpha,x
2.59,1.11,2.99,2.99,4.953787924903965
2.81,2.67,1.43,1.77,0.8330320320131698
1.05,1.69,2.6500000000000004,2.25,-0.11645164557277486
1.13,2.6100000000000003,1.73,1.79,-0.14371369271077244
1.6099999999999999,2.23,2.9699999999999998,2.85,5.596323122350707
2.75,2.45,2.83,2.6100000000000003,6.735266441042225
2.85,1.3900000000000001,2.5300000000000002,1.75,1.6661994812253085
2.25,1.8900000000000001,1.35,1.29,0.1343179552631968
2.71,2.91,2.63,2.4299999999999997,0.8018735105707284
1.31,2.79,2.27,1.65,3.464431297039525
1.21,1.01,2.01,1.99,-0.06318254875311857
1.49,2.33,1.23,2.95,2.636059669580707
2.31,1.43,1.01,2.19,0.37194609374610116
2.39,1.67,2.23,1.83,1.0542253119521006
2.23,1.29,1.07,2.29,0.6053276276755778
2.0700000000000003,1.09,2.25,2.59,1.596111994196483
1.87,2.9299999999999997,1.03,1.15,0.26205223378633713
1.95,2.15,1.47,1.73,1.4226426989537666
2.6500000000000004,1.45,1.33,2.5300000000000002,-0.10594492534307556
2.5700000000000003,2.05,2.4299999999999997,1.11,0.8849529247320213
2.9699999999999998,2.59,1.6099999999999999,1.17,-0.6071409100201608
1.81,2.89,1.49,1.49,-0.2941009502265131
2.55,2.21,2.77,1.51,6.26778173943075
2.79,1.31,2.41,1.37,1.0317163552094708
2.83,1.65,1.9100000000000001,2.15,3.254041681236612
1.37,2.19,1.53,2.01,1.294880067159841
1.33,2.85,1.55,1.69,-0.1966842134615903
1.63,2.35,2.9299999999999997,2.23,3.811331279058121
1.9100000000000001,2.77,2.71,1.43,0.9664307224902168
2.4699999999999998,1.9100000000000001,2.39,2.91,-0.20775486236143584
2.15,1.95,2.33,2.71,-0.19676959572451583
1.71,1.19,1.05,2.33,0.9373573444819023
1.4100000000000001,1.81,2.81,2.39,0.9638867571373931
2.35,2.69,2.6100000000000003,1.33,3.4505767043387903
1.73,2.01,2.29,2.21,-0.14338747248866127
2.9299999999999997,1.85,2.89,1.03,2.795227738965355
1.79,1.49,1.3900000000000001,1.01,-0.44264290918942
2.4299999999999997,1.05,2.35,2.1100000000000003,1.23114994686127
1.83,2.51,2.73,1.45,3.42447961145211
2.29,2.25,1.8900000000000001,2.77,0.23322690959303985
2.67,1.79,1.13,1.09,-0.6109720331489473
2.6100000000000003,2.87,1.65,1.4100000000000001,0.06227965391952824
2.89,2.13,2.31,2.89,0.9524071600418791
2.0300000000000002,2.0300000000000002,1.29,2.17,1.5477698606972243
2.05,2.31,1.81,2.0300000000000002,0.029589807838313095
1.9300000000000002,2.95,1.17,1.13,0.14000282355533505
1.17,1.73,2.4699999999999998,1.27,-0.2288316441180733
2.27,2.1100000000000003,1.79,2.63,2.0406117301209536
1.85,2.29,2.09,1.3900000000000001,0.15018841582834738
2.13,1.07,2.55,1.57,0.8543423478786295
2.99,2.37,1.97,1.81,-0.11976203826554467
1.57,1.27,1.83,2.49,0.7553070445550362
1.35,1.37,1.37,1.6099999999999999,-0.20944283271881886
1.5899999999999999,2.99,2.21,2.6500000000000004,5.291536233792837
2.01,2.4299999999999997,1.5899999999999999,1.05,-0.31986431871981175
1.75,2.0700000000000003,1.45,2.9299999999999997,3.294669186384891
2.63,1.23,2.59,2.35,3.541041754651008
2.51,2.5700000000000003,2.79,2.69,4.279342687977109
2.37,1.4100000000000001,2.19,1.85,2.0052874794795605
1.43,2.81,2.45,2.41,3.522489080009226
2.09,2.83,1.75,1.71,0.6991415500084839
1.8900000000000001,1.87,1.11,1.97,-0.043028938590719726
1.29,1.83,1.57,2.5700000000000003,1.8382119287669496
1.97,1.5899999999999999,1.19,1.23,-0.38047277337587576
1.47,2.41,1.67,1.19,-0.22827395910897819
1.11,1.9300000000000002,1.85,2.73,1.4967405562423184
2.33,2.63,1.27,2.4699999999999998,3.247038965106536
2.49,1.6099999999999999,1.69,1.53,0.9014127298739959
1.07,2.27,1.4100000000000001,1.07,0.07277331739919093
1.99,1.17,2.91,2.45,2.6241906459211295
1.25,2.17,1.31,1.95,1.0315704379753323
2.21,1.03,1.71,1.63,-0.2893116596865071
2.19,2.6500000000000004,2.37,1.9100000000000001,6.372861941801935
1.3900000000000001,2.09,2.1100000000000003,2.13,-0.1513365088681082
2.73,2.39,2.87,2.81,7.6839944031987635
2.45,1.57,1.63,1.25,0.08975209115633526
1.03,1.71,1.99,2.09,1.0139909498628747
1.15,1.25,2.17,2.67,1.4932691624256498
1.27,2.5300000000000002,1.09,1.21,0.14357844640629944
2.95,1.13,2.95,2.05,2.93165624529966
2.41,2.75,2.5700000000000003,1.87,3.964205586917097
1.09,1.97,1.9300000000000002,2.27,0.6822116844716228
1.77,1.15,2.0300000000000002,2.51,0.9008638798392683
1.45,1.75,1.25,1.67,-0.028644140119841892
1.23,1.35,2.15,2.55,1.765581168253049
2.77,2.71,2.85,1.5899999999999999,0.43497003369094445
2.69,1.21,2.49,1.9300000000000002,2.4384346363964475
1.67,2.49,2.0700000000000003,1.47,1.1632053796036308
1.65,2.9699999999999998,1.21,2.31,1.5998589011358013
1.19,2.55,2.05,2.37,1.2706780953844072
1.01,1.47,2.51,1.8900000000000001,0.5285541567256873
1.69,1.77,1.77,1.55,0.9293659194125687
1.53,1.33,1.51,2.87,0.13999196392803998
2.5300000000000002,1.51,1.87,2.79,3.9658474382511244
2.87,1.55,2.75,2.9699999999999998,0.3638740139609879
2.91,1.99,2.69,2.83,4.682165817128664
1.55,1.53,2.13,1.35,0.5244894807631683
2.17,1.63,1.95,2.75,3.7908528141800226
2.1100000000000003,2.73,1.15,1.31,0.6540925155268928
1.51,2.4699999999999998,2.67,2.0700000000000003,4.268930070820109
