sigma,theta,f
1.9995455581407169,2.018760392824474,0.11985000935151766
1.9677693302647152,1.2078589397763655,0.16792673853541362
1.8405585316305515,1.5157400709665223,0.15441651505694504
2.5115177011334042,2.277623877199624,0.1052903251416813
2.8841051344916204,1.7125415986226808,0.11596762927998652
2.9168799952673004,1.2331350564898595,0.12507829863463013
1.7311354278494688,2.2739839891144897,0.09725084779228126
2.6467823592888737,2.7645501067066016,0.08735562879321243
2.7691117387927457,1.1874898812720345,0.13141243725760135
2.488325251203504,2.141816341089912,0.1106934752926098
1.7629943432070971,1.0360396137163743,0.190400825987444
1.825211723728931,2.0714967059404468,0.1147874321170959
1.8916259621372853,1.931174726451805,0.12524278658691573
2.0117796352606128,1.8303654244157777,0.13109302109530252
2.9070477987849848,1.9721966151958872,0.10902230298369013
2.6824834390409236,2.6170029706409283,0.09240547045439146
2.0519969451620748,1.3234526236665054,0.15790880009689726
1.8674854574719109,2.325772771567893,0.09836736163336844
1.2373150931236376,1.5344928416231776,0.14943332951082436
1.5550094142008468,2.819194113489212,0.04959524177503079
2.4595464008681214,2.7803992628962892,0.08561657415786222
1.4520558370479204,1.8343372299103788,0.12370652178209145
1.232606636502011,2.09074241319981,0.07679543609850824
2.245554835832408,1.7150001728011737,0.13271732347175055
2.0962691784112994,2.0448744318658303,0.1182586601702514
1.6326295932057018,1.054906801103528,0.19831893653210084
2.741553527886227,2.9970439850286437,0.0800585138012192
1.7069132225310726,1.7495415817591993,0.13821968561889938
2.8538149414349947,1.1396086708839313,0.12907951125152475
1.9703023061348008,1.4240593301611209,0.15593471367239092
2.966124275643648,2.5067878410665143,0.09410681672235133
2.132794319530724,2.1609966253872566,0.11195232832334016
1.9340597788728908,1.0325350737989774,0.17887500098667206
1.4226699206840183,1.4993292312821356,0.16092614758433074
2.726558327852098,2.832964012492849,0.08528422288301722
1.0922003392572306,1.5148643249339453,0.13959707057795034
2.5592369087469513,2.7671182940960235,0.08688459565213345
1.3818222635967796,1.2269291927245314,0.1946541739382481
1.2020903737414659,2.9177980749222017,0.0174429324543933
2.8385637609150147,1.9988569670587693,0.10968191701205066
2.5404081372834857,2.7628135488166623,0.08693081970293459
1.760754455925866,1.939898360420169,0.12348946846861444
2.4009856372967593,1.7278025007704878,0.12825357704505094
2.206280318670484,1.674260383212119,0.1355815971564044
2.8203878665357047,1.0964122034041022,0.1311551429060597
2.1006552293742957,1.7022067593783239,0.13676398641399426
1.5676218881261028,2.2210842655073653,0.09327254171813808
2.764815444078164,1.4114270936827926,0.1266642394240578
2.851559741910662,2.9221755489014445,0.08275463907330025
1.556253604181148,1.7844677854752098,0.13283927081067487
2.556820178169355,1.0705100839559205,0.1429367937560808
2.771860392379048,2.9232497158663193,0.08253232578038547
1.173969575203814,2.9472816893690896,0.014542194232659782
1.542803482656666,1.0880023343776328,0.20165415072846765
2.430376147073088,2.2930161951411785,0.1051819330940191
1.9783169871454085,1.096578997388225,0.17294032880951773
2.9718975223858166,1.6041060742115427,0.11604135546881987
2.3994300635854504,1.049458640766856,0.15109905599880274
2.620532088455625,1.8152858237556209,0.11976258022095855
2.6173960487005066,2.8046881910838426,0.08584299167352102
1.0195330878003996,1.335932568038371,0.16583273013290742
2.833596722629673,2.1021159836628067,0.1069216148672706
1.4241057450121362,1.4193255100764643,0.17048097384182884
1.6959531987213174,1.9895047436892304,0.11821469465636553
1.8133994379354037,1.6550121361108143,0.14505919428594555
2.9727183130795063,1.9294731993307075,0.10871180291180907
1.871750303795676,2.930721331218788,0.06256040452291828
1.87572567544038,1.4652235254139745,0.15676114863462362
2.8735265794782547,2.6171926530571445,0.09169824532286903
1.7613702723944509,1.4549961147588315,0.161021480672943
2.0903012868911013,1.079740853042703,0.16701734000278215
2.624904914906586,1.934032460900792,0.11585440182327435
2.5498041304569226,1.5536326986095228,0.1299523837505188
2.0945184480971744,1.4631421920569796,0.14923191597489416
2.7668214189430533,2.5197681190795347,0.09524213995469633
2.2747069515309803,2.515818664084001,0.09514014611179238
1.5988237500489777,2.6848567496279347,0.06092080160339872
2.605590351557157,2.4558121287920525,0.09819828139216948
1.4479166985764274,1.442254607370548,0.16776997503614172
2.266449434529745,2.9566095752484816,0.07516810527242758
1.7293788044823384,2.709728826887013,0.06759258038249795
2.006005533875575,2.4996842614051973,0.09149535600722156
2.1839823800154736,2.6648911322353035,0.08676688713688266
1.708921083187153,2.45965270627373,0.08286063436465142
1.7434370421149752,1.9872297160087609,0.11950364919694625
1.044978420628479,2.9024616106662444,0.00806454173863993
2.957764764104024,1.4789812177148929,0.11902888581331532
2.402880365348079,2.502410458269062,0.09653151730199852
1.7240635659690482,1.9754368965292637,0.12002507164376065
1.7564647703478928,2.1993946333569525,0.10370467836295984
1.2721126179890612,1.927749999135179,0.09947739579039246
1.4399096878312243,1.3606136817957366,0.1772905861913695
1.1522517678757165,1.15575662173088,0.20935937850830716
2.3072067672818344,1.422055622527158,0.14299835844017278
2.5420829960182174,1.6401229590744764,0.12744676671587185
1.2594093270270017,2.5587045309860352,0.04021868986596607
2.0083895767814868,1.2125708655642995,0.1655419799802093
2.1837807062740784,1.7600870916908609,0.1320203296892006
2.1108352545531432,1.3488761087192165,0.15409305359906508
2.6086820596974354,2.8085587116519393,0.08566261778855917
