sigma,theta,f
1.67,2.71,0.06402842019184299
1.03,2.6500000000000004,0.014147926236011885
1.75,2.69,0.0699511314572487
2.71,1.37,0.12955237827269422
2.5300000000000002,1.65,0.12747650034746089
1.63,2.15,0.10254809978635016
1.05,1.85,0.08046902973388796
1.6099999999999999,1.05,0.20032021483172424
1.11,2.23,0.04777001451786274
2.45,1.09,0.1474901839653532
2.67,1.43,0.12945263020983436
1.07,2.37,0.032077315590116944
1.55,2.85,0.04747176797547273
2.69,1.5899999999999999,0.12453526285323334
2.41,1.53,0.13532370291111873
1.69,2.5300000000000002,0.07697815729112806
2.95,2.05,0.1062248389777898
1.35,2.59,0.04691584666556147
1.65,2.81,0.056706302022872364
1.81,2.91,0.060526682222003435
2.87,2.09,0.10662844872058613
1.87,1.71,0.14043987023695337
1.9300000000000002,2.41,0.0947901096182033
1.97,2.33,0.10061938454328898
2.6100000000000003,1.47,0.13043291673310736
1.21,1.75,0.11585414539136898
2.35,1.9100000000000001,0.12201050734815397
2.17,1.87,0.1268216861976292
1.79,1.83,0.13215891197608998
2.81,2.4299999999999997,0.09768224616214963
2.4699999999999998,1.73,0.12638276409067342
2.39,1.15,0.148674648366595
2.49,1.69,0.12725680165093164
1.4100000000000001,2.9699999999999998,0.03077806973742193
2.99,2.6100000000000003,0.09115466571865824
2.55,1.49,0.13189578744319042
2.79,1.21,0.13015562894969632
2.77,2.4699999999999998,0.09677685629095993
2.59,2.29,0.10419672282714484
1.3900000000000001,1.4100000000000001,0.17157508687199255
1.85,1.9300000000000002,0.12514247327021097
1.23,1.79,0.11249131419606191
1.51,1.99,0.11086377556087465
1.01,2.67,0.011996922536616904
1.33,2.95,0.025630312739164548
1.71,2.0300000000000002,0.11531634885090104
2.05,1.77,0.1340529052590821
1.29,2.19,0.07319486817505917
2.4299999999999997,2.77,0.08573141365716054
2.15,2.13,0.11359141856000568
1.37,1.51,0.15863323653275307
2.73,1.03,0.13609341153336157
1.57,2.1100000000000003,0.10299100035267521
1.83,1.25,0.17264116031094084
2.0300000000000002,1.35,0.15753569588244928
2.01,1.63,0.14286011079750788
2.29,1.57,0.1377235525350896
2.09,2.31,0.1036323309244964
1.47,2.83,0.042538708496730436
1.99,2.5700000000000003,0.08707337427700386
2.0700000000000003,1.33,0.15678214868538332
1.73,2.35,0.09166083452132627
1.77,2.45,0.08647531246384207
1.8900000000000001,2.99,0.06039227358071939
1.15,1.3900000000000001,0.16709829191401673
2.85,2.39,0.09848218943865951
1.19,2.89,0.017564570735958126
2.75,2.73,0.08862926564503315
2.9699999999999998,2.55,0.09291359308758096
2.51,1.55,0.1313495927973187
1.9100000000000001,2.87,0.0675442795206076
1.49,1.45,0.16675504167569138
1.17,1.01,0.23491284200561782
2.89,2.21,0.10304571249444704
2.33,2.79,0.08359931208148479
1.09,1.17,0.2057272326742233
1.45,1.13,0.2030781504549143
2.21,2.0700000000000003,0.11641555211574299
2.13,1.29,0.15591307095995963
1.27,2.63,0.03680216065198159
2.63,1.6099999999999999,0.12577045977839527
2.31,2.9299999999999997,0.07725812881387328
2.27,1.31,0.14878748774829997
2.25,1.67,0.13461779513069844
1.53,2.49,0.06935586148933988
1.13,2.51,0.029953551637547236
2.9299999999999997,2.27,0.10085664668046801
2.19,1.19,0.15716321252773865
2.37,2.25,0.10726236646165525
1.95,2.01,0.1202706680210026
1.5899999999999999,2.17,0.0988665219239987
2.6500000000000004,1.11,0.1379004346450409
1.43,1.8900000000000001,0.11648069003655968
2.23,1.97,0.12109922485722725
2.83,1.23,0.12826377183981594
2.5700000000000003,1.07,0.14234310059699518
1.31,2.75,0.03362912041512089
2.1100000000000003,1.95,0.1233570671052767
2.91,1.27,0.12464002551907843
1.25,1.81,0.11186817783202611
