sigma,theta,theta1,f
2.7626513825062577,2.7187161201483723,2.124428551556142,0.14110279453561975
1.4132031198921102,1.5317125527020845,1.0186312685933014,0.2642909696503285
2.229542462719558,1.9227390045358703,2.9198899535986453,0.1619044691048039
2.734571578354525,2.5463224916830183,1.5234803877221408,0.1360317891088035
1.2299407372232785,1.3676154632965185,2.4882481424385414,0.21417088172173945
1.577790100309966,1.0412197301765072,2.3046238664051804,0.18349675718212655
1.2523320676640102,2.7588074408718275,1.4679711230367347,0.18727733262946544
1.5072481276275624,1.6692668846393868,2.0458276495217773,0.2565498139512468
1.594773012147936,1.527802795063901,2.0955435508145293,0.2347959837437444
1.243314558401451,1.4246050446733527,2.383675504391789,0.23829771927136986
2.1807371138185445,1.500740623926908,1.1077697143778864,0.17999293651042647
1.5548328500538493,2.7618122624104826,1.5368377716215955,0.18812284409727945
1.4106746972143611,2.1793121815037084,1.2370330319114071,0.2262546322078185
2.6393457828656617,1.3663960797145862,1.6115786924238535,0.1505011774437404
1.3223766950950036,2.2071438888190285,2.632559320037464,0.2864714816018767
1.4949125670315864,1.9475470229195235,1.4568294004792155,0.2528691679754155
1.472234870217915,1.2835416281816034,2.856164185184968,0.1531661301574631
2.1151970514656915,1.4292926360211633,1.5115499613121066,0.18846505450284887
1.337332689673573,1.1185639404867107,1.4669661336030373,0.28835843023258
2.896508095629441,2.467235976314468,2.4629931634026265,0.1377319997858725
2.54144084063552,2.330345802263789,1.2936611177737236,0.14444363907288005
2.8811960997448667,1.8301813816155563,1.8201037065939067,0.13846327227684552
1.8930384735638424,1.7097113281670555,1.8985663400580397,0.2096956578729782
2.479122445918989,2.2565637440703625,2.5232141624977764,0.15999262126294006
2.500920401531759,2.8150254057648367,1.0315479846621325,0.12370279169993555
2.0844316909416483,1.59182207862995,1.6948016153230767,0.19115796227847895
1.8426237664230225,1.5338679033981375,2.307335989056627,0.19824925500258286
1.4744291001513574,1.408971715719477,1.4478518800192262,0.2704800119829273
2.4098634496207882,1.1935560189191101,1.7596642150760615,0.16104029392544653
2.844485842661931,2.887291953688859,2.9764891983277213,0.14018216524948773
2.6978087256661047,1.7343097026485144,1.839698243945888,0.1477636248936042
1.5362886642567184,2.1968267270402544,1.9523615463933053,0.25641224392519363
2.5909776882879716,1.2904208937229895,2.101278804325,0.1466151640054982
2.462660843322777,1.3924605930138174,2.4347159681354125,0.14811890577673184
2.6606937207483443,1.2826396131807491,2.9604474884811265,0.1229045138175775
1.3188564721808989,1.50140165167469,2.9900564951501316,0.15997493995303322
2.838935910492008,2.9602111764772165,2.1497201324336865,0.13491363706133966
2.01761932615402,2.5291596674267223,2.7203309142707615,0.1968436215538492
1.0876828618659151,2.0684532548950503,1.8308195561702436,0.35813178217284797
2.7397983521426514,2.4566565577443185,1.4166205269505994,0.13548801062561466
2.492344566949061,1.1585036255260728,1.5616208310402269,0.15798697947472928
2.212803371181873,1.1199716753319249,2.1457790005487998,0.16192029096371455
2.2336887352092187,2.7416186633169666,1.444492153790188,0.15088984107113534
1.2529386644873342,2.0774850867237307,2.655719493914606,0.286240599265048
1.9172948132363683,1.50701272326722,1.2638047903377851,0.20640827067659206
2.4640909931720154,1.882304741134432,1.3145882484903406,0.15766186321805906
2.5824820589212845,2.7971162511499856,1.3157367860393003,0.1310451920487264
2.817615510948496,1.3918983415901038,2.2407555989371817,0.13530677289240847
1.8962426437994,1.221013560124273,2.883953192331096,0.14322373842285732
2.5951138634817355,2.6596763168599553,1.9025165531600907,0.14732239563731905
2.562028075249761,1.5938002755879863,1.9269816250172669,0.154402311876284
2.7460860777867917,2.0861264955326857,1.0992861206225055,0.13619250827987708
1.3383705747586063,2.9331439969104536,1.2276264067479106,0.1323451362697178
1.510485352761979,2.7383550198369657,1.225495117866634,0.1599421906352237
2.1023566435334353,2.5789052479685277,2.9249136349141387,0.18720688322812706
2.624292443801628,1.3258148291141163,1.2260773710283384,0.15190923791979802
2.687512178389132,1.4041677461199835,1.8504362462081416,0.14641046492940862
2.8902953099925544,1.071543001302877,2.8375196377718455,0.11452535670147347
1.0621690838800362,2.0264097414720013,1.7941328544017194,0.36671786459082495
2.5701993363951288,2.501739821545399,2.919345638761592,0.1531830210771076
1.4882256755652887,1.6198109952457278,1.4731491412549362,0.266767179321721
1.9445171128590808,1.6224252844478,2.9407559018465284,0.16303733048876967
2.68723197656181,2.7477350296216247,2.5683301633406725,0.1481279618767634
2.7211212864977163,2.2352327799196257,2.7667496532872806,0.14383916852613546
1.6225881523521046,2.152886512619431,2.165079239909134,0.2458609208344884
1.3658479011778164,1.6458662813121905,1.934064152478589,0.2856536961684834
1.9808628119548373,1.9725133619494124,1.5084555486355664,0.1959467400603272
1.0995451910510197,2.375308367447005,2.858117997113232,0.32948010547853057
1.8873522077696343,1.2531412179283357,1.9317106459904136,0.1981469824876428
2.761436761375529,1.9540587234876443,1.2380103176862387,0.13969292955107926
1.6666939721427023,1.8496887648510505,2.2870653682422533,0.231259897235164
1.7551468193472366,2.8679127894356453,1.4988775537689556,0.16767960206428498
1.4148632798934435,2.7649407939310024,1.7947543100807872,0.222891355161344
1.5346876426070335,2.4147418544604653,1.9524990135621056,0.2484223078106784
2.3288771424342616,1.082093998400943,2.193134139053984,0.1528767524700719
1.8473899255725348,2.5221399885576723,2.1330868202016955,0.2112131026554535
1.9713978191669008,1.5179814003493002,2.4375097842492,0.1815068200710304
1.487782788233701,1.3535194743919643,2.0952540073262966,0.23680892738090145
1.6108925966877334,1.5347847854919625,2.01345618383537,0.23695736624872185
2.1420185049078686,1.5943706480154054,1.7837546036552416,0.1855194329405273
2.6770973344319944,2.6665336024640407,2.803863123173812,0.14882451857034856
1.7764596687609728,1.6324052628489407,1.6426369284496154,0.2245678134200127
2.4275301485288607,1.0085854424911629,1.2293969766710506,0.1636623423346725
2.51516353656362,1.3257638681196522,1.8295063170869277,0.1554652825002913
1.839929171195709,2.061364136613086,2.868006880793792,0.19695753529513274
1.0807515307643645,1.8113760476832768,1.5560616199935624,0.3589761392591844
1.5140384553505777,2.2155176520660658,2.3526877118755603,0.2624162859262167
1.7333409011549237,2.313045164356089,1.8485542006519204,0.22204074632667328
2.263888138820757,2.632055915399096,1.828502676675061,0.16546181059725046
1.9233696315307596,2.878199627880347,2.0434457634848058,0.18877531515843488
1.3795047187684293,2.9931978029486817,2.9139299064066075,0.2887153688383033
1.5406915146080202,2.9704293236488373,1.1503324800651664,0.12886827722001656
2.786721661250282,1.184466824649156,1.9650184555338104,0.13765131475102876
1.3999208072227287,2.582523891888405,2.486165855957577,0.2843006256932573
2.108256008362764,2.4673044828143977,2.5985178011670333,0.1888624366200257
2.2667627538775896,2.1385218790216367,1.7222275775529925,0.17305337992306813
2.420530603687216,1.0757495163919215,1.6386519662476868,0.1604190488028517
2.9232863318892615,2.982091537627417,1.6337698255175197,0.1226996481932945
1.3007434118436163,2.3703496994880693,2.7771472522037195,0.2920651519295793
2.4632017504272063,1.2953808700755325,1.5418382634812786,0.1611521814980119
