sigma,theta,theta1,f
1.17,2.83,2.21,0.296310618954423
2.4699999999999998,2.75,1.69,0.14730625998404484
2.5700000000000003,1.33,1.57,0.15455506610755196
1.19,2.87,1.95,0.24864209358981298
2.51,2.95,2.63,0.15765469039586325
2.0700000000000003,1.3900000000000001,2.89,0.14822305299273225
2.49,1.97,1.83,0.15996473994972865
1.75,1.17,2.9299999999999997,0.13747888553877757
1.81,2.67,2.37,0.217403278713133
1.03,2.01,2.15,0.3837612074768745
2.67,2.27,1.43,0.14220214084771843
1.37,2.63,1.9100000000000001,0.2536374657681748
2.75,1.05,1.37,0.14409107805951382
1.69,2.17,1.27,0.20485173205669419
2.99,1.25,1.73,0.13171725221279834
2.37,1.43,1.4100000000000001,0.1683240825251535
2.0300000000000002,2.6100000000000003,2.45,0.19591381343078032
2.31,1.67,1.8900000000000001,0.17192082891723826
2.83,2.4699999999999998,1.11,0.12559576008863865
1.95,2.39,2.01,0.20073785743269215
1.77,1.37,1.09,0.22258851227069804
2.39,2.77,1.31,0.1385092361694286
1.79,1.07,2.59,0.15540942178067718
2.01,1.9100000000000001,2.4699999999999998,0.19092317140743623
1.07,1.49,1.45,0.3725828191221341
1.99,2.81,2.0300000000000002,0.1856504983602499
2.95,2.6500000000000004,2.6500000000000004,0.13523467132251957
1.49,2.99,2.85,0.266567210882928
1.55,2.0700000000000003,2.95,0.21907110603145014
1.8900000000000001,1.95,1.21,0.19550585480503035
2.89,1.81,2.19,0.13685414328592263
2.85,2.45,1.5899999999999999,0.1337496670961639
1.23,1.99,1.55,0.304240801344254
2.59,2.15,1.77,0.15238279798655488
2.6500000000000004,2.91,1.9300000000000002,0.1405940836657382
1.57,1.83,1.23,0.23620872723039574
2.23,1.45,1.3900000000000001,0.1788331411000605
1.4100000000000001,2.5300000000000002,2.05,0.26700897444731936
2.05,1.87,2.29,0.19056425707869806
1.35,1.09,2.33,0.1938091707243954
2.35,1.85,1.75,0.1696090411438996
2.33,1.29,1.65,0.16918831060791809
1.3900000000000001,1.79,2.4299999999999997,0.2581431676331396
1.13,1.11,1.67,0.3122492393894394
2.69,2.73,1.53,0.13425949265596715
2.4299999999999997,2.21,2.73,0.16045752241764366
1.09,1.13,1.35,0.3586225324525367
1.67,1.51,2.49,0.20110165739747685
2.09,2.55,1.85,0.18046993887739282
2.45,2.09,1.71,0.1608867014710862
1.33,2.1100000000000003,2.9699999999999998,0.24336961272900906
2.29,1.01,2.99,0.11987786456599933
1.53,2.5700000000000003,1.25,0.1797171917308461
2.91,1.15,2.5700000000000003,0.12170560806889079
1.21,1.4100000000000001,1.13,0.32099394458102076
2.1100000000000003,2.9699999999999998,2.41,0.18252907284465317
2.73,2.59,2.67,0.14606997292609616
1.47,1.21,1.97,0.23743795042150972
1.87,2.89,2.39,0.20584683411009042
1.51,2.23,1.63,0.2441452143343123
2.25,1.65,2.71,0.15868382334685413
2.55,1.73,1.33,0.15453497192228122
2.17,1.35,2.69,0.15193143584369867
1.73,1.9300000000000002,2.1100000000000003,0.2293576388369431
2.19,2.29,2.83,0.17671097745163303
1.83,1.53,1.05,0.21062965966743283
1.71,1.5899999999999999,1.47,0.23272583319637727
1.63,2.19,1.6099999999999999,0.2297357808318772
1.31,1.31,2.27,0.23282190098025368
1.01,1.19,1.49,0.3779466668595875
1.65,1.75,2.31,0.228251327355495
2.87,2.41,2.09,0.13814291776787274
2.41,1.8900000000000001,2.75,0.155325093143539
2.81,1.57,2.81,0.1288008922052808
1.9100000000000001,2.69,2.13,0.20008298906227837
2.79,1.03,1.79,0.1377821589248674
1.11,2.79,2.79,0.35940745982111055
1.6099999999999999,2.05,2.5300000000000002,0.23701888866034637
2.5300000000000002,1.55,2.77,0.14037712385205933
2.13,2.31,2.0700000000000003,0.1861116605672415
2.27,1.47,1.17,0.1742174040363313
2.9699999999999998,2.35,2.6100000000000003,0.1338102811485326
2.15,1.27,1.07,0.18475345130051576
1.15,1.23,2.51,0.1867221925938589
2.9299999999999997,2.13,1.03,0.12689268748274182
1.05,2.0300000000000002,1.99,0.3796694318825413
1.5899999999999999,2.37,1.15,0.18692574689770877
1.25,2.25,2.35,0.3181341644092871
2.71,1.71,1.51,0.14681082253017955
1.97,2.51,2.23,0.2004735771354216
2.77,1.69,2.55,0.13724584793409533
2.21,2.49,1.87,0.17355109411884148
1.85,2.85,1.01,0.13150197925703408
1.27,2.71,1.81,0.24437387889959344
1.9300000000000002,2.9299999999999997,2.91,0.20669474646719418
1.45,1.6099999999999999,1.19,0.26382951813013955
1.43,2.33,2.87,0.259782039926802
2.63,1.63,2.17,0.14852511857735462
1.29,2.4299999999999997,2.25,0.3062615684010801
2.6100000000000003,1.77,1.29,0.15028829854788364
