sigma_den,epsilon,chi,Ef
4.9,3.42,3.34,0.33012639124693455
2.42,1.3399999999999999,4.54,0.32598739156204537
1.38,1.18,4.74,0.20374416819228724
4.02,3.94,1.3,0.4436106819686603
2.98,2.54,3.38,0.2678603530723043
1.3,2.66,2.42,0.1429011124301983
1.1,1.46,2.06,0.24621720834452507
2.7,3.86,1.74,0.2552853522937862
1.54,4.26,2.7,0.09770333713995685
2.3,2.8200000000000003,2.1799999999999997,0.2564788795218341
4.38,2.5,3.9,0.3575510204081632
1.02,3.14,4.18,0.0627105722647124
1.7,3.2600000000000002,3.02,0.12971950065622806
1.94,2.3,3.3,0.19615773508594542
2.62,1.26,4.98,0.34771991293730425
2.9,4.74,4.82,0.10512273986109298
1.46,3.9,2.46,0.10819623536386543
4.78,3.02,4.9399999999999995,0.2664615247396705
4.220000000000001,2.74,2.26,0.47243741883480367
2.1799999999999997,3.8200000000000003,4.26,0.10849441602134054
2.14,4.78,3.18,0.10710496286360634
4.42,4.140000000000001,3.58,0.2331076092230449
2.2199999999999998,1.8599999999999999,1.62,0.4555528195025856
3.8200000000000003,1.7,2.58,0.6276700624383832
1.22,4.38,1.58,0.10796078014937524
1.58,3.22,3.7,0.10440068719439671
1.9,4.1,2.8200000000000003,0.12131273145192184
3.58,2.14,3.62,0.3620989602298013
3.2600000000000002,2.34,2.9,0.35722112645189574
4.82,4.220000000000001,4.42,0.21073433483149995
3.22,3.62,4.46,0.1629125938518204
1.1400000000000001,3.18,1.82,0.12712431419777867
4.300000000000001,4.7,2.8600000000000003,0.2370190717671701
2.26,4.42,1.42,0.2112860401630455
2.34,1.78,4.58,0.23559260601667267
1.3399999999999999,2.62,1.46,0.20790665921926393
3.86,3.66,4.38,0.1960306335953846
3.7800000000000002,4.9,2.38,0.2282333051563821
1.62,2.26,1.38,0.3011824198706032
4.0600000000000005,4.54,2.62,0.24703677562245968
3.9,1.74,3.1,0.5466778805719091
4.74,1.6600000000000001,3.74,0.6024096385542168
3.98,4.02,3.86,0.20371394058514017
1.98,4.62,1.1,0.2040816326530612
4.7,3.3,2.74,0.3808134824177605
2.8200000000000003,2.2199999999999998,1.9,0.4380242311276795
1.78,3.38,1.06,0.25564428103636466
3.06,3.46,2.94,0.22446524456442007
4.26,2.94,4.02,0.2886413529555249
2.06,1.62,4.78,0.22000085437224995
3.38,1.02,3.46,0.7429877780708696
1.5,2.98,2.2199999999999998,0.156321647421735
4.62,4.18,1.98,0.3708936771458849
3.7,1.38,3.8200000000000003,0.5562571411389742
2.8600000000000003,4.66,1.1400000000000001,0.28679154466327067
4.58,2.1799999999999997,2.54,0.5934795003369099
3.14,4.9399999999999995,1.18,0.29157226163503336
3.5,2.7800000000000002,2.14,0.4009531228520368
1.82,1.22,1.5,0.5967213114754099
4.18,2.06,4.66,0.3585028645922673
3.18,2.02,1.94,0.5354617094362498
2.66,2.38,3.42,0.2528613255256854
3.42,3.98,3.06,0.21164937990444832
3.3,1.1400000000000001,3.2600000000000002,0.6795156906350382
3.74,3.7800000000000002,1.02,0.4898108858504898
3.02,3.7,3.5,0.18138138138138138
2.58,1.06,4.7,0.4270109235352532
1.06,3.06,2.7800000000000002,0.09164159490956876
4.98,2.46,3.98,0.4065040650406504
4.859999999999999,1.5,1.26,1.4336283185840708
3.62,1.3,2.3,0.8438228438228438
1.26,4.58,1.8599999999999999,0.0961920175893975
1.8599999999999999,2.8600000000000003,3.54,0.14324882166291855
3.54,1.1,1.3399999999999999,1.3752913752913751
3.66,3.34,3.94,0.2218235593590148
4.34,3.58,4.34,0.22702069340698428
1.42,1.58,3.7800000000000002,0.188019702346274
2.02,4.0600000000000005,4.5,0.09046126287505597
3.34,3.54,1.78,0.3393895053448766
3.1,4.5,4.140000000000001,0.1340250756593169
1.18,3.74,1.6600000000000001,0.11861203811668207
4.66,2.58,2.34,0.5407789073016758
2.74,4.98,1.54,0.21661448945387848
2.54,2.7,3.22,0.22292434614709492
2.94,4.300000000000001,2.02,0.2263976590174033
2.46,2.42,4.0600000000000005,0.20089504458890012
3.94,4.859999999999999,4.859999999999999,0.13834463967190552
4.140000000000001,4.46,2.5,0.26521460602178093
1.6600000000000001,1.54,2.1,0.34771679932970256
4.1,1.9,4.62,0.3839670350252856
2.7800000000000002,4.82,3.66,0.1237689882998237
4.9399999999999995,2.1,2.66,0.642727036169659
2.5,1.94,2.98,0.3237838677925711
1.74,3.1,1.7,0.2078853046594982
4.5,1.98,4.1,0.44563279857397514
2.38,4.34,3.14,0.1324606513947327
3.46,1.82,1.22,0.8563508563508564
4.54,1.42,4.300000000000001,0.6032420940738772
4.46,2.9,4.9,0.260666277030976
2.1,3.5,4.220000000000001,0.11494252873563217
