n_0,kb,T,theta,p_d,Ef,n
1.19,2.9299999999999997,1.11,1.81,2.95,1.07,0.9163594424911357
1.23,1.17,1.19,2.67,2.45,2.55,-3.6867839185774125
1.65,2.4299999999999997,1.75,1.99,2.29,2.83,0.6264916710277344
1.5899999999999999,2.81,2.05,1.67,1.81,2.23,1.4796593448004027
2.09,1.63,1.27,1.63,2.27,1.09,1.942190539043642
2.0700000000000003,1.51,2.45,1.43,1.99,1.33,2.277820088842475
1.49,1.29,2.85,1.75,1.37,2.69,1.2237776740272652
1.53,1.75,2.9299999999999997,1.69,1.9100000000000001,1.23,1.4466347854889805
1.13,2.21,2.13,2.25,1.51,2.79,0.4947167377603829
2.99,1.85,2.33,2.91,2.77,1.9100000000000001,-0.5819413779029874
1.81,1.43,1.51,2.15,2.01,2.87,-0.836761134807313
2.33,1.25,1.65,2.99,2.23,2.1100000000000003,-2.924603320890284
2.83,1.09,1.09,2.0300000000000002,2.6500000000000004,1.45,-1.226773777807618
1.31,1.65,2.59,1.55,2.83,2.4699999999999998,1.3545580631408867
2.51,2.15,1.43,1.05,1.11,1.9300000000000002,3.380231128412783
2.41,1.27,2.81,2.13,2.73,2.9299999999999997,-0.455708017993761
1.01,1.71,1.77,1.37,2.79,2.99,1.565214528268144
2.23,1.33,1.5899999999999999,2.55,1.87,2.95,-2.5986510755610626
1.6099999999999999,2.63,2.35,2.1100000000000003,2.17,2.89,0.7711962201923896
2.9299999999999997,2.83,1.79,1.17,1.33,1.27,3.3111684989631325
1.25,2.5300000000000002,1.33,2.39,2.21,2.73,-0.3874717744546341
2.63,1.83,2.01,2.69,1.6099999999999999,1.53,1.045291769558741
2.59,1.19,2.21,1.4100000000000001,1.03,2.29,2.961908636347672
1.87,2.49,1.49,1.09,2.0700000000000003,1.99,2.830234728769798
2.55,1.8900000000000001,1.25,2.73,2.55,1.65,-1.6121503166224818
2.89,1.15,1.01,1.87,2.05,1.13,1.1910580980452277
1.79,2.09,2.6500000000000004,2.5300000000000002,2.09,1.5899999999999999,0.9106790403760922
1.99,1.57,2.55,2.63,1.23,1.77,1.0463930638543137
1.67,1.01,2.77,2.87,1.25,2.5700000000000003,-0.17731199708844417
1.9300000000000002,2.59,1.21,2.95,1.65,2.9699999999999998,-1.032731764377381
2.73,1.37,2.37,1.77,2.69,1.47,2.0720625676392794
1.33,1.07,2.75,1.23,1.53,2.6100000000000003,1.9332850691303136
2.05,2.69,1.03,2.6100000000000003,1.27,2.09,0.35713607215840065
1.45,2.1100000000000003,2.19,2.89,2.59,1.35,0.3873694769739863
2.31,2.19,1.17,2.0700000000000003,2.91,1.21,0.7903349646754504
2.95,1.35,2.4299999999999997,2.51,2.37,1.43,0.4902705292081374
2.25,1.9300000000000002,2.79,2.33,2.87,1.15,1.3006938662344618
1.69,1.23,2.71,1.35,2.39,1.83,2.175644716947959
1.11,2.89,1.05,1.15,2.67,1.25,1.6086959254194997
