n_rho,p_d,Ef,kb,T,Pol
3.0232519439623036,2.8022719447595628,3.9927250280229316,1.69548189435277,2.7872329346222706,6.686157834100295
4.711885521116893,4.0954355726710805,3.799153618921692,1.5559221002309809,1.4262552977554628,45.099882105407296
2.4899977213290048,3.414786154891388,3.416006252615249,4.982721318721693,4.66134932108986,1.4234595407612416
4.6505572763617025,4.281115772075632,4.921455505320777,4.690372626646521,1.6372396433436842,18.208394414035737
3.0655144974494313,4.6957812761169615,3.921241129882338,1.4000498054829815,3.861819411592335,16.34127511699547
3.8359680200627526,4.0895912757798305,3.6172318271084,1.283824431411905,4.3915921505524445,13.720256849289436
3.2868857568708925,4.5492926304747785,3.6076878083082593,1.6780764945866804,1.1107641404332562,43.888066228743725
1.1629496499904994,3.4797861922317117,1.0378849049634034,3.9135267337178985,1.3514059174100748,0.9211701428576429
4.537708773906989,2.7013981200870663,2.9043378511026114,4.183448564454183,2.5102303759187,3.0527530390639623
3.0329294037853343,1.1070819599747028,1.3700426669839765,3.8916897362313496,1.1236096198225156,0.388222792782916
3.7794740609841866,4.70008843280204,4.263668385423932,3.9847516481658034,2.7008366669108397,11.025695958449989
4.55710735846505,4.416749145240816,2.7314781617417747,1.277793520369504,2.7965059359289612,22.65138586222424
3.681558298506968,3.068699247618976,2.8220782848120853,2.2833154996746687,4.6815353624347775,3.050941672989285
1.5360806959328697,3.2819080866996857,1.2413435640230643,3.9356349676056297,3.945631905970416,0.4408656114865071
4.391253941295312,2.9216861747234786,2.782167417854392,2.5969850673450505,2.653436642155207,5.044748437919167
2.60566512314245,1.2200066275138228,3.3521132909278535,1.2242651313166064,4.6455016071482005,0.7619602542612542
2.6258632085288864,4.441888985626914,2.3321645023541633,3.192248463240288,3.389590096061481,3.7222158663965903
2.602052789830813,4.949899894947204,3.6990870480194067,4.957734451486834,4.41801086782479,3.5889895253398727
2.607600105368017,2.8210377340940362,3.5831214117570176,4.4649470297991725,1.9588646409743524,2.8338594838683027
1.2765401330842905,2.9066586624191304,4.40178171718699,2.7517873941638977,3.339415319164724,1.7220449250913952
1.3582816451737534,2.6155542197636312,2.037869717791166,2.786206640160924,4.175593300892665,0.5425514551310976
1.9256238941778732,3.313250654426335,4.261309020396618,2.5778415217645647,2.2367931425799465,5.207386207533308
2.3086620676731155,1.9627321598425864,2.2266431302088017,2.0008054337730017,2.672828605064536,1.2343429421499321
1.8814048948719897,2.2898088208652805,4.297185580806904,2.101680670361573,4.380086104149706,1.5349498643820012
2.6413172903121613,3.2433236158843446,4.588846961205976,3.467288717464743,4.937872314927642,2.4822961883008072
2.6129169030177475,3.6613315519406893,4.752551905974139,1.7731213774538728,4.0901847324066285,7.651171552406424
1.4691471091708936,3.835856168240768,2.3489584295512804,1.3461212207725302,1.0105948214688514,12.44178666589397
1.3918628715364854,3.343796329099366,2.4493455207308354,3.3632576033981096,1.7294605223660628,2.184409702104197
4.8265744687654335,3.403602438065576,1.470554971761378,2.064846245252636,4.849916028858076,2.7368735652521603
3.4850075259646216,2.5858091882574485,2.1063510379090298,2.756109089131695,1.6939171719286334,3.5044316282937764
4.760009379011871,4.0065775547879925,1.8786007722095133,1.5386311642257064,1.0044838281148452,30.95926802074688
1.0811939093491718,2.9454723583776232,4.677775381073715,2.2491945851641346,2.795840237758939,2.3259063394634487
4.67797403727546,4.991703872478848,4.71350997766308,3.98400228625094,4.940792915316882,9.303843132963019
3.416954047126726,2.1417198616732493,3.9057970736209904,4.829230667200214,4.525218540851436,0.9337602451391798
2.6486953534092517,2.655273958097047,4.437707205884945,2.52207248290654,3.7607502011806786,2.9124335184511834
2.190049222422185,1.848102023288423,2.259197460097796,2.7825302746434697,1.7071611787665502,1.1858350228851584
3.1874858842785647,2.988749647706296,1.4705701310174328,1.6027999566000344,3.990988676533819,2.1818857929237967
4.7404792289434345,2.047305529577432,1.0713038093949128,4.9965564772369975,1.4989839292199043,0.9473515801987796
3.610671226848234,4.476898511888907,3.2093474298971927,1.1977465658331607,2.3309898561255027,27.72889770801061
4.185782264832702,1.8655746118912844,4.078399211096631,1.2230842080063549,2.2034569619748616,7.348681546908691
1.6587677757825203,4.120124254525372,1.8132458332255963,3.123736246940875,2.806584370862473,1.941284518926914
3.407429785478468,2.360855065190962,3.8017078078400672,1.8960150288741515,4.6336810771894354,2.7393979921509395
4.398159025861228,2.960283071001081,4.988500781158646,3.391946565904348,4.636765133032332,4.074948281033484
2.087818242192641,4.192133325513522,3.9345991647110985,4.771781625433642,4.462944400087019,2.2596442169272777
1.719083040202281,1.7333340463625635,4.816276186475795,1.1249281867529333,4.46093533652191,1.6523452363068962
3.258235831590164,4.613720821374551,3.5080715910226896,1.631581624946199,2.483104532525336,20.01836129832908
4.944649909888796,1.8583384877116609,2.4850894910508576,4.259670385231665,1.058488262089364,3.1372124407374584
2.990351223071724,4.25798054900099,1.1815850448680645,1.1658719143213774,3.238915437977376,5.654872631398815
3.9679114448285335,1.3376079061153847,1.4680400623179124,1.2212768409035415,4.4564300014346125,0.6383150247241425
4.936233238362525,4.58266270852395,1.517267627614479,1.5139133034117975,4.2587225393276,8.131900290377176
1.8924275885198587,4.861458361934281,2.707610071779337,3.9183428355772714,3.444740578953529,2.990599970825065
1.0111728930103192,3.048471025090082,1.3173724044736397,3.4322675449817512,3.808320902684133,0.315690998516445
4.657269589635224,3.829638652924925,4.756172711877482,1.9509532376025456,3.612040070897277,15.366816897817314
1.638656807238252,2.328414867338102,2.1153837861326146,2.0502435134282417,3.384495220424332,0.9027703743548432
