n_rho,p_d,Ef,kb,T,Pol
1.98,3.38,1.06,2.26,2.7800000000000002,1.272125523651875
1.6600000000000001,1.98,2.9,3.86,2.46,0.6625105522557816
4.300000000000001,2.1799999999999997,3.58,4.140000000000001,3.54,1.6639474694542242
2.9,1.62,2.74,3.66,4.62,0.4110875026612732
3.38,1.3,4.58,4.78,1.06,1.7211307597168495
1.26,3.2600000000000002,1.22,1.78,1.62,1.88846658343737
2.98,4.98,4.140000000000001,1.7,2.94,20.405995390156072
4.02,2.9,1.1400000000000001,1.9,4.0600000000000005,1.6654285714285717
3.7800000000000002,3.58,2.94,4.300000000000001,3.06,3.6082286183310535
2.06,3.14,4.9399999999999995,2.8200000000000003,1.3,9.123043593380613
2.94,3.1,3.54,4.58,3.74,1.9463262732643671
3.9,2.46,3.22,1.3,3.46,5.631835838150288
2.38,2.94,2.8200000000000003,4.1,1.8599999999999999,2.5357280251770264
4.62,4.300000000000001,3.7,2.02,3.34,15.615702258848644
2.2199999999999998,3.74,3.9,2.7,2.14,6.986537487019729
2.58,2.34,1.42,3.3,1.02,1.9865724064171122
4.98,2.26,1.3399999999999999,2.38,4.66,1.0243936812493235
4.140000000000001,4.78,4.46,3.74,4.58,8.209801527216683
2.42,2.5,3.66,2.06,4.82,1.8584075252789751
3.46,2.8600000000000003,4.300000000000001,1.54,4.1,6.424669454123116
4.54,3.42,3.62,1.3399999999999999,1.82,26.273576447433165
3.2600000000000002,1.58,4.0600000000000005,4.66,1.1400000000000001,2.0732218859021665
4.26,1.42,2.1799999999999997,3.58,1.42,1.2278636871508377
3.74,1.26,2.54,1.8599999999999999,1.18,2.2904995079278296
3.58,4.46,1.18,3.42,2.1799999999999997,3.7569109143909727
4.7,2.62,3.42,4.5,2.42,3.3773604407713496
2.34,2.14,2.7,4.38,3.8200000000000003,0.5764324750770995
4.0600000000000005,4.859999999999999,1.94,1.26,2.38,20.679095798319327
1.1400000000000001,1.8599999999999999,1.82,3.1,3.86,0.19995481865284975
4.9,4.18,4.220000000000001,1.98,4.74,12.832057821534613
3.98,3.46,4.66,2.2199999999999998,4.140000000000001,8.052794493043768
3.3,4.02,1.5,1.82,3.42,4.283892423366106
1.46,3.02,4.82,3.62,3.1,1.9064361337848275
2.66,4.0600000000000005,2.42,3.5,4.78,2.1141309009762903
2.14,4.140000000000001,2.5,1.5,4.220000000000001,4.828691943127964
3.54,1.78,4.62,4.26,3.02,1.3426024811118369
3.62,1.46,2.7800000000000002,1.22,1.38,4.247162778173754
4.9399999999999995,1.02,2.98,2.3,4.9399999999999995,0.44933217391304353
4.58,4.5,1.74,1.94,1.9,14.593624525230604
1.58,2.02,3.7800000000000002,1.1400000000000001,3.22,2.2129400457665906
1.22,3.22,4.9,4.9,1.98,2.1295367003367005
3.7,3.7,3.46,2.14,1.78,15.33649935244496
2.26,3.06,2.3,2.5,2.98,2.1777177986577176
3.8200000000000003,1.18,1.38,2.62,4.26,0.21921704476221193
4.66,1.5,2.66,2.46,1.6600000000000001,2.2765941816044664
1.06,2.8200000000000003,4.42,4.74,1.5,1.7467690801687767
4.5,3.98,1.3,3.46,3.66,2.439178432673174
1.94,2.58,2.26,1.06,3.2600000000000002,2.815171524482
1.42,1.54,2.38,4.42,4.02,0.15036167878555937
1.82,3.8200000000000003,1.46,3.06,2.02,2.0910138958993945
2.54,4.220000000000001,3.1,4.62,1.58,6.4032431731419095
