n,alpha,epsilon,Ef,Pol
0.395,0.575,1.425,1.105,0.38693057183428753
0.735,0.07500000000000001,1.685,1.045,0.09888244301540815
0.655,0.255,1.525,1.855,0.5003498232864746
0.915,0.685,1.835,1.875,2.726034490250609
0.925,0.315,1.435,1.025,0.4746794441367853
0.425,0.275,1.295,1.575,0.24804457511380879
0.555,0.855,1.415,1.7650000000000001,1.4077917909007218
0.335,0.525,1.2349999999999999,1.475,0.340330152038242
0.985,0.885,1.035,1.885,2.397312868696479
0.515,0.785,1.325,1.2349999999999999,0.7645788784925213
0.835,0.065,1.135,1.975,0.12390586039939233
0.605,0.715,1.9649999999999999,1.5550000000000002,1.544464226559685
0.375,0.585,1.815,1.405,0.6035578725556304
0.08499999999999999,0.605,1.545,1.205,0.09740896004849799
0.6950000000000001,0.805,1.115,1.415,1.0850505867077782
0.135,0.125,1.855,1.945,0.06122899120050284
0.865,0.635,1.615,1.835,1.9926228292138037
0.575,0.175,1.225,1.705,0.2174619260616512
0.065,0.8250000000000001,1.7650000000000001,1.9649999999999999,0.1893685280641466
0.715,0.185,1.575,1.305,0.28441506224446206
0.645,0.665,1.2650000000000001,1.935,1.2250656537148863
0.595,0.265,1.075,1.275,0.22810195548538606
0.965,0.445,1.925,1.915,1.847471773095514
0.775,0.245,1.4849999999999999,1.5350000000000001,0.46205985387660686
0.845,0.845,1.155,1.565,1.6937898350266292
0.795,0.045,1.025,1.465,0.0543689845153455
0.11499999999999999,0.645,1.065,1.355,0.1097537495834508
0.725,0.325,1.5550000000000002,1.795,0.71374078114402
0.675,0.795,1.7349999999999999,1.445,1.6384340044146752
0.685,0.08499999999999999,1.745,1.005,0.10413166009467074
0.8150000000000001,0.765,1.445,1.815,2.064155389434153
0.485,0.875,1.875,1.395,1.292896900024266
0.975,0.375,1.7149999999999999,1.7149999999999999,1.2246381672597861
0.505,0.155,1.635,1.675,0.22010887938632145
0.9550000000000001,0.435,1.955,1.955,1.8429700073996695
0.635,0.915,1.8050000000000002,1.385,1.8014062854618178
0.855,0.215,1.475,1.725,0.4982500033289835
0.545,0.475,1.895,1.225,0.6576999806192714
0.7050000000000001,0.625,1.385,1.9849999999999999,1.4199293956043957
0.195,0.595,1.605,1.895,0.3670841150235352
0.8250000000000001,0.005,1.495,1.7349999999999999,0.010714260232820128
0.615,0.485,1.995,1.145,0.7565634462704384
0.015,0.555,1.395,1.325,0.015430541628017748
0.045,0.725,1.085,1.095,0.039187106659926696
0.315,0.055,1.355,1.8050000000000002,0.04261917762578893
0.28500000000000003,0.025,1.375,1.155,0.011342328655556951
0.155,0.775,1.675,1.135,0.2378984927731238
0.325,0.235,1.185,1.195,0.11097804416606097
0.355,0.735,1.885,1.365,0.7353211008734699
0.14500000000000002,0.755,1.845,1.4849999999999999,0.31130228094377327
0.255,0.28500000000000003,1.255,1.925,0.17993258243447519
0.895,0.985,1.665,1.5150000000000001,3.149156894567899
0.475,0.9450000000000001,1.505,1.065,0.8460597640746729
0.025,0.835,1.245,1.625,0.042528662988293546
0.235,0.41500000000000004,1.305,1.035,0.1361506087477067
0.995,0.965,1.5150000000000001,1.345,2.877488892123099
0.095,0.895,1.365,1.2850000000000001,0.15348602539472897
0.405,0.925,1.9849999999999999,1.455,1.2363748714469363
0.445,0.335,1.775,1.2650000000000001,0.3522322875470243
0.465,0.905,1.695,1.595,1.3233428225595396
