n,alpha,theta
0.08499999999999999,0.665,1.0576104774119026
0.965,0.275,1.2911276683274673
0.225,0.14500000000000002,1.0329836977126248
0.405,0.165,1.0683474392083663
0.645,0.005,1.0032284706059014
0.765,0.485,1.423387441873734
0.545,0.175,1.0985066919137583
0.915,0.875,2.092071611253197
0.215,0.245,1.0536164148846836
0.175,0.455,1.0817960022257416
0.255,0.20500000000000002,1.0532020456453706
0.235,0.885,1.2234668385848981
0.655,0.965,1.8007960556183158
0.635,0.34500000000000003,1.2363332344453735
0.465,0.295,1.143747871420712
0.375,0.855,1.3589923023093071
0.685,0.265,1.1932161896060813
0.675,0.185,1.130298682665971
0.535,0.195,1.1080836074490403
0.595,0.675,1.4637032760860154
0.055,0.575,1.03196193203352
0.8250000000000001,0.9450000000000001,2.0533693632832293
0.895,0.11499999999999999,1.1065816383766385
0.275,0.835,1.2486576726977394
0.325,0.595,1.2066984367345122
0.245,0.545,1.1397448085191741
0.745,0.775,1.7149785872761982
0.14500000000000002,0.125,1.0182351708237267
0.305,0.8150000000000001,1.2710322832713958
0.865,0.365,1.3528606420728129
0.065,0.845,1.0559493391509553
0.435,0.765,1.3742935072969096
0.935,0.805,2.0047612161124895
0.9450000000000001,0.555,1.6355924500863455
0.7050000000000001,0.395,1.3069694380907764
0.095,0.315,1.0302265094315801
0.835,0.615,1.619581938286128
0.015,0.045,1.0006751519091797
0.625,0.525,1.368421052631579
0.495,0.065,1.0325238179474867
0.11499999999999999,0.495,1.0580260441884763
0.135,0.975,1.1376650542554583
0.025,0.995,1.0250829797067351
0.455,0.10500000000000001,1.0485481289535858
0.995,0.725,1.949750397717922
0.185,0.305,1.0575066033649558
0.5650000000000001,0.255,1.1513432600646025
0.525,0.375,1.2107023411371238
0.505,0.325,1.173623661127518
0.785,0.605,1.564250566814847
0.045,0.475,1.0215283897771623
0.475,0.715,1.382981722501527
0.355,0.625,1.2395950506186726
0.975,0.215,1.2253729337454644
0.425,0.41500000000000004,1.1873920934968347
0.6950000000000001,0.535,1.4244294995576778
0.515,0.095,1.0497361131113239
0.795,0.585,1.5504008994348946
0.365,0.985,1.408477641333472
0.20500000000000002,0.635,1.1360797261157038
0.925,0.865,2.0911415421330757
0.28500000000000003,0.925,1.2890228861175825
0.195,0.355,1.0708600967320931
0.315,0.405,1.1332410767905168
0.775,0.735,1.703132232680142
0.035,0.8250000000000001,1.0291556228701249
0.555,0.225,1.130298682665971
0.155,0.465,1.0738492276953815
0.715,0.5650000000000001,1.4668387245885537
0.385,0.895,1.389287967086248
0.9550000000000001,0.935,2.2713239917895662
0.845,0.445,1.429910727045799
0.265,0.08499999999999999,1.0226954046633474
0.615,0.745,1.5407630344339205
0.295,0.6950000000000001,1.2200645801840804
0.985,0.055,1.0551713017575721
0.885,0.9550000000000001,2.176673279732693
0.605,0.035,1.0213255226473525
0.575,0.685,1.4534030409132332
0.855,0.755,1.8225082024655177
0.585,0.645,1.4316108553290057
0.805,0.795,1.8135189245876635
0.005,0.025,1.0001250052085504
0.725,0.385,1.3077594523820462
0.125,0.515,1.0657866723440494
0.665,0.015,1.0100082775227632
0.41500000000000004,0.07500000000000001,1.0314513073133762
0.165,0.335,1.05631255889769
0.875,0.785,1.8908403134288032
0.485,0.915,1.520816829504445
0.755,0.155,1.12177524952523
0.395,0.905,1.4058334358236915
0.07500000000000001,0.435,1.0329836977126248
0.905,0.135,1.127361809700034
0.8150000000000001,0.505,1.477017877666921
0.735,0.425,1.3486814566764336
0.335,0.235,1.08084654816818
0.445,0.655,1.3228417681210254
0.34500000000000003,0.28500000000000003,1.1016568016748947
0.10500000000000001,0.7050000000000001,1.0758977776638556
