q,Ef,m,omega_0,omega,x
2.999541914710269,2.089092526603421,2.131729276138861,4.141490511945417,1.2430153244410462,0.18834978199762756
1.4831566787849184,1.4500143107111203,2.4477653293757853,4.946278087703368,1.202497817189501,0.038167219685565176
2.4440478766257785,1.9486836882000576,2.537417392865967,4.223957509883519,1.8915763959412,0.13159071661381014
1.4700082819902849,1.0508605157189732,1.2967875153455275,4.775147897139065,1.4491292843033807,0.05754166648273245
2.6385875556484573,2.5846204986479497,2.22068378984066,3.7855098381417,1.0849486038617182,0.2334843095028281
1.3018076306072568,1.7582836566868312,2.2509223454763347,3.777822523674749,1.538888105802693,0.08542615184118285
2.363632631545248,2.636273296117742,1.4107716366663705,3.99320718988792,1.5453954895571993,0.32578828999083265
1.3233747267637257,2.1436308989762067,2.246755299836206,4.502844114356122,1.5548180570362478,0.07070346574853892
1.1382509064124635,2.2968127312303968,1.6701185024448784,3.807597124581115,1.184408434283419,0.11953957644349365
1.9253852005248335,2.775919792285916,1.226030842634943,4.143733101079822,1.57620295588192,0.2968358983253591
2.2500373056714613,1.9161096848410257,2.926086119111734,4.003108122802462,1.9177055749347809,0.11933056176040112
2.327807313386603,1.9291963298374364,2.745920391458008,3.3839408951855714,1.489789814411452,0.17715742851099844
1.6243704976119029,2.693950202180029,1.4933185851845114,3.810368667918192,1.112512421094341,0.22063989181411467
2.4058531925188835,1.9462589434688529,2.987169932932708,4.583738842867591,1.0353428252796355,0.0786162614492875
1.2954012524441303,1.2447293234140038,2.3424502163927023,4.511509852622819,1.0389814743977557,0.035713435669572656
1.7303602824483864,1.1213137566214508,1.5644201746968418,4.053462167387102,1.6032720810890972,0.08948386331814852
1.6821739617945501,2.3519172017680003,2.012618025725512,4.990028994093336,1.2061630768714462,0.08384380253716102
1.9342733680175652,2.3482196607031565,1.1474772937032442,4.4427416607602535,1.2061873090123774,0.21650276802534132
2.149997994080687,2.083242836538405,1.7702125303913765,4.8908724879668615,1.4292675608851932,0.11565071949156255
2.1121074422910118,1.9934786085192842,1.6409135847719472,4.420704460957639,1.2433348790027061,0.14257647770411794
2.860286573048745,2.569663517508509,2.6337268138260894,3.02183099516141,1.051457684388758,0.3477133573707992
1.83601915087895,2.9318148382996934,2.11711158515333,4.930428629292211,1.0716285197495532,0.10977857479968346
2.6479929330155967,2.760753873100938,1.8858043146191568,3.795752799125169,1.5456866578801771,0.3225479545102173
1.1600586892252025,2.3922380185763297,1.5332595820016959,4.24505838953809,1.0783621087661288,0.10736716294786088
1.1301911548763686,2.5589031980011976,1.90651069188905,3.9758432795873655,1.0069915386101436,0.10254193659809273
1.4738832098354921,2.4669767349141307,1.5087921762997647,4.690760639602823,1.9758603015844416,0.13314934923108074
1.535949005701963,2.6062831821478043,2.51099016979312,4.285531842875725,1.0870522013742128,0.0927740631654526
2.1790795452867737,2.6475594058889813,1.4191651428740035,3.4196416300400374,1.6430361375066465,0.4519751687419614
1.7371187068811176,1.5020051237170775,1.5441869285435927,3.5239001883525978,1.7719736760899982,0.18211575636840627
2.7628443613755205,2.370807260727509,1.794111004637564,4.072336143691011,1.7231242660888764,0.2681595250735992
2.1897201248165032,1.7083066030532768,2.583574865225743,3.9663098003663375,1.2475192825060877,0.10214117316830268
2.3799565036024646,2.4961651864957397,2.4002095968421173,3.0657598030538686,1.6468030797718918,0.3701407200354001
2.789037337361296,2.245793353131848,1.8005182969195848,4.256486741177754,1.403722486308499,0.21544092853753585
2.1086256474461202,1.0280894955026716,2.0381920112805365,3.5381455190875384,1.5260879502262132,0.10438334013344122
1.8838506807816944,1.9061562494371544,1.161926662989503,4.045377975037583,1.8186158533498704,0.2366785644079089
1.9891482379912275,2.054941418698545,1.7786758218073089,4.148945541518697,1.0678259267171517,0.142974775354498
2.29043788119922,1.7999165144280709,1.6119153143389893,3.0967954061912444,1.3905920358931592,0.3340444759952449
2.775603510711228,2.1525384128689677,2.23574896849991,4.232322519154271,1.2769666264223865,0.16412696770696772
1.997889960099597,1.0990232100247597,1.2992241964068565,3.0064847688410605,1.7249580179273054,0.2787231615080126
2.2508890825574515,2.829039007520585,2.1170495283893422,4.314188666901671,1.2248570304578306,0.17577719585655
1.6754518261750295,2.7375893645764413,1.8089944468082904,3.1082806906753118,1.6814025902099752,0.3709961027613128
