epsilon,c,I,r,B
4.300000000000001,1.3399999999999999,1.38,1.1400000000000001,0.024952629282524647
4.26,1.62,2.7800000000000002,4.140000000000001,0.009559275060230892
3.66,4.140000000000001,2.7,2.9,0.0023621318215312527
2.9,2.1,4.7,4.18,0.013992815905488233
2.8600000000000003,4.1,1.98,2.1799999999999997,0.0030067345063093773
4.1,2.26,3.62,1.38,0.019936498333614636
4.220000000000001,2.14,3.46,2.8600000000000003,0.009963001590418756
3.46,2.58,2.2199999999999998,4.1,0.0037417411372375107
3.8200000000000003,3.34,1.7,3.34,0.0019009307222531942
2.1799999999999997,1.22,4.5,4.46,0.049490476099156966
1.62,2.94,4.1,2.3,0.02026126127656854
3.3,1.94,2.42,3.38,0.00917490122874742
2.46,2.3,4.9399999999999995,2.62,0.02305977206096438
4.62,2.8600000000000003,3.1,1.8599999999999999,0.00701931673133214
4.46,2.7,4.46,1.18,0.01850165574991227
4.859999999999999,3.7800000000000002,1.02,1.78,0.001313349860092827
1.3399999999999999,2.34,2.46,1.5,0.03557357125596928
1.74,2.42,4.140000000000001,1.74,0.03716132959648354
4.5,2.46,4.98,3.54,0.008221735184523777
1.98,1.3,2.34,2.74,0.040619402555228244
3.34,4.7,3.3,4.62,0.001540812926548397
4.82,1.06,2.74,2.58,0.031209888688051145
1.5,3.86,2.1,2.34,0.006390836406571733
2.14,3.5,2.14,3.5,0.0037120686435427484
4.42,3.46,1.3399999999999999,2.26,0.0017833723295222436
2.34,1.6600000000000001,4.0600000000000005,3.2600000000000002,0.03073948106986297
1.1400000000000001,4.66,2.98,4.78,0.004008037852222375
1.3,4.78,4.9,3.86,0.006801892462273568
3.86,1.42,4.38,1.3399999999999999,0.06683830847265301
1.8599999999999999,1.98,4.34,3.06,0.030956019383867158
2.74,1.02,3.5,3.98,0.04909691425913627
1.46,3.58,3.22,4.300000000000001,0.0063692550293868635
4.9399999999999995,1.46,3.94,2.98,0.01998331015107318
1.18,2.06,2.38,2.02,0.03744805545171901
2.3,2.54,2.1799999999999997,3.46,0.006757798797169778
3.42,4.02,1.54,1.62,0.0027374590152097417
4.0600000000000005,3.2600000000000002,4.62,3.7800000000000002,0.004508261234838194
2.62,4.42,1.9,2.7,0.002188084745556952
2.06,4.54,2.8600000000000003,4.859999999999999,0.002205824567662764
1.9,1.9,1.74,3.02,0.01336908344814508
3.1,4.82,3.66,2.94,0.0027510476727036688
3.9,3.9,1.8599999999999999,4.26,0.0011714659117720294
1.82,2.74,4.26,3.8200000000000003,0.012989542469918456
4.74,3.66,4.74,3.7,0.003211117791237125
4.98,3.54,3.7,3.14,0.0030050820946794336
2.94,3.7,1.94,3.94,0.0019470399436933277
3.02,2.38,4.58,3.9,0.010925973568248443
1.1,3.22,4.54,1.42,0.044615237742538304
1.6600000000000001,4.46,3.58,2.2199999999999998,0.007772708459053885
1.38,2.1799999999999997,3.34,1.98,0.04093637049626278
2.58,4.74,1.78,4.54,0.0010764847747954318
3.2600000000000002,1.74,2.5,1.6600000000000001,0.024284879654749313
3.06,1.7,2.94,3.74,0.014147398624666109
3.22,4.26,3.98,4.7,0.0023063768800523584
1.06,4.98,2.66,3.1,0.005194880044299758
4.18,1.58,2.26,2.06,0.016732887637088266
2.8200000000000003,3.98,2.02,1.58,0.004555113068767179
1.22,2.5,3.02,2.8200000000000003,0.022353118387979255
2.5,1.54,4.18,1.94,0.05783799550037319
3.7,3.06,3.54,1.9,0.008559043146608478
3.58,1.8599999999999999,2.8200000000000003,3.62,0.010010407440268577
1.78,4.9399999999999995,2.58,4.0600000000000005,0.0023283051773136474
3.18,2.9,3.8200000000000003,1.02,0.022287441025768264
4.66,1.26,1.18,4.42,0.005743185748934782
4.02,2.2199999999999998,3.2600000000000002,1.54,0.01700532783689936
1.58,1.5,1.62,1.26,0.057560558080251484
4.58,3.1,1.1400000000000001,3.3,0.0012491718170813417
4.54,3.94,2.9,4.9,0.0013365147405788355
4.38,2.62,2.3,2.66,0.00457709195792699
2.54,3.38,1.6600000000000001,3.18,0.0028630832916444306
3.74,4.5,2.54,2.5,0.0021350950311132986
1.94,1.82,4.859999999999999,3.22,0.03738143966791597
3.94,2.66,4.220000000000001,3.58,0.006729612549267502
4.34,3.14,2.62,4.82,0.0020217402578912606
2.66,4.220000000000001,3.86,2.1,0.006175634760358323
2.7,2.98,4.66,4.58,0.0067537390748943285
1.54,3.62,3.06,2.38,0.010139738133721618
3.62,2.8200000000000003,1.5,1.06,0.007823457691090187
2.1,4.38,1.46,4.34,0.0013289717284086615
4.9,4.62,1.82,4.74,0.0005842963142895163
2.98,4.0600000000000005,3.7800000000000002,1.82,0.006729335981737561
2.42,4.300000000000001,4.02,4.38,0.0032645234836020686
2.26,1.18,1.42,1.1,0.06528949915865861
2.38,4.9,3.38,4.66,0.0020201415354512762
