rho_c_0,v,c,rho_c
3.62,1.075,6.1850000000000005,3.675949310744952
1.26,1.345,8.915,1.274589312249061
3.86,1.895,3.7350000000000003,4.4793479778452125
4.7,1.145,4.4350000000000005,4.864928184637413
3.9,1.035,4.155,4.02693536746708
4.26,1.245,4.295,4.451106291124737
3.66,1.355,8.495000000000001,3.707466602024532
3.34,1.295,8.145,3.383033299128534
1.54,1.595,6.045,1.596578737555903
2.26,1.5150000000000001,3.245,2.5556219662882884
4.0600000000000005,1.7650000000000001,7.515000000000001,4.176832967197703
1.1400000000000001,1.975,5.835,1.2115087146007912
2.14,1.745,8.285,2.189106776880177
1.98,1.405,9.685,2.001169494047317
4.54,1.055,4.645,4.661835224685862
4.300000000000001,1.925,5.205,4.6281508152038615
2.1,1.105,8.425,2.1182987670223716
2.62,1.5550000000000002,8.004999999999999,2.6708766057443483
2.66,1.115,5.765000000000001,2.7111918648713407
2.7,1.455,7.095,2.7586306336884427
4.38,1.615,4.505,4.691851666327861
1.94,1.425,6.885,1.9829366568650266
1.6600000000000001,1.585,5.484999999999999,1.7339745124945691
3.38,1.8050000000000002,7.305,3.4881599176380753
2.3,1.475,6.605,2.3595886312498795
1.42,1.605,8.775,1.444365861098462
1.62,1.545,9.545,1.641648524618295
2.06,1.2349999999999999,7.795,2.086351820090122
4.9,1.565,3.875,5.356268596167204
3.74,1.395,6.395,3.8322904773380326
4.42,1.495,3.035,5.078921534229634
1.74,1.065,6.115,1.7670050816418787
3.7800000000000002,1.2850000000000001,3.315,4.100609351544355
2.94,1.155,3.175,3.1562502302167457
4.02,1.4849999999999999,9.405000000000001,4.071067678810381
1.7,1.795,7.865,1.7460824192685933
1.82,1.005,8.565000000000001,1.8326599480527739
3.14,1.945,3.665,3.7047420347613964
1.5,1.225,5.695,1.535953891745069
1.38,1.9649999999999999,9.125,1.4131545959805278
1.3399999999999999,1.855,9.335,1.3672668317121845
2.74,1.7850000000000001,9.195,2.7931356140515664
4.58,1.905,4.785,4.992730422068812
1.46,1.2650000000000001,5.345000000000001,1.5026912377936832
1.78,1.185,7.0249999999999995,1.8058776736074267
1.02,1.015,9.965,1.0253326502581097
4.9399999999999995,1.625,4.085,5.384351480948152
2.54,1.465,3.8049999999999997,2.752169270574955
4.98,1.865,3.455,5.9159298580409425
2.98,1.705,4.365,3.2371688169696817
4.62,1.7349999999999999,5.275,4.89219545170442
2.8600000000000003,1.915,9.825,2.915924681716004
4.1,1.365,4.225,4.332331191379191
2.1799999999999997,1.195,6.675000000000001,2.2157977560344566
2.34,1.125,5.0649999999999995,2.399948219870227
4.66,1.415,9.895,4.708390628739435
3.5,1.845,4.925000000000001,3.774892483731207
2.46,1.135,8.355,2.48301793403461
1.22,1.995,3.9450000000000003,1.4141527097728472
4.220000000000001,1.7149999999999999,7.165,4.346342150814838
2.2199999999999998,1.665,4.715,2.372872550845524
4.46,1.9849999999999999,7.234999999999999,4.637973703523886
1.9,1.675,7.7250000000000005,1.946303102463952
3.02,1.375,5.135,3.1344617474983973
3.8200000000000003,1.725,6.535,3.960466945595797
1.06,1.335,4.015000000000001,1.1239503498981296
4.859999999999999,1.165,9.615,4.896072306219599
3.7,1.755,7.445,3.8072936920227765
3.06,1.445,4.995,3.1966847471788284
3.3,1.255,8.215,3.3391958989597277
1.8599999999999999,1.215,5.975,1.8996908559788153
4.78,1.685,3.385,5.511351743270925
4.5,1.205,8.075,4.550956539678942
2.5,1.645,3.5250000000000004,2.826668855416534
3.22,1.875,8.705,3.297398692993671
4.18,1.045,8.985,4.208561185664152
3.94,1.815,4.575,4.292223718646123
2.8200000000000003,1.095,6.815,2.8571215201202613
1.3,1.385,6.745,1.328304483883031
1.18,1.8250000000000002,9.055,1.2047220675630657
3.1,1.025,3.5949999999999998,3.234245921121226
4.140000000000001,1.775,9.475000000000001,4.214615266445545
3.58,1.635,6.955,3.683220871161398
3.42,1.835,7.655,3.5227084614159194
2.42,1.885,7.585,2.4983802251501013
3.54,1.935,5.415,3.790255018724588
3.2600000000000002,1.315,6.324999999999999,3.3328255937693902
4.74,1.695,7.375,4.87037672079845
4.34,1.085,5.555,4.425231463143917
4.82,1.575,3.105,5.5929379456823405
3.18,1.435,6.465,3.2613552740494205
3.46,1.505,9.754999999999999,3.5019279217092043
2.02,1.325,4.855,2.0997085343897925
2.9,1.305,8.635000000000002,2.933696348435701
1.1,1.955,5.625,1.173133879036391
2.38,1.275,5.905,2.4374972891692908
2.7800000000000002,1.655,6.255000000000001,2.8827365356143346
1.58,1.175,9.265,1.592861445429633
3.98,1.5350000000000001,8.844999999999999,4.04132282843013
2.58,1.525,7.9350000000000005,2.629008886471358
