rho_c_0,v,c,j
4.353450997011112,1.79664753657655,9.84830365207506,7.955116279610372
3.1642278037502174,1.4746019451074646,4.562492937900196,4.930599971516383
4.287177604214638,1.4755597249827637,4.720255284613879,6.659744330307517
1.6797367491808033,1.410924229529653,8.232951505146257,2.4055696957324115
2.2961006357814755,1.2252731392529363,9.186298058608806,2.8387146288527005
3.2580965860901774,1.9048024596461333,3.7551539559746927,7.201251585716566
3.6709753142655455,1.0629527576216231,8.301747730269824,3.9344576515716
2.0985822957474967,1.9391146416630864,8.349916306948796,4.183773892017562
3.0308754992221916,1.1079465688509136,4.797761860475411,3.451336366640517
1.3562541009589872,1.0009030266624397,3.700231995205858,1.4100442791610304
2.1065390590163515,1.232136317181249,8.03322382066058,2.6266233969849657
2.0548263878379265,1.538490886826689,8.117500128141312,3.2196872795156835
4.422892523307164,1.0256702248653975,4.982722475719747,4.635704941160411
1.8840366097091492,1.700295888630562,9.679380658083122,3.2540177178435643
3.604387276743143,1.4236875477374904,5.099053113430791,5.344047914332316
2.0946197115979035,1.2922222204800058,6.53470732878626,2.761240389369831
3.2873568296558204,1.4989043807022089,3.827937658856949,5.3550419402280856
2.2214270683612507,1.2801366052462644,6.283966069162996,2.9046395702981678
4.761413100813588,1.9195452558175925,5.1794090464835785,9.84050784571216
2.538621296740934,1.5990519425500538,8.611168676689896,4.131240278566526
2.0194065269147936,1.1799013856677782,5.863241999161526,2.4324624743412984
4.058348606387525,1.996473053152353,5.92732887651529,8.6052098175689
3.187751613655029,1.7862131451378411,7.480704950576705,5.863610755892247
4.720244342947759,1.4276915910348469,4.009896991139261,7.211631604323817
1.862778960393309,1.5093018320897298,6.674587849244291,2.8862557172322405
2.6473274755346745,1.820409664805688,9.670639553787176,4.9069424691666415
2.054789242390457,1.8870454356758508,9.854675963592383,3.950585904406533
3.1051911638546383,1.791170768471249,7.121454042735492,5.746667283179077
1.6491478053027055,1.0731347796598714,6.8263372236216115,1.7920401267055446
1.5918374447281918,1.1407027051653589,6.601277115985272,1.8435459636540223
2.562880739005299,1.5195800641280333,9.022775339537263,3.950937659486876
4.134959312961359,1.8364317840777464,6.9722281848759735,7.8715237698515415
1.1072689843225372,1.3376766580441868,4.074598889086472,1.5680791066087063
2.38710510909382,1.1812081600169182,9.04123939706964,2.8440443727846136
1.281631648475113,1.489300074130853,9.715836636734071,1.9315615087431368
3.5515138803317337,1.3501816145351424,4.954641180638016,4.983809032318285
3.0926878915368023,1.6181560494178453,4.918056016823648,5.2995197081466605
4.582432166487915,1.1082182673072711,7.486025752992853,5.134913391806719
3.186398981441575,1.89687839992458,6.289274058451473,6.3394199812514005
4.861599644556428,1.8090436725820536,8.678760658159106,8.992371565648
4.346387081063494,1.3584618715372652,8.715825819940767,5.97745207462793
3.614595198901732,1.7331096403365869,3.956165344711671,6.968775989282008
2.9613195789392983,1.1132955418983208,3.7144671398828133,3.4556902713085376
4.307514092872531,1.9936124453832704,4.151893524217789,9.78995795075039
3.786015878079328,1.2148249391850283,4.707775876627308,4.760575260512998
4.314765119032963,1.90320906410624,7.951794369091375,8.457723876789192
3.414185194659264,1.5422242316464931,6.283475867816148,5.431583315980408
4.006548213544699,1.5016467515358596,6.344578970229668,6.192362433389612
3.9101372935761134,1.45221888022492,7.975046464499573,5.7749269145299955
4.168026391173656,1.3121196751502786,9.318636659260939,5.523983719733233
3.455773335930437,1.9647193437406372,6.8694796492966725,7.085608108962189
2.9227261057332883,1.5502745129968676,4.815044782413313,4.785867231058437
2.157099808847744,1.6175493429094467,3.8280090146083694,3.8498004906979726
2.6176823686960224,1.331540892465816,8.298180225775635,3.531309644149084
1.3840320128115922,1.9523628450845951,9.638191973510366,2.7593371420096893
2.6351722045687644,1.6382239018631548,9.841749225411368,4.3780816469606645
2.9762572617137923,1.321904952906102,7.177754982017249,4.002797124576953
3.663407825294609,1.6135508495645206,3.389939370319108,6.7213165455196116
3.9562292066594336,1.8797786305034945,9.684461520413167,7.581016622147738
3.0389159192517745,1.6285431107334432,7.865144859826487,5.058633162894613
4.471074159912538,1.3992037173295,6.995346974123518,6.384971227956285
3.92447633703641,1.9584007113288355,7.081236627341863,7.997636360035808
3.031004429004973,1.6402224345358574,7.748861649980367,5.0867849015821704
3.814505022177981,1.9639246428078256,6.851888677170634,7.819484363377062
2.175468879089165,1.4596765637462998,3.6131653725282984,3.4713657539020417
2.257994991799961,1.0331004275413451,3.9842646681482448,2.4153448943343885
1.1906840067347426,1.6554726959421868,6.258049902294999,2.0439586224640136
2.4579244050342,1.2431705421241424,9.20443188020714,3.083876385844225
1.3912375932761545,1.7571692270608887,9.351201921022223,2.4889771297327155
1.365906127129629,1.7831109443690136,6.645529724065759,2.5282724597884125
2.9561814074660173,1.53804381275594,9.983378619665194,4.601673957787979
3.6335025066759146,1.050075856760735,5.735096875523193,3.881062797344162
2.442336669328393,1.2703076562376854,4.890619618416032,3.2127896535169134
2.4512245798642534,1.1332162597579225,4.0201772071587945,2.8951694759616022
2.9893399425886997,1.6780165945603558,9.634896435989912,5.094012229339448
3.291568941608259,1.1565291645568132,6.351521573451473,3.8715178347095764
2.042826830870464,1.7985135692025733,7.416503705258517,3.787092623835042
1.964591322176824,1.525330768392038,9.70499752459908,3.034363808172956
4.132081364269752,1.9008336707766593,7.290648961576196,8.135784606488365
2.043310808980378,1.3401702888582898,8.035777796494541,2.7772805093803994
2.0337593266776963,1.0205825220428348,3.1202634686111947,2.196431977531759
4.285912710664887,1.3553475699229218,7.7799613163074275,5.8991075105093405
4.904927390137108,1.8136002117217416,3.5780450504373844,10.319419007305257
3.205103367543015,1.2542462728135528,4.513348157838914,4.184825661102768
1.8804512962492268,1.6224385942263126,8.246076445412356,3.1117415698927657
4.699200882342508,1.838043017036875,6.719598701050634,8.979803754215382
4.6682290499210195,1.670575813678532,4.491527803091024,8.401369637011628
4.396196946139707,1.8730130204507824,8.096284256251803,8.463734786229134
4.656417757867471,1.1736816563562258,6.270440579157985,5.563479813708956
1.0727986973451435,1.5803123845835485,5.4357373968562674,1.7718917558302751
1.0987700580054445,1.759396436140389,6.736219364048685,2.002687647142499
3.395586288679899,1.388014436559467,9.487386472545968,4.764387039244848
2.601777056865136,1.717546258148687,5.67414171452578,4.688631098662233
2.4541884559544354,1.0302781754495896,6.433943246179547,2.561551940011664
3.0868961726094497,1.7857696036592512,3.517229611974249,6.398543923709925
1.6044276679003553,1.522843689441418,3.4945406399582963,2.7146059658784916
4.599263624550832,1.3581962946719857,7.1267152204036615,6.363329764737271
2.4064718431509022,1.9185483240912602,3.0790481799127982,5.902919652551973
1.3154380190826995,1.6036514948694678,7.2669193398921825,2.162825033965281
2.0272202153169983,1.777166480188593,8.711923780819536,3.6800910537402385
