rho_c_0,v,c,j
4.9,1.175,6.324999999999999,5.859495570224436
1.78,1.075,8.495000000000001,1.9290075535193922
1.22,1.695,7.165,2.1283115595643456
3.86,1.955,8.355,7.761777713610108
1.38,1.065,5.625,1.4967723118659817
3.58,1.115,8.145,4.029636083976617
2.1799999999999997,1.455,7.655,3.230796834743627
4.0600000000000005,1.365,7.795,5.628874698788663
4.02,1.2650000000000001,9.754999999999999,5.128604510130945
2.54,1.935,7.445,5.0898170177598745
2.58,1.425,3.035,4.164020877926555
4.220000000000001,1.345,3.9450000000000003,6.0376402586229005
2.9,1.135,8.075,3.3245038490457537
3.46,1.495,6.1850000000000005,5.330770234092213
4.74,1.025,9.545,4.886758181708573
4.62,1.045,7.865,4.871087754423523
4.42,1.195,7.0249999999999995,5.360018850589999
3.02,1.465,5.275,4.605476764115405
2.98,1.615,8.635000000000002,4.89914895304311
2.94,1.7349999999999999,9.125,5.195681862175732
3.18,1.775,4.015000000000001,6.292855161018934
4.1,1.665,7.234999999999999,7.014779580469329
1.26,1.245,7.305,1.5919915101184063
2.5,1.685,9.475000000000001,4.280734633599592
3.7,1.395,8.285,5.23625942193817
1.1400000000000001,1.925,5.765000000000001,2.3281240366751383
3.3,1.225,4.995,4.169842521478429
1.06,1.525,9.335,1.638511906763244
3.5,1.9849999999999999,6.115,7.345265216741859
3.1,1.215,8.565000000000001,3.804978806628755
4.38,1.655,5.415,7.613194763518751
2.3,1.2850000000000001,6.675000000000001,3.0118359807119917
3.14,1.645,5.555,5.407854356294485
4.18,1.205,3.665,5.3334137164822435
2.7,1.635,3.7350000000000003,4.909930413580839
1.98,1.275,6.045,2.5825988314162225
3.34,1.035,7.585,3.4895395009098897
1.62,1.675,9.685,2.755015377319969
2.26,1.5550000000000002,9.405000000000001,3.5633421655735367
2.46,1.845,5.135,4.863470268125122
2.42,1.625,7.9350000000000005,4.017649411558031
2.62,1.885,9.615,5.036435393848659
1.94,1.605,3.385,3.536512241594138
4.26,1.7149999999999999,7.375,7.511827233625419
2.8200000000000003,1.005,6.535,2.868220420071199
4.300000000000001,1.475,6.395,6.518251408279795
1.42,1.8050000000000002,4.715,2.7744503372791196
1.6600000000000001,1.145,6.885,1.9275417808557975
4.98,1.185,6.605,5.998630936435055
3.42,1.575,3.175,6.203597291182905
2.7800000000000002,1.125,9.055,3.151920757554173
1.54,1.595,5.345000000000001,2.573556745729723
4.58,1.305,7.095,6.080642415227509
1.3399999999999999,1.4849999999999999,3.245,2.2379946751482684
4.9399999999999995,1.165,5.484999999999999,5.889478085600541
2.74,1.375,6.955,3.843357604041045
3.94,1.055,8.775,4.187071696519576
3.54,1.915,3.455,8.144653050514002
1.46,1.355,6.745,2.0194691026752736
1.8599999999999999,1.5350000000000001,4.085,3.0808825111512173
2.14,1.155,9.965,2.488471738192677
1.18,1.7850000000000001,9.825,2.14194666483962
4.54,1.835,7.7250000000000005,8.576376062858465
3.38,1.585,8.004999999999999,5.465507385111497
3.06,1.435,3.8049999999999997,4.741198869348721
4.66,1.105,3.105,5.510027336284065
2.06,1.095,3.5250000000000004,2.373101622715177
2.34,1.995,8.705,4.795947098208464
4.859999999999999,1.705,5.205,8.770176640043664
3.9,1.445,8.425,5.720264043793092
2.2199999999999998,1.755,4.925000000000001,4.169831134667569
4.34,1.865,5.905,8.530751194919338
2.8600000000000003,1.725,5.835,5.164332359122049
4.7,1.905,7.515000000000001,9.255820866170627
3.66,1.975,4.365,8.105668792814408
3.74,1.505,5.695,5.83617856033313
4.140000000000001,1.325,9.895,5.535351172668053
1.9,1.2349999999999999,6.255000000000001,2.3936194498905126
1.58,1.5150000000000001,8.915,2.429030976466646
3.22,1.895,3.5949999999999998,7.180477865808078
1.02,1.315,3.315,1.461180823769107
1.1,1.335,8.844999999999999,1.4855180413563527
1.82,1.255,4.225,2.3920669087779665
2.38,1.875,3.875,5.09918790239452
4.5,1.565,4.575,7.494635583082572
1.74,1.9649999999999999,4.785,3.749879434012058
1.7,1.7650000000000001,5.975,3.1406534131042325
3.2600000000000002,1.8250000000000002,9.265,6.068392342624365
4.82,1.945,4.505,10.393494707529655
3.7800000000000002,1.545,8.215,5.946207023810722
2.66,1.815,4.4350000000000005,5.291285994688215
4.46,1.085,6.815,4.901619560578541
2.1,1.385,4.645,3.047104372421602
1.3,1.415,9.195,1.8616757225015117
1.5,1.405,4.295,2.230203033739879
2.02,1.795,4.855,3.902415614708648
3.8200000000000003,1.015,8.985,3.9022790819905206
3.62,1.855,6.465,7.009852631395536
4.78,1.295,5.0649999999999995,6.4029171419567374
3.98,1.745,4.155,7.652705565850532
