p_d,Ef,theta,E_n
4.54,2.62,4.38,3.8812991487024346
3.86,4.66,2.7,16.26208806174609
3.5,1.5,1.38,-0.9956143643136309
3.42,4.02,1.7,1.7714056453725906
1.06,1.58,4.54,0.2872891739781928
1.6600000000000001,2.8200000000000003,1.54,-0.1441409782568404
2.1799999999999997,3.7800000000000002,4.300000000000001,3.3027454976078228
2.42,1.3,2.58,2.66279969766483
2.54,4.78,3.2600000000000002,12.056187763158883
2.38,2.74,3.8200000000000003,5.077231431983162
4.42,2.66,3.7,9.97128169282561
2.94,3.1,2.7800000000000002,8.524639417904414
4.98,2.58,1.42,-1.9301569276133046
2.1,3.18,3.5,6.253657757727939
2.14,3.7,3.38,7.694041909398109
4.220000000000001,3.42,2.74,13.284152736876774
4.140000000000001,3.58,4.82,-1.5918479866082773
4.74,4.0600000000000005,4.78,-1.300142431350441
3.38,2.26,3.98,5.107667863854779
4.859999999999999,4.7,2.9,22.178626408346947
2.46,1.94,2.38,3.453966652320138
4.5,1.42,3.9,4.638707423838896
1.22,4.140000000000001,1.8599999999999999,1.4404329004347505
1.26,4.58,1.9,1.8656394324559054
3.8200000000000003,2.7800000000000002,1.26,-3.247653240214082
4.78,4.18,3.74,16.508482769411675
2.98,3.3,2.1,4.9646565926349995
1.8599999999999999,1.1400000000000001,2.14,1.1428138573067244
1.58,1.54,3.34,2.385464864705169
4.62,4.1,3.14,18.941975976383052
3.02,4.46,4.58,1.7779693169502593
3.7,2.3,2.54,7.015944306643162
2.8600000000000003,3.34,2.98,9.42795412874963
3.22,3.02,3.18,9.717228532463592
1.94,1.46,4.220000000000001,1.338967303786073
4.300000000000001,3.94,3.42,16.289637414257587
2.26,2.9,3.58,5.934180941649492
4.66,1.18,1.3399999999999999,-1.2578659395771576
1.1,4.26,4.1,2.6936250134548994
1.7,2.7,2.2199999999999998,2.7748949241558956
1.02,3.14,2.42,2.4045168480148025
4.7,2.42,1.46,-1.2576206756734716
3.98,4.74,1.1400000000000001,-7.878003836075215
2.5,2.02,1.74,0.8504071121428389
3.06,1.74,1.62,0.2618743413998097
1.62,3.2600000000000002,4.859999999999999,-0.7767354135237189
4.38,1.26,2.26,3.5095308402189804
2.74,3.9,4.46,2.6684861614631292
3.7800000000000002,3.06,4.0600000000000005,7.022048192267979
1.46,4.5,4.66,0.3440381758892544
2.8200000000000003,2.54,2.8200000000000003,6.795586299929409
2.34,1.06,4.98,-0.6558878262500439
4.58,1.98,1.94,3.2725396262594644
4.26,4.300000000000001,3.02,18.18275301661936
1.74,1.38,4.42,0.6921234073662192
1.1400000000000001,3.54,2.34,2.807015360273688
1.18,4.220000000000001,4.74,-0.1374743640373917
4.34,3.62,1.6600000000000001,1.3996031684053232
3.66,2.38,4.62,0.8036375194973463
3.94,3.5,2.5,11.047770458392215
3.74,4.82,2.66,15.976401913408251
3.34,3.98,2.3,8.856940406076957
1.98,3.8200000000000003,3.1,7.557058622606977
4.9399999999999995,2.1799999999999997,3.66,9.354228745140645
2.9,4.62,2.02,5.81805934129299
2.02,3.74,4.26,3.302319735986334
2.66,4.98,4.140000000000001,7.175020488089123
1.42,2.14,3.94,2.1206214900208296
1.82,4.859999999999999,3.7800000000000002,7.1031012910219
3.14,4.38,4.9,-2.565141919142569
2.06,2.8600000000000003,1.58,0.0542235955225112
2.7800000000000002,3.46,1.1,-4.363050372768344
4.82,4.9399999999999995,2.62,20.644599859001712
2.2199999999999998,4.9,1.3,-2.9098522577782613
3.1,1.02,4.9399999999999995,-0.7135078462618266
3.62,3.66,2.1799999999999997,7.5813852921381
3.58,1.22,3.54,4.0255297169578865
3.18,4.42,3.46,13.349098211259566
4.9,2.2199999999999998,1.18,-4.143700239462941
1.38,2.1,4.34,1.0544132746435355
1.54,3.38,1.22,-1.788744838724288
3.2600000000000002,1.6600000000000001,3.22,5.39497404120129
4.1,2.5,4.02,6.54337302031676
1.9,1.78,3.86,2.5461554292905926
1.3399999999999999,1.62,1.5,-0.15355631738024947
1.3,1.8599999999999999,2.06,1.136274088993342
2.7,1.82,2.46,3.8160663732826023
3.3,4.34,2.94,14.031964083236119
3.46,1.9,3.06,6.5521293914172904
4.02,1.7,4.18,3.468891421821604
2.58,2.34,4.5,1.272616400323503
4.46,1.1,3.3,4.844575751172892
1.5,2.46,1.82,0.9100732237849976
3.54,2.06,3.62,6.4736767956713575
2.3,2.94,1.98,2.6904569445674116
3.9,3.22,2.8600000000000003,12.06339162669836
1.78,4.54,1.06,-3.9506730679312954
4.0600000000000005,2.98,4.7,0.1498879615048203
2.62,1.3399999999999999,1.78,0.7291264604481181
4.18,3.86,1.02,-8.444404950255114
