kappa,T1,T2,A,d,Pwr
1.7,4.38,1.1,2.42,3.2600000000000002,-4.13923926380368
3.74,1.3,2.06,1.42,1.6600000000000001,2.4314506024096385
1.94,1.78,4.26,2.8200000000000003,1.54,8.810119480519479
3.66,4.26,1.94,4.9399999999999995,2.02,-20.765607920792075
4.78,1.7,1.6600000000000001,2.3,2.06,-0.2134757281553388
4.82,1.02,4.18,3.02,3.1,14.838136774193549
2.46,3.62,3.66,3.14,2.34,0.13204102564102577
4.38,2.94,4.74,2.02,3.54,4.49877966101695
3.38,1.82,2.46,4.9,3.7800000000000002,2.8041481481481476
2.9,2.7800000000000002,4.34,3.22,1.78,8.183865168539326
2.3,2.2199999999999998,3.58,3.38,3.18,3.324729559748428
1.78,3.74,1.58,4.74,2.42,-7.53072396694215
1.42,3.8200000000000003,4.1,3.62,1.9,0.7575326315789456
1.3,4.42,4.140000000000001,1.58,3.34,-0.1721916167664667
1.06,4.66,2.8200000000000003,2.66,4.78,-1.0853690376569036
4.98,4.7,2.98,4.42,4.58,-8.266365065502185
1.22,3.5,1.3,2.26,1.1400000000000001,-5.320912280701753
3.3,4.46,2.66,3.54,3.86,-5.4475647668393785
4.58,2.42,2.02,2.5,1.38,-3.3188405797101446
4.1,2.9,4.66,3.2600000000000002,1.62,14.521086419753086
4.62,1.1,4.5,3.74,2.26,25.99465486725664
3.5,4.5,2.7800000000000002,1.3399999999999999,3.58,-2.2532960893854743
4.859999999999999,3.02,3.54,1.7,4.300000000000001,0.9991255813953485
3.7,4.78,3.62,1.6600000000000001,3.3,-2.1590060606060613
2.42,3.34,3.46,4.859999999999999,4.859999999999999,0.29040000000000027
3.8200000000000003,3.94,3.94,4.98,4.46,0.0
2.62,2.5,4.78,1.94,1.46,7.937523287671235
2.14,4.58,4.58,3.1,3.5,0.0
4.5,4.54,2.94,2.74,3.46,-5.701734104046244
1.38,1.26,3.18,3.9,2.46,4.200585365853659
3.1,2.1799999999999997,4.42,1.1,4.02,1.9000995024875629
2.5,1.8599999999999999,1.7,3.42,1.94,-0.7051546391752573
1.6600000000000001,4.859999999999999,3.02,1.78,1.74,-3.1246160919540222
2.74,1.58,1.46,2.1,1.5,-0.46032000000000045
1.74,2.98,3.1,3.06,4.140000000000001,0.15433043478260883
3.62,2.1,4.98,2.7800000000000002,3.62,8.006400000000001
1.98,3.3,3.7800000000000002,4.02,4.26,0.8968563380281697
2.94,2.06,2.2199999999999998,1.54,3.22,0.22497391304347783
2.2199999999999998,2.58,2.58,2.38,4.74,0.0
1.54,2.8200000000000003,1.9,1.3,3.38,-0.5449230769230772
4.74,3.06,4.02,1.82,3.7,2.2383048648648636
1.3399999999999999,3.42,1.38,2.7,2.8200000000000003,-2.61727659574468
4.300000000000001,3.7800000000000002,3.86,4.46,4.42,0.3471131221719442
3.98,4.82,1.78,2.9,4.66,-7.529545064377682
4.220000000000001,1.18,3.14,4.54,1.06,35.42570566037737
4.140000000000001,3.1,1.62,2.34,2.66,-5.390093233082707
1.8599999999999999,3.22,4.220000000000001,2.1799999999999997,1.8599999999999999,2.1800000000000006
1.1400000000000001,3.7,1.5,3.94,1.18,-8.374169491525425
3.42,2.62,1.42,2.2199999999999998,3.9,-2.336123076923077
1.58,3.66,1.02,4.62,3.06,-6.29769411764706
4.7,4.18,2.42,1.98,2.7,-6.066133333333331
2.7800000000000002,1.62,4.82,2.94,1.7,15.384847058823532
1.5,1.6600000000000001,2.5,3.18,4.34,0.9232258064516128
4.26,1.46,3.34,4.18,4.62,7.246057142857142
1.26,3.9,4.46,1.74,4.38,0.28030684931506855
2.06,1.74,2.34,3.98,2.1799999999999997,2.256550458715596
3.22,2.7,3.2600000000000002,4.140000000000001,2.2199999999999998,3.3627243243243257
3.18,1.1400000000000001,1.26,2.8600000000000003,2.38,0.45856134453781483
4.42,3.98,3.42,3.46,3.94,-2.1736527918781725
3.06,2.66,2.74,1.22,2.62,0.11399083969465658
2.58,3.86,4.300000000000001,2.98,4.1,0.8250965853658553
3.86,2.26,3.38,2.54,3.42,3.210797660818714
2.8600000000000003,4.9399999999999995,2.8600000000000003,1.46,1.1,-7.895679999999998
3.9,1.5,2.54,4.7,1.26,15.12952380952381
2.1799999999999997,4.74,1.8599999999999999,1.38,1.3,-6.664763076923076
3.7800000000000002,4.62,4.0600000000000005,2.06,2.3,-1.8959165217391294
2.34,3.58,3.74,1.02,1.98,0.19287272727272742
2.38,2.46,2.62,1.26,3.02,0.15887682119205312
3.14,4.98,4.9,3.86,3.8200000000000003,-0.2538303664921468
2.98,3.2600000000000002,2.14,3.66,1.3399999999999999,-9.116131343283584
1.18,1.22,1.74,4.78,2.7800000000000002,1.0550388489208633
1.62,2.74,3.5,2.46,4.18,0.724581818181818
2.54,1.06,3.7,2.14,1.02,14.068611764705883
2.26,4.220000000000001,1.82,4.1,4.0600000000000005,-5.477438423645319
2.8200000000000003,4.1,1.06,2.62,1.82,-12.341063736263735
3.94,1.3399999999999999,3.22,1.18,4.220000000000001,2.0712075829383885
3.34,2.54,4.7,4.82,4.82,7.2144
2.1,3.54,2.38,4.26,2.94,-3.5297142857142862
1.02,1.42,3.3,1.8599999999999999,4.7,0.7588799999999999
1.9,1.94,4.54,4.34,2.5,8.57584
3.58,3.18,1.18,1.06,4.5,-1.686577777777778
4.46,1.38,2.9,1.9,4.9399999999999995,2.607384615384616
4.54,4.9,4.859999999999999,1.62,4.9,-0.06003918367347078
4.18,4.140000000000001,1.22,1.5,1.58,-11.587594936708863
1.82,1.98,1.98,4.38,2.54,0.0
4.0600000000000005,2.3,3.9,3.8200000000000003,1.42,17.47515492957747
1.1,2.8600000000000003,2.1799999999999997,3.7800000000000002,2.14,-1.3212336448598145
4.9399999999999995,2.34,3.06,3.5,2.9,4.292689655172414
3.02,3.46,2.1,4.58,4.98,-3.7773044176706825
3.54,4.34,4.38,3.7,2.1,0.2494857142857145
1.46,3.38,3.8200000000000003,3.34,2.98,0.7200053691275173
2.7,1.54,3.98,4.5,3.74,7.9267379679144385
4.9,2.38,1.1400000000000001,3.3,2.74,-7.317810218978101
