q,epsilon,r,v,c,Volt
3.254909893984198,1.6819811664891682,4.217073474905355,1.7171132157133548,7.8486715105053495,0.046743594017467305
4.608396293669284,1.5864633512806452,2.8342561313154446,1.1544960713505923,3.4135837883956146,0.12323903498289855
4.977170422181187,3.301520104642542,2.8742543907609903,1.7038977192769584,9.237207233448586,0.05117859670480078
4.887258162447535,3.630344982137468,1.0179764539284857,1.7956406344897098,5.428814789892481,0.15724925489133054
1.4680965882645332,1.484816245784979,2.298102603257496,1.3800053072612541,4.771314184676892,0.048169629787371784
2.224421891561959,2.828969828083925,2.84088232811029,1.657309491261859,7.426089168330486,0.028353190954057507
2.505849680605507,2.1547669173411954,2.607886478379218,1.987457167427458,9.780278007790644,0.04453615068504733
4.276709174085776,1.3864992592654182,1.1020667924686744,1.1933435272930484,4.9114564715071785,0.29421175270121114
2.4480159285142538,3.778074074467499,1.7782241887884602,1.1672400204027638,7.466988881535442,0.03436921881376665
3.5662050276856077,1.7055374846409943,2.22485561548503,1.3149811391650577,5.8703262234746925,0.09637719832414604
4.26908363739652,3.460265490163692,1.6023049098444968,1.1527742856990018,7.623118866785999,0.0721897430956228
4.60740278613673,4.886046473563822,1.459282276194791,1.8584107681000104,6.85816897900777,0.07053563730010755
1.2974664161729077,1.3226253798393377,2.787637974165544,1.6523060649434922,9.84958639847179,0.033648154058535364
1.8358270250784328,2.6679413976331356,3.666611672689756,1.3374878521120943,8.982723355811556,0.01754679688898256
2.895774613861928,1.1106088939145606,1.9055254075695085,1.8775847475098388,3.074672965786348,0.2796737942377792
4.87426376404054,4.726577183318819,1.6989600318743037,1.3738307352620025,8.096712666462464,0.05817313777705315
3.897322485900898,4.642360004332293,3.6407921898331486,1.745100217857962,5.7363526084070715,0.026372325043081474
4.939935848730693,3.376616786909848,1.2109332913178863,1.2797323239170846,8.961877937652858,0.11215688536895084
2.1269217738034283,2.1426256260704277,3.1711356023398234,1.970390722487716,6.989194031772993,0.034690252952819314
2.242121324234749,1.1060406307551842,4.947364370918847,1.4140140081763657,7.235071516955623,0.04052706988463658
4.407165099551103,3.549480253508394,3.4087943318892813,1.2683238209630256,9.154905825009855,0.03364720160776731
1.0452682814192236,1.790759829122026,1.9227899160203237,1.078620857272102,8.551799139530049,0.02764399955570602
1.7724584144166466,1.1033896649764956,4.066399116245972,1.1928108352879132,4.934541918813874,0.04145735088381646
2.6428114913599017,1.3397051469161452,3.9501486269131374,1.5457979008471259,4.3761787334760704,0.06144461634413807
1.312199704441503,1.6711195916435084,1.3230290787906216,1.798187804497512,9.833040571488107,0.05779936394460086
1.2841647676222667,1.707846736507208,2.541631743216496,1.164578542121113,3.0189849000538667,0.03832705055428489
1.0342649604078928,4.191147424036251,3.56886864232652,1.2597908989003022,9.864757117494133,0.006308057942437884
2.2147285776270036,4.850666803321059,2.7172134091131523,1.9376990216599648,7.784420826901896,0.01780325157245921
1.162946495464615,4.346723738954428,3.244537264543121,1.4351366362075977,6.989996817448442,0.008257316110144899
3.522372643244128,3.646430289787223,3.1884615672503047,1.1946512521943191,5.278299180225792,0.031161764717233763
2.565307232153613,2.6458902069285157,1.2573835412964702,1.7660659636880198,7.498994915279701,0.08026319266847692
2.8235343610447035,4.429596916454544,2.5954196311042383,1.6715206585477524,5.620490723736408,0.02781645705083291
1.2150163695779599,2.4758882010747705,3.4791128923860857,1.5167347107758076,6.246149851216668,0.014824418795506243
4.498573540692607,4.1394986193033585,1.7250896910061546,1.1026936148914186,8.32032725768887,0.05778978954746351
2.775878150943713,1.5931032787596413,1.5695265779641043,1.1798101131571204,8.406380809267443,0.10276724942848628
1.1380989964676391,1.8687350318008296,2.1051809985599834,1.011453660410598,7.095606997365423,0.026848647334016672
3.560149056872482,4.589670134113384,3.3515458908581883,1.7148108086199785,7.570536203929144,0.02381099875000252
1.630986162542488,3.2617921029331542,4.833501273166196,1.982929836354089,8.127620701634541,0.01088894206836174
4.0129230985970405,2.2388832701548766,4.621498496633102,1.9767470107474991,4.581516066030821,0.054284606747431116
1.2044042226758385,3.1128417787499716,3.996828440260831,1.7614212369026692,5.428136256890097,0.01140416349673761
1.4717564232274185,1.0856523370259583,4.927578505701198,1.2621652660104672,5.662741566636785,0.028172081660142314
1.205561140036898,4.440173250811128,4.1612826552318785,1.8733668516846704,5.4292221985795095,0.00792767385190077
4.1969920289608575,1.549599414933314,1.041169824989407,1.3494959312608343,7.273362343581974,0.2541658694626219
3.6002286652405333,4.9684659892699345,2.2130873203351134,1.9395112120704008,3.2557628111883883,0.06444855678983355
1.4724100556124309,1.6139361338353084,1.992508341868045,1.8983371320873592,4.727344808237269,0.06088573766072197
3.8959796101785664,4.1626351904979595,4.366621159824997,1.2982534151998766,5.827144574650668,0.02194607477638649
1.2135949838784494,3.4630957396831987,4.694672001637425,1.6486271823979342,9.69332356531458,0.007157431615478153
4.369085974961359,1.76241163186176,4.852707119553328,1.961435277804384,9.5172375475,0.051205854845153984
3.473836852624862,4.237698468479418,1.0643388076954792,1.4072673854666895,4.614660147771671,0.08818143919593771
3.047361529843148,3.1330591344398453,3.5981997780973987,1.786680929587157,6.0033114893039174,0.03062566855894103
2.122175494554361,4.442494028851431,4.635563209438022,1.2473466113057787,8.719345592564792,0.009569498053981796
2.2199115721374514,2.741090602408069,2.9303479125900007,1.2197629502336322,9.150178449161881,0.025375631344056536
2.909005490781281,1.80274048612236,2.859444736077576,1.0930504850464298,4.0835064970293455,0.06132189816656972
1.1751413112161535,2.138684637916627,3.1199457521405134,1.7036426302872714,9.852804441353086,0.01694467949841844
4.184778496651348,2.3567364758412617,2.2425060582718963,1.4229881238549689,3.8156470763791632,0.10048595449105392
3.056242462958336,2.4773899038657654,3.9697445598555583,1.5303379473377017,6.046763503730039,0.033109234726873465
1.4691663931529315,1.231455862853426,1.8650139607374805,1.4605818640729389,9.252526035623436,0.06044698825080951
1.3346470036904048,1.202233903235085,4.522362207150676,1.0661715198886383,5.246932057071739,0.024516156506856783
2.4220535031378643,3.0343550178254164,3.3802654432514463,1.1905554285313258,7.881907190761647,0.022134724798911484
1.9528716020643988,4.2271121196785435,4.736324639817647,1.1630443214345378,5.214043354309585,0.009990589045140521
1.2380983361391635,3.1063948753634905,3.865377745632411,1.4501637019210196,3.144137422057259,0.01522970615542525
3.605264709822975,4.290177013108576,4.19174667889619,1.507614250554967,6.862312153820963,0.02044525578067711
3.842637592816731,3.159190623216611,2.6936457637432456,1.7413193809710708,3.4183981821113085,0.07324406326182324
4.773186580125271,2.4968568088634053,1.8407229202497448,1.734466540123488,3.18759454472546,0.18129076946032366
2.234718966771516,4.129077026959017,2.2126808541445997,1.6343668380532932,8.309132192119622,0.0242304206453215
4.717422175925414,3.0229938950499267,3.7356988567883462,1.2578947929974025,6.115001306283015,0.04185088800236679
1.0452098982056293,3.6871039695532786,1.3615611830046528,1.0099919695262494,5.486477157091309,0.020306147094057186
2.804808829893977,4.967189486228315,3.2072869357109934,1.0413284704953738,9.675760360140188,0.01569987500220685
1.3193880639015871,1.4061479237816137,3.5436270647946504,1.9589874417794395,3.5341661750306783,0.04727600753360536
1.250095123225952,3.2368890380548367,2.2647511768610094,1.9641680382500577,8.393651090163264,0.017715758344321462
1.2518873249653129,1.8247009176568991,2.2921123915621004,1.9725290689672024,6.616912180498091,0.03393556719974797
4.346483280572482,4.0184325538207055,4.688650783427312,1.6691984754139706,7.932679420550342,0.0232502550810274
4.926246757024923,3.4481560764846138,1.7871667324092946,1.7686739911215783,3.4044664025205518,0.13239609458427512
2.6243605080317884,4.172485364266334,4.5226702893698905,1.7336376721593951,6.244659499937242,0.015319962911265859
3.264998297207392,3.5620779477961118,2.2020755991381264,1.9415907270313144,4.721862705496855,0.05625531027566835
4.33117038424163,3.842734281799215,2.6145797865861367,1.1400533826490884,3.8360738665898233,0.04881091223613688
2.1173515427058773,2.0459589757871632,4.278772183322697,1.9706728716767223,7.437356561361627,0.02618554864916704
3.9518387981680827,4.405364011991254,1.0445834267327307,1.3688523985266228,9.977101119594268,0.0792052543798067
2.5891877665761185,4.814398923468623,1.9738986796616111,1.1514766082861054,6.478661673521327,0.026367822661848887
3.0463600009188863,2.8208502496150256,2.370441645626794,1.7459247646204177,4.577692410552532,0.058607210735390124
4.74526791425901,1.5049222895639198,1.5176812619166251,1.3340864789803162,5.499927000588803,0.21827827437160605
4.225735863290092,2.7744082063083924,2.854821159800259,1.0397410603757868,3.7762591764640048,0.05858773140268594
4.092835486085853,2.875187543869332,1.8160254113593863,1.1894228106572695,4.133027962623077,0.08758205153201111
2.183493283506233,2.068254339664697,3.417153628520022,1.0915379986036402,5.037328758390009,0.03138627619324068
3.912237293434714,3.5999888426942377,1.097593873298639,1.753478392521849,4.327708537492351,0.1324595051401287
2.3149383456796198,3.338060818451118,1.1368808093715166,1.455933791578938,7.273790339089756,0.06069014208781325
2.519050433274493,1.9657141459626049,2.718545760220886,1.6332930314807796,3.6653490558444686,0.06766275077526647
4.499752414903974,2.980352743755932,2.4689308891598007,1.1219982200884326,4.264546485780696,0.0660378687818998
2.852793043852728,1.1897426953283086,4.205977113807732,1.560371826518665,3.3213662001906235,0.08556560865086006
4.181807277916128,1.576283188222528,2.665056763200892,1.6999545574390231,5.721816252704568,0.11269904036661454
3.2782462678602973,2.4586179497484,3.3140535936605247,1.1957997787219123,6.004910006889767,0.039978169754297785
3.511009851562384,2.1813372010887115,1.765167487284939,1.0371599849578603,8.142218599063543,0.08315503513664853
1.3263542765815552,3.1888585864044647,1.2442643936933893,1.4273491538913883,5.282477011723536,0.03645025523565865
1.5852271806934657,3.78175388378247,4.8233186219192286,1.8673967354046723,7.91464404533165,0.009051406935635723
3.4775179780714818,2.6055827162565985,2.3612128392044798,1.8945422638226697,5.909607509362732,0.06620420120689945
4.301660891097729,1.633732031320409,1.5982965733749368,1.4816980935568391,5.408477027772873,0.18056212265321894
3.0987786561480397,2.6723174175221134,3.3324872971278605,1.5775522969234683,3.519297910437296,0.050186608256520715
3.3363092761085915,2.0253186695664507,4.027809939141035,1.4390079057745455,5.210440517784509,0.04496371576893001
3.0254221916314354,3.603894009603404,4.5841663094785865,1.7159998149278048,9.743139139674284,0.017688127205585148
3.892489382002726,4.822357438176511,1.7145943574291682,1.9330919549348808,6.092609292365276,0.05487280668601143
