q,epsilon,r,v,c,Volt
4.140000000000001,3.18,3.94,1.955,4.365,0.0476249289478525
1.06,3.46,4.9399999999999995,1.095,9.335,0.005590878625712283
3.7800000000000002,1.58,2.3,1.255,5.555,0.10693321407473697
2.74,2.94,4.7,1.185,6.745,0.019142677063934473
1.18,2.38,2.9,1.815,7.305,0.018102771271886933
2.06,1.8599999999999999,2.02,1.025,9.125,0.04915196637714687
3.02,4.220000000000001,1.7,1.8050000000000002,6.1850000000000005,0.04730437404494963
2.7,2.3,4.220000000000001,1.135,6.324999999999999,0.026977815806402284
2.34,2.14,4.58,1.455,4.855,0.027129204496929772
4.78,2.02,1.82,1.595,8.844999999999999,0.12622782696859658
1.82,3.06,4.42,1.635,6.115,0.014616260527906032
3.98,1.06,4.46,1.875,8.145,0.08702740460924027
3.38,2.9,3.38,1.085,7.165,0.03233737429824836
2.62,1.82,1.9,1.975,4.4350000000000005,0.10869885150522271
3.8200000000000003,4.0600000000000005,1.18,1.435,6.815,0.08037649104700985
2.46,2.26,3.66,1.245,3.315,0.03790084614710113
1.1400000000000001,2.58,2.62,1.885,8.004999999999999,0.017554315684622412
3.62,2.7800000000000002,1.98,1.855,3.5949999999999998,0.10812804896644947
2.8200000000000003,3.3,3.42,1.545,8.635000000000002,0.02421671914720296
4.54,3.22,4.38,1.565,5.625,0.035490531216161525
4.9,1.9,1.26,1.465,5.484999999999999,0.22223509790278584
1.46,1.54,1.6600000000000001,1.075,8.565000000000001,0.051970839538772746
1.42,3.74,3.02,1.5550000000000002,3.9450000000000003,0.01651387685840117
1.54,3.58,1.22,1.745,7.795,0.03615170166186243
3.42,2.62,3.9,1.945,4.995,0.043620033713320745
4.859999999999999,4.42,1.94,1.7850000000000001,5.975,0.06431707606467554
3.58,4.859999999999999,4.0600000000000005,1.625,3.8049999999999997,0.025200492435357373
4.38,2.74,2.74,1.425,4.085,0.07129737575905834
2.3,2.7,2.06,1.295,3.875,0.049424124886289486
3.22,4.74,2.5,1.645,6.535,0.028897773989799435
4.98,1.3399999999999999,2.34,1.405,4.715,0.18003316904987554
1.8599999999999999,4.5,1.02,1.5350000000000001,9.405000000000001,0.03853669468167986
2.7800000000000002,2.1799999999999997,2.8200000000000003,1.115,9.265,0.04090883811144637
3.18,2.34,4.140000000000001,1.385,5.135,0.035769283238098006
1.5,2.1,3.62,1.725,6.675000000000001,0.021173838725423163
3.14,1.74,1.38,1.445,8.495000000000001,0.12539081223324933
3.3,4.46,3.5,1.015,7.7250000000000005,0.019367659477188198
4.42,3.1,4.18,1.905,9.055,0.034376118880370024
4.82,2.2199999999999998,3.2600000000000002,1.2650000000000001,9.475000000000001,0.06116495509376372
3.74,3.7800000000000002,3.74,1.7149999999999999,3.035,0.04840420597682202
4.5,4.34,4.34,1.175,8.775,0.02195112200518537
1.22,1.98,3.34,1.105,5.275,0.01857054795771244
2.14,2.8600000000000003,4.78,1.915,4.575,0.02142493146499505
4.02,3.9,3.86,1.925,5.905,0.03152834014140151
2.58,2.66,1.1400000000000001,1.305,6.395,0.08506406259572422
3.94,3.5,4.02,1.935,7.585,0.029915715724833376
4.74,4.66,2.8600000000000003,1.215,7.445,0.03382152479610868
1.9,1.42,3.14,1.845,3.5250000000000004,0.07115011134735488
2.1,2.8200000000000003,3.7,1.895,8.075,0.020927273696032447
4.66,3.62,3.46,1.145,7.0249999999999995,0.03537206267354016
3.54,3.42,4.66,1.045,4.645,0.022806812535582047
1.02,4.38,3.58,1.225,8.915,0.00600106289259929
1.3,1.7,1.5,1.055,7.865,0.046853811167057786
4.220000000000001,2.06,1.06,1.665,6.255000000000001,0.2095772463328322
3.5,1.18,2.98,1.9649999999999999,8.215,0.10410880448753773
3.7,2.42,2.14,1.415,5.765000000000001,0.07534818152569124
2.26,4.140000000000001,2.66,1.5150000000000001,7.095,0.020765136879225474
1.3399999999999999,1.78,2.26,1.275,9.754999999999999,0.03049284276578585
4.58,1.6600000000000001,1.1,1.005,3.665,0.27500917493531485
2.9,3.38,2.38,1.2349999999999999,4.015000000000001,0.04143193629427011
4.18,2.46,4.5,1.345,9.965,0.03473672208843366
3.1,4.9,4.98,1.865,5.695,0.015032159023560891
1.78,1.1400000000000001,3.54,1.395,8.355,0.042134635333327175
4.26,4.18,2.46,1.525,5.205,0.046629553980543324
2.66,4.7,4.82,1.835,9.545,0.011567737666346091
1.74,2.54,2.7800000000000002,1.605,3.175,0.03965563868680662
2.98,4.300000000000001,1.54,1.155,3.245,0.055601388701173586
1.38,3.14,4.26,1.125,8.285,0.009499690706694925
4.300000000000001,2.5,4.300000000000001,1.355,4.295,0.04650139323671364
2.94,4.98,3.3,1.2850000000000001,3.455,0.022666397547241687
3.34,2.98,3.7800000000000002,1.365,7.375,0.028954501452864764
1.1,1.26,3.98,1.685,9.195,0.021371795037992143
3.2600000000000002,1.22,4.9,1.205,4.925000000000001,0.05745331872807655
