omega,c,d,k
4.084656721536259,1.855508722765915,3.401098355420172,1.9981988147163332
5.111861945551546,1.9863832301433564,3.437794875442292,2.405733306759356
4.408423445190159,1.9334303744343688,3.8801890369531153,2.131512317384649
4.796052680007162,1.7200068427873116,2.937101574909096,2.575079337158054
5.814923563008286,1.8584702724327429,2.245819637543749,2.798758794538921
4.516916550166507,1.7654903780982214,2.756399441196242,2.2905547158968886
4.552547480090583,1.80683996186772,2.5887371342696013,2.208108972527528
4.921376719016647,1.048322984685338,2.9757170100181223,4.574271081402784
5.567858964907208,1.7992873438664805,3.0070414807839065,2.9127846644620012
5.5378042774010074,1.0468073841800285,3.198099198969205,5.198180281504609
5.552314538361586,1.4341517712492282,3.915332328248226,3.7874362502807277
5.187488561998563,1.4810814830264207,2.5947889971991662,3.2865846643542
4.337201908957187,1.6419428991770464,3.8114712742765726,2.509615698525224
5.092483670914535,1.4501752402157808,3.493557637724405,3.394541540003045
4.574319085997227,1.617713670315165,3.0566749899271852,2.634243581937845
4.341160068138448,1.189615929957308,2.103544346548726,3.3296056978509587
4.340109086933207,1.5055671565341369,3.4840821507696003,2.7380539345148853
5.197221333221165,1.000652160037018,2.2765290397004665,5.007148291144036
4.6679053701562365,1.077574569550752,2.56360590801288,4.154911336219026
5.9279669853608485,1.7744674040836386,2.05411013995286,2.970045733484978
4.5889056598549836,1.2333448874235469,3.2141049208742283,3.5900162660625625
5.078691261796347,1.9998429356898435,3.7879413317514192,2.4002999632015802
5.453026773608763,1.0126658333189271,2.849632909260156,5.270760533004265
5.729903028493,1.8306687123403704,3.054379397734074,2.9561241144950365
5.313422952241985,1.9875574408038013,2.9339980960867846,2.4495402345432207
5.3591563396546285,1.9169080837781105,2.10716200976382,2.3650127080087717
4.634455444035139,1.5054747502286103,3.2364510392266457,2.9213548836325662
5.794455636742418,1.8331657581490584,3.09594159365772,2.993591045112878
5.032142251663876,1.2125218180719624,2.944027526833939,4.0106099379121565
5.803923849847669,1.652935201531684,3.4168593212556617,3.388767217392091
5.618210468113415,1.7062340500925135,2.6486247191055146,3.0717012641524133
5.495242309294539,1.479366801066333,3.704546180728718,3.6164924809879495
4.4847544817408895,1.4660355359776582,2.0717111460978384,2.656797401551981
4.643512957161075,1.7796133460997718,2.998661449785245,2.3897176121050423
4.164141170471364,1.668947180120613,3.4907645689216467,2.3271069818437757
4.261821832847577,1.6349408715630784,3.773525516240383,2.4701899814093227
5.9710046273321815,1.3874817804028274,3.997388645862917,4.231112356185812
5.918698658164806,1.2037722015423764,2.1042940735778792,4.684652792744639
