g_,q,B,m,omega
1.6373477166779256,4.990291516931409,3.7578232487256766,4.1802675114730325,3.6725618069063364
2.1112501714286527,4.667640990121448,2.7510678843706198,3.179604062691076,4.263197092359944
1.4799383079035695,3.9799465643076033,1.5336283265074413,2.4332940175192124,1.8561641932744528
1.1748030974032155,2.894777116531892,1.7972651062041556,2.3036387442118724,1.326624417212415
3.6080899820949797,3.7200293676437206,1.5767970693554303,2.403941263233324,4.4019558720235406
3.722768141628417,1.2043522119956958,4.908798458560586,2.5217783158488514,4.3637293151780385
2.388965467338162,3.066539711109458,1.8744190160753664,4.5288482718381164,1.5160285501092436
3.291886356142009,2.538263155842761,3.1352075213421347,3.7901990605688924,3.4558569464234785
1.0766431825872238,4.912206525645331,2.4611931821819084,1.7132453257824665,3.798783688685677
4.7119074386748165,4.346867399124252,2.864364472115851,4.776915275133243,6.140784925162289
1.5542503999510648,1.2042861714002524,3.7314573955548176,1.01652591488721,3.4354269963866964
3.85905820253218,1.675218076080781,2.5394682180586328,3.1316818628634264,2.6211255772854405
4.105790481847069,4.446536589357557,2.728816291195351,4.33084431000614,5.751622658485182
2.713077356281941,4.200100218132131,2.454691179711793,1.3207046918035041,10.589683386317887
1.6272112008779118,4.30220425116048,1.146354429346105,2.8561787425571863,1.404877591303337
3.338952650710832,2.5131479421822376,2.183959987881037,1.557930404073474,5.881592672679871
3.870992258900252,1.898387314879761,1.5518040325571354,2.6220707375441044,2.1745510252019957
1.5175752012028232,3.85686183239948,4.977424584731741,3.0561759908471284,4.766291892267292
3.6566656311361236,4.320341446810496,1.6792712423557283,2.211833398542639,5.997106547915273
1.9170180173404263,4.114457384514519,4.7865478570851945,4.852957977009021,3.889776446793944
3.851059309881668,2.023622461367575,4.9210063708211775,4.570808872539937,4.1950831019221875
1.7533018389643074,2.5576837906558194,2.9134966770088235,3.2332544486970662,2.0204503705405497
3.5673654240505965,3.976491418264816,4.7777109820624215,2.800610380515085,12.09998502419816
2.4468148077718217,1.5924865729130817,4.785812780124504,2.161493372743367,4.3136875056794715
