g_,h,Jz,mom,B,E_n
1.42,3.14,3.42,2.26,2.42,53.14818962711908
4.54,3.74,3.94,2.58,1.74,134.90538791811963
2.7,3.62,1.22,4.74,2.54,68.83462502577568
2.2199999999999998,3.7800000000000002,4.46,1.46,1.46,35.081779395005974
1.5,3.7,3.22,4.66,2.7800000000000002,106.25661771737407
3.7800000000000002,2.94,3.86,1.42,2.9,128.40974535415754
2.62,3.38,2.7,3.22,2.98,126.18285786156552
3.7,1.54,4.300000000000001,3.54,1.98,454.98573380543706
3.8200000000000003,3.86,3.5,2.06,1.54,69.0417692761136
3.42,2.34,3.62,2.54,3.54,298.90671122867036
3.1,4.300000000000001,3.3,3.18,2.3,109.33066822199035
2.02,3.66,2.7800000000000002,4.5,4.66,202.15913878924084
2.74,2.98,4.78,3.98,4.18,459.41102957913563
1.1400000000000001,1.02,3.54,4.46,3.06,339.2689347312497
3.58,2.7,3.1,1.74,3.18,142.90163341141934
1.62,4.42,1.38,4.0600000000000005,3.9,50.32019791348815
3.06,3.06,1.62,4.859999999999999,3.2600000000000002,161.26820506718542
2.8600000000000003,2.54,2.42,3.1,4.5,238.83708305721117
2.1,2.62,2.9,1.1,2.14,34.37971943426854
2.58,1.42,1.1400000000000001,3.3,4.26,182.95303579221834
4.300000000000001,3.9,1.98,2.9,3.86,153.54448063113605
2.98,1.1,4.66,3.46,1.94,532.435731033493
2.38,3.5,2.58,3.42,3.74,140.99580625053628
4.62,2.46,1.82,2.14,4.46,204.97776661357798
1.9,1.9,4.98,3.5,4.7,514.7248235494588
1.18,4.54,4.859999999999999,1.1400000000000001,4.38,39.629742815548475
3.38,4.9,2.8600000000000003,3.02,4.42,165.4610340180017
3.5,2.1,3.14,1.5,1.26,62.146985873313284
2.5,3.18,2.46,3.86,3.94,184.8040100214203
2.06,1.8599999999999999,1.94,3.8200000000000003,1.02,52.60165507093923
2.7800000000000002,1.74,4.9,2.7800000000000002,2.62,358.2758897890519
4.66,2.8600000000000003,2.1799999999999997,1.94,4.82,208.69162160839306
1.3399999999999999,2.06,1.8599999999999999,4.9399999999999995,2.34,87.87659017704785
1.82,4.140000000000001,3.34,2.8200000000000003,4.78,124.35818845016432
1.98,3.1,4.9399999999999995,4.38,1.3,112.882800828637
4.98,4.859999999999999,1.46,1.26,3.34,39.5587727274481
3.18,4.02,3.66,3.62,2.8600000000000003,188.33742325734545
1.22,2.38,1.9,1.22,1.1,8.212376635891067
3.3,4.46,1.7,2.42,1.6600000000000001,31.749093141204096
1.6600000000000001,1.5,2.26,3.58,2.1799999999999997,122.64353411921968
3.34,2.5,4.220000000000001,4.78,2.58,436.8641228306319
4.220000000000001,4.82,3.74,4.98,4.54,465.1596969419272
4.26,2.66,4.0600000000000005,4.18,2.2199999999999998,379.10814975543497
4.34,4.1,4.7,2.74,4.34,371.72681567899525
2.46,4.26,2.34,4.9,1.22,50.75480276986901
4.1,2.58,1.78,3.7800000000000002,2.5,167.9561186873946
2.26,1.06,2.14,2.34,3.62,242.84023447388196
2.14,3.2600000000000002,2.1,1.82,2.74,43.19338965440343
4.42,2.2199999999999998,2.06,3.66,4.140000000000001,390.47911481715084
4.58,1.98,1.54,2.3,1.82,93.69148034323013
3.74,1.3399999999999999,4.02,1.18,3.58,297.80895949070674
1.8599999999999999,1.1400000000000001,4.18,3.34,3.8200000000000003,546.7314700351965
2.8200000000000003,2.26,2.62,4.58,1.5,141.1167500189806
3.46,1.7,4.42,3.06,1.7,294.03542919166205
2.3,4.62,2.66,1.06,1.06,9.348869466276458
4.46,2.1799999999999997,3.46,4.1,4.02,733.0679662984144
4.140000000000001,4.66,4.26,2.62,3.66,228.026997396096
4.74,4.9399999999999995,2.3,4.82,3.14,209.86295487153478
3.22,3.22,2.94,4.26,2.38,187.2896400257512
1.74,1.22,4.82,2.5,2.8200000000000003,304.5127218577778
2.1799999999999997,4.5,4.1,4.34,2.94,159.2372852160394
1.78,3.3,4.34,1.54,1.42,32.16508663747573
