q,v,r,mom
2.06,1.78,2.8200000000000003,5.170188000000001
2.5,2.9,2.54,9.2075
1.02,1.1,4.7,2.6367000000000003
1.26,1.1400000000000001,4.42,3.1744440000000003
2.46,2.74,4.98,16.783596000000003
1.22,1.82,4.0600000000000005,4.507412
4.9,4.7,3.1,35.6965
3.58,4.9399999999999995,4.02,35.54725199999999
3.7,2.3,1.82,7.7441
2.8600000000000003,2.38,1.18,4.016012
4.98,3.5,1.78,15.5127
4.02,1.18,2.38,5.6448839999999985
4.300000000000001,1.26,2.46,6.6641400000000015
4.82,1.58,4.26,16.221228
1.94,4.62,2.9,12.99606
1.62,2.06,4.74,7.9091640000000005
1.82,2.34,1.46,3.108924
1.54,1.22,2.02,1.897588
2.62,4.26,1.74,9.710244
3.7800000000000002,1.46,1.42,3.9183480000000004
1.58,1.38,4.46,4.862292
4.1,4.220000000000001,2.34,20.24334
1.38,4.78,3.7800000000000002,12.467196000000001
4.58,4.82,4.859999999999999,53.643708
3.54,4.46,1.02,8.052083999999999
1.98,2.98,4.58,13.511916000000001
3.14,2.46,3.14,12.127308000000001
2.94,2.14,3.42,10.758636
1.6600000000000001,3.98,1.1400000000000001,3.765876000000001
4.46,1.98,4.220000000000001,18.632988000000005
2.2199999999999998,1.6600000000000001,1.3399999999999999,2.4690839999999996
3.74,2.1,1.3,5.105100000000001
3.62,2.62,2.06,9.768932000000001
2.1,3.62,4.9,18.624900000000004
4.74,1.54,4.62,16.862076000000002
4.66,3.46,1.1,8.867980000000001
1.46,1.9,3.38,4.68806
2.54,2.42,3.8200000000000003,11.740388000000001
4.38,2.26,1.26,6.236244
2.02,1.3399999999999999,1.8599999999999999,2.517324
3.02,3.38,2.8600000000000003,14.596868
4.42,2.2199999999999998,2.2199999999999998,10.891763999999997
3.86,3.54,2.3,15.71406
3.38,3.3,3.06,17.06562
1.1,1.3,3.46,2.4739000000000004
4.140000000000001,3.02,3.5,21.879900000000003
1.5,3.74,1.38,3.8709
2.66,2.8200000000000003,1.9,7.12614
3.34,2.5,3.66,15.2805
1.74,2.66,1.62,3.7490040000000002
2.8200000000000003,2.8600000000000003,4.18,16.856268000000004
1.06,4.140000000000001,1.7,3.7301400000000005
3.3,4.38,3.86,27.896219999999996
3.18,2.7,4.5,19.3185
3.1,3.9,3.7,22.366500000000002
4.62,2.58,4.66,27.772668000000003
2.7,3.1,3.54,14.814900000000002
1.8599999999999999,3.66,2.58,8.781804
4.220000000000001,3.18,3.2600000000000002,21.873948000000006
3.98,2.02,2.74,11.014252
1.9,3.7,4.9399999999999995,17.3641
2.38,4.58,1.94,10.573388
3.2600000000000002,3.06,2.5,12.4695
4.54,1.7,4.38,16.90242
2.26,4.5,3.9,19.831499999999995
2.42,3.2600000000000002,1.98,7.810308000000001
3.46,1.5,3.74,9.7053
4.18,1.06,3.18,7.044972
2.14,3.42,4.140000000000001,15.149916000000003
1.78,2.7800000000000002,1.54,3.810268
3.06,3.94,3.98,23.992236
4.859999999999999,4.1,3.34,33.27641999999999
1.3,4.0600000000000005,3.58,9.44762
1.42,3.58,3.62,9.201316
3.22,4.54,2.14,15.642116000000001
3.66,3.7800000000000002,3.02,20.890548000000003
1.1400000000000001,1.42,1.22,0.987468
3.9,4.02,4.78,37.47042
3.5,3.22,4.34,24.455900000000003
2.1799999999999997,1.74,1.58,2.996628
2.58,4.66,1.5,9.0171
4.7,4.98,3.22,37.68366
4.34,1.94,4.82,20.291235999999998
2.34,3.14,1.6600000000000001,6.098508000000001
2.74,2.94,3.3,13.291739999999999
2.3,1.02,4.1,4.809299999999999
4.5,4.859999999999999,3.94,43.08389999999999
3.42,3.8200000000000003,2.1799999999999997,14.240196
4.0600000000000005,4.9,2.42,24.071740000000005
4.9399999999999995,4.34,2.1,22.51158
3.8200000000000003,4.74,2.98,26.979132000000003
2.9,1.62,2.62,6.154380000000001
1.3399999999999999,3.34,2.26,5.057427999999999
3.94,2.1799999999999997,2.94,12.626123999999997
1.7,1.8599999999999999,4.300000000000001,6.798300000000001
1.18,4.300000000000001,4.54,11.517980000000001
2.7800000000000002,2.54,1.06,3.7424360000000005
4.26,4.18,2.66,23.683044
4.78,3.86,2.7800000000000002,25.646612000000005
2.98,4.42,2.7,17.781660000000002
