mom,B,chi,E_n
3.94,4.82,1.5,47.477000000000004
2.02,2.7800000000000002,1.06,11.568136
4.0600000000000005,4.140000000000001,4.98,100.51423200000004
1.82,2.7,3.7800000000000002,23.488920000000004
3.8200000000000003,2.02,4.78,44.600792000000006
4.82,1.7,4.34,43.75596
3.38,4.02,2.98,54.07864799999999
2.94,4.26,1.82,35.318808000000004
4.5,4.62,3.34,90.22860000000001
2.06,3.94,1.1,17.04444
4.98,2.3,2.8200000000000003,43.75428
2.74,1.94,1.46,13.076376
1.02,3.18,3.94,16.023384
1.1,1.3399999999999999,3.22,6.220280000000001
1.62,1.46,2.1,7.33212
3.34,3.3,1.02,22.264439999999997
1.46,4.58,3.38,29.288184
1.22,2.14,2.26,8.511208
2.1799999999999997,4.9,2.7,39.523399999999995
1.94,2.94,1.3399999999999999,13.346423999999997
4.62,4.78,2.3,72.87588
3.46,2.5,2.94,34.081
2.3,1.22,3.66,13.07596
3.2600000000000002,2.54,4.9,48.85436000000001
3.22,4.220000000000001,1.54,34.51453600000001
4.66,1.74,1.1400000000000001,17.351976
1.42,3.22,1.74,12.528376000000002
2.58,2.06,4.859999999999999,31.144727999999997
1.7,4.0600000000000005,2.5,24.157000000000004
4.300000000000001,1.02,1.94,12.894840000000002
1.6600000000000001,2.1799999999999997,2.14,11.363032
4.02,2.8600000000000003,3.62,53.117064
2.62,3.5,4.220000000000001,47.86740000000001
3.18,3.86,3.5,55.2366
2.46,1.82,1.7,12.08844
4.9,2.34,3.1,47.0106
3.98,4.74,3.74,89.42104800000001
2.34,4.5,3.7,49.491
4.38,4.54,1.78,55.28085600000001
4.1,3.62,4.46,81.03732
2.7,4.1,2.06,33.8742
2.5,1.98,4.26,26.036999999999995
2.42,4.66,4.82,65.63330400000001
2.98,3.66,2.42,37.301256
3.9,4.7,4.62,103.0146
4.78,3.2600000000000002,1.38,37.087064000000005
1.06,3.74,1.22,8.800968
3.5,2.62,3.2600000000000002,39.0642
3.7800000000000002,2.9,2.58,39.24396
1.98,3.38,1.62,17.534087999999997
2.26,1.26,1.42,6.891191999999998
3.54,2.1,1.6600000000000001,19.774440000000002
3.86,2.2199999999999998,4.02,43.01738399999999
2.1,3.14,4.300000000000001,34.94820000000001
4.42,4.34,3.3,82.48604
2.2199999999999998,1.42,4.0600000000000005,15.951144
1.5,4.42,2.54,23.470200000000002
4.34,2.58,4.18,58.001495999999996
1.3,1.6600000000000001,3.46,9.624680000000001
4.859999999999999,3.9,3.58,86.80931999999999
2.9,4.18,2.9,47.27579999999999
4.7,4.98,2.38,79.11228
4.220000000000001,3.02,4.74,73.15285600000001
2.8600000000000003,3.58,3.98,50.98922400000001
4.9399999999999995,1.54,3.54,34.538503999999996
4.140000000000001,1.62,3.86,32.595048000000006
1.38,4.38,4.1,30.826439999999998
1.26,3.54,3.42,19.714968000000002
3.74,1.38,2.66,18.889992
1.1400000000000001,2.8200000000000003,2.2199999999999998,10.351656000000002
4.18,4.859999999999999,4.7,115.79435999999998
1.74,2.46,1.98,12.755592
4.46,1.1400000000000001,1.58,13.117752000000001
1.18,4.300000000000001,4.58,28.312920000000002
1.54,1.78,1.8599999999999999,7.8398319999999995
1.78,3.34,1.9,17.24108
1.9,1.8599999999999999,4.66,20.002439999999996
4.74,2.38,3.06,45.801672
2.38,2.26,4.140000000000001,27.647031999999996
4.54,2.74,1.26,28.113495999999998
3.42,4.46,4.54,84.502728
2.14,1.06,3.02,9.118968
2.8200000000000003,2.98,3.14,34.79090400000001
2.66,3.42,4.38,48.942936
3.06,3.46,3.8200000000000003,51.03223200000001
1.3399999999999999,1.9,3.9,12.475399999999999
3.3,1.3,2.46,14.843399999999999
3.66,3.98,2.7800000000000002,55.062504000000004
2.54,3.7,4.42,50.93716
3.1,3.1,2.62,34.7882
3.62,1.1,1.3,9.1586
3.7,1.18,3.18,18.249879999999997
3.14,1.5,2.02,14.224200000000002
2.7800000000000002,4.9399999999999995,2.8600000000000003,53.010152000000005
4.26,3.7800000000000002,1.18,35.10410399999999
1.8599999999999999,3.06,2.1799999999999997,18.099287999999998
4.58,2.42,4.9399999999999995,65.83658399999999
3.58,2.66,2.74,35.615272000000004
1.58,1.58,2.34,8.337976
3.02,3.8200000000000003,4.5,63.4502
