Y,A,d,x,F
2.42,3.22,3.54,2.38,5.238958192090395
4.66,3.14,4.9,3.14,9.37668081632653
3.86,2.98,1.5,3.86,29.60053866666666
2.66,2.1799999999999997,1.7,3.02,10.301397647058824
4.74,3.2600000000000002,1.46,1.9,20.109287671232877
3.62,1.1400000000000001,2.06,1.46,2.9248194174757285
2.26,1.6600000000000001,1.18,3.38,10.74610847457627
3.9,2.54,3.3,2.46,7.384472727272728
2.54,4.62,3.66,1.06,3.3986032786885247
3.1,1.38,1.22,2.7800000000000002,9.74822950819672
1.42,2.94,1.78,1.78,4.174799999999999
2.98,3.1,3.7,4.140000000000001,10.336572972972974
1.3399999999999999,2.8200000000000003,1.9,4.42,8.790682105263159
4.9,2.06,1.98,1.6600000000000001,8.462646464646467
4.1,1.82,4.859999999999999,4.62,7.093506172839508
2.62,3.7800000000000002,3.22,1.54,4.736504347826087
1.54,3.34,3.58,3.9,5.60336312849162
4.54,3.42,1.6600000000000001,2.7,25.25443373493976
1.3,1.22,3.46,4.82,2.2093988439306362
2.34,3.98,3.18,2.9,8.493169811320755
1.58,2.34,1.1,4.7,15.797127272727273
3.94,1.62,4.26,2.14,3.2063830985915502
3.2600000000000002,1.1,3.98,1.62,1.4596281407035179
1.6600000000000001,2.66,2.14,2.58,5.323480373831776
1.62,2.1,4.140000000000001,2.98,2.448782608695652
4.140000000000001,4.26,4.18,4.34,18.311477511961726
2.8600000000000003,1.06,1.06,3.66,10.467600000000001
2.38,4.02,3.38,4.46,12.624702958579881
3.58,3.46,3.86,3.5,11.23155440414508
3.14,4.74,4.78,3.94,12.268071966527197
2.06,4.34,4.54,1.26,2.4812563876651987
3.3,3.3,3.74,1.02,2.9699999999999998
3.18,4.220000000000001,2.1799999999999997,4.66,28.68593394495414
4.26,4.9,4.62,2.26,10.211090909090908
3.38,4.54,2.94,1.82,9.499409523809526
3.7,2.62,1.82,3.62,19.281472527472527
4.300000000000001,1.94,4.9399999999999995,1.3399999999999999,2.2628097165991905
4.98,3.66,3.42,2.8200000000000003,15.029115789473687
2.2199999999999998,3.9,4.7,1.22,2.247395744680851
4.9399999999999995,2.58,1.62,1.18,9.283540740740738
1.8599999999999999,3.54,2.74,4.220000000000001,10.140937226277373
1.26,2.02,1.74,3.8200000000000003,5.587737931034483
4.220000000000001,4.300000000000001,3.14,2.66,15.372089171974526
4.42,4.7,2.54,2.54,20.774
4.5,1.26,3.2600000000000002,4.9399999999999995,8.591963190184048
1.74,1.3,2.42,3.46,3.2340991735537195
3.98,2.9,2.66,2.74,11.889127819548872
4.38,3.94,2.34,3.7800000000000002,27.87701538461539
3.42,1.46,1.02,1.7,8.322
2.1,3.5,1.94,4.26,16.139690721649487
2.9,3.8200000000000003,2.02,4.18,22.923782178217824
3.8200000000000003,1.58,4.220000000000001,2.2199999999999998,3.1751260663507104
2.7,2.74,3.8200000000000003,2.06,3.9894973821989534
3.22,1.3399999999999999,3.02,3.22,4.600548344370861
3.74,3.7,1.3,3.06,32.572523076923076
3.7800000000000002,4.58,4.98,3.3,11.472072289156625
3.54,1.78,1.1400000000000001,4.74,26.199726315789476
2.74,1.02,4.1,3.54,2.413071219512196
1.82,4.140000000000001,2.8600000000000003,4.58,12.066218181818183
3.06,1.54,2.2199999999999998,1.5,3.1840540540540547
1.5,4.46,2.38,2.3,6.465126050420167
4.78,2.3,4.42,1.1,2.7360633484162897
2.5,4.98,2.1,1.38,8.181428571428572
1.98,4.78,4.74,1.94,3.873615189873418
4.859999999999999,2.38,1.3399999999999999,2.1,18.127074626865674
2.7800000000000002,2.5,3.06,4.78,10.85653594771242
3.66,1.9,3.7800000000000002,3.34,6.144539682539682
2.94,4.9399999999999995,4.58,3.1,9.830384279475982
4.46,4.859999999999999,4.0600000000000005,3.74,19.967178325123147
1.02,3.18,4.66,2.8600000000000003,1.9907072961373393
1.1,3.58,4.46,1.74,1.5363497757847535
1.7,1.18,2.8200000000000003,2.02,1.4369219858156026
1.78,2.7800000000000002,4.5,1.1400000000000001,1.2535946666666669
3.5,2.46,2.7,4.9,15.625555555555554
4.7,4.0600000000000005,2.7800000000000002,4.859999999999999,33.359179856115105
3.02,1.7,2.26,2.42,5.497469026548672
2.02,2.8600000000000003,2.46,1.98,4.649941463414635
4.02,2.26,1.8599999999999999,3.98,19.440374193548383
4.0600000000000005,2.14,4.300000000000001,3.42,6.9103088372093024
1.94,1.98,2.3,1.3,2.171113043478261
2.8200000000000003,2.2199999999999998,1.54,4.300000000000001,17.480337662337664
1.1400000000000001,3.06,1.42,3.2600000000000002,8.008580281690143
1.9,3.62,3.34,3.18,6.548514970059881
1.22,4.5,2.58,2.62,5.575116279069768
2.3,3.02,4.38,4.38,6.946
1.06,2.42,4.34,1.8599999999999999,1.0993714285714284
1.18,3.86,2.98,4.0600000000000005,6.20553288590604
1.38,1.8599999999999999,1.58,4.02,6.53071898734177
3.46,4.1,3.5,3.58,14.510251428571426
4.18,1.42,2.9,1.42,2.9063972413793095
2.58,1.5,1.38,1.58,4.4308695652173915
4.58,4.38,4.02,2.94,14.671038805970152
4.82,1.74,3.62,2.34,5.421301657458564
2.46,3.38,3.94,3.7,7.8083147208121835
3.34,4.66,2.5,4.54,28.264950399999996
2.14,2.7,3.1,4.98,9.28207741935484
2.1799999999999997,4.42,4.82,2.5,4.997717842323651
1.46,4.82,2.62,2.1799999999999997,5.855380152671755
4.34,4.18,1.26,4.1,59.030888888888875
4.62,3.74,3.9,4.5,19.937076923076923
