q,epsilon,r,Volt
3.7800000000000002,3.54,2.34,0.03631305741992398
2.2199999999999998,4.859999999999999,3.54,0.010268418941201311
3.3,4.9399999999999995,4.26,0.012478647816123402
4.9,1.7,1.74,0.13182204549531562
1.9,4.140000000000001,2.8600000000000003,0.012769602035176223
2.62,2.58,4.859999999999999,0.016627825266403717
3.7,4.66,3.9,0.01620098188180953
3.94,2.94,1.06,0.10060814975325179
4.140000000000001,2.3,4.5,0.031830988618379075
1.1400000000000001,4.98,1.78,0.010234005410674195
4.220000000000001,1.62,2.74,0.07565489094437668
1.54,2.42,2.7,0.018755633024297433
1.06,3.34,3.34,0.007561414880302676
4.5,3.8200000000000003,4.140000000000001,0.022643259602193162
2.1799999999999997,1.5,2.14,0.054043267280425515
3.22,3.38,3.38,0.02242913924389478
4.62,1.46,3.7800000000000002,0.06661736582994097
2.06,4.300000000000001,2.1,0.01815388608910877
3.86,4.58,4.54,0.014772571810368678
3.46,2.98,1.3,0.07107332254749069
3.02,4.18,4.18,0.013754490743616333
4.9399999999999995,2.5,4.34,0.036231586123224094
3.18,4.220000000000001,3.18,0.01885722074548523
3.62,1.6600000000000001,2.9,0.059840142708003856
4.98,3.7,1.54,0.06954998390642671
1.82,4.46,1.46,0.022241998619943602
1.7,3.98,3.1,0.010964637836611366
2.46,2.66,1.58,0.04657860949915086
3.8200000000000003,3.46,2.1799999999999997,0.04030147177513923
1.58,4.7,1.18,0.022670826729642504
3.1,3.42,1.42,0.050796919897956885
4.46,2.26,3.7,0.04244385590707087
2.8600000000000003,2.9,4.38,0.017917774257708262
1.26,1.26,4.82,0.016509848868453875
1.38,1.78,3.22,0.01915990486660056
2.7,3.62,3.42,0.017354784431363988
1.94,1.42,1.6600000000000001,0.06549308280974821
4.34,2.02,2.7800000000000002,0.06150121563313143
2.42,1.1,4.46,0.03925346130069167
2.26,2.8600000000000003,1.02,0.06164989911347926
3.54,3.22,4.98,0.01756742805212494
4.1,1.1400000000000001,3.5,0.08177133667628707
2.02,3.94,4.7,0.008680553651734221
3.74,4.54,1.7,0.038561770352661874
3.14,2.38,3.62,0.029002421265411082
1.6600000000000001,3.1,1.3399999999999999,0.03180033769048463
2.94,4.34,1.22,0.04418632740520627
4.18,4.5,2.62,0.028213217223245227
2.38,2.8200000000000003,1.94,0.03461913838549306
1.02,3.02,2.42,0.011106264158621124
4.66,4.82,2.54,0.030289722727163404
3.38,2.62,4.02,0.02553756540060225
4.7,4.02,4.42,0.02104939759719244
3.98,2.14,3.06,0.04836575907899208
2.54,2.2199999999999998,3.3,0.02759033275002827
2.5,1.02,3.8200000000000003,0.05105833047553361
2.74,2.7,4.62,0.017479739621284
4.82,3.74,3.98,0.02576810609541476
1.3,4.74,2.26,0.009657099530425673
3.5,3.7800000000000002,3.86,0.019088819695343425
4.78,1.58,3.66,0.06577787818870268
1.74,2.1799999999999997,2.06,0.030832992003640543
1.78,4.38,1.5,0.021559802032235443
3.58,2.54,2.5,0.04486414931251853
4.38,3.18,4.58,0.023931595216503992
4.54,4.62,4.66,0.016781010015170208
1.22,2.7800000000000002,4.0600000000000005,0.008601597909598482
2.8200000000000003,1.18,2.38,0.0799061635662913
2.1,1.74,2.98,0.03222878389386911
3.06,3.66,1.9,0.03501683389856196
4.74,2.06,2.2199999999999998,0.0824799298363929
1.8599999999999999,3.58,3.58,0.011548804428346701
1.1,2.1,4.1,0.010166692067426533
4.859999999999999,4.1,2.94,0.03208449574525516
3.42,2.46,2.02,0.054768363657558765
2.58,1.38,2.46,0.06047775320741871
2.34,3.14,3.02,0.01963674056370666
4.300000000000001,1.82,1.26,0.14921643452275204
1.5,4.0600000000000005,3.14,0.009363230469621403
2.9,1.22,4.9,0.03860399255323657
1.18,1.98,2.66,0.01782893150000346
4.0600000000000005,2.74,4.74,0.024876384742103817
1.42,4.9,1.1400000000000001,0.02022914600702572
4.42,1.06,3.46,0.09590261321656905
1.98,1.8599999999999999,4.9399999999999995,0.017148077321511513
1.3399999999999999,3.3,1.8599999999999999,0.017372729206837714
4.02,3.5,2.8200000000000003,0.03241149297008202
1.46,3.2600000000000002,1.38,0.025825355307433896
2.66,1.9,1.62,0.06877065442242392
4.26,4.26,4.300000000000001,0.018506388731615735
2.3,1.54,3.74,0.0317779332862837
3.2600000000000002,3.9,4.78,0.01391602602938469
3.66,4.42,2.58,0.025540491235940273
1.62,2.34,1.82,0.03027038224486598
3.9,4.78,3.94,0.016478991304143528
2.98,1.3,4.220000000000001,0.043226552170419985
2.7800000000000002,3.06,1.1,0.06572352076581536
4.58,1.3399999999999999,2.3,0.11825594408839728
2.14,1.94,1.98,0.044334007369657404
3.34,3.86,3.2600000000000002,0.02112183754755914
