epsilon,p_d,theta,r,Volt
2.33,1.21,1.73,2.4699999999999998,-0.0010738475215587222
1.9100000000000001,2.4699999999999998,2.01,1.83,-0.013066643829753869
1.99,2.27,2.25,1.75,-0.018619435741165147
1.69,2.09,2.67,2.67,-0.012297866213250398
1.6099999999999999,1.5899999999999999,2.6100000000000003,1.4100000000000001,-0.034074606288449494
2.63,2.21,1.9300000000000002,2.23,-0.004726916150315859
1.37,1.37,2.35,2.99,-0.0062549781179083936
2.37,1.67,2.99,1.77,-0.017693036856799398
2.35,1.01,1.95,2.51,-0.0020096023548055414
2.45,2.55,2.0300000000000002,1.21,-0.025074193091276505
2.73,1.25,1.35,1.81,0.0024357781362196016
1.17,1.53,1.4100000000000001,2.89,0.001994816937346461
1.43,2.6500000000000004,1.05,1.07,0.06408959383271748
2.31,2.75,1.47,1.51,0.004180863744169885
1.83,2.23,1.13,2.55,0.006362756187305544
2.6100000000000003,2.0300000000000002,1.3900000000000001,2.5300000000000002,0.001738704015590804
1.3900000000000001,1.75,2.23,2.63,-0.008871543038497522
1.85,2.63,2.29,1.05,-0.06759892259905974
1.8900000000000001,2.51,1.97,1.5899999999999999,-0.016248202008803142
2.39,2.83,2.5700000000000003,1.15,-0.059923873593596994
1.35,2.69,2.59,1.9100000000000001,-0.03701893851057002
2.15,2.9699999999999998,1.11,2.87,0.00593435983973371
2.41,2.99,2.51,1.37,-0.04245453951382477
1.53,1.97,1.6099999999999999,2.29,-0.0007657896188942874
1.07,1.09,1.81,2.95,-0.0022070244018206533
2.49,2.31,2.75,1.11,-0.05538228648836102
2.69,2.0700000000000003,2.71,2.41,-0.009576432438701179
1.25,2.01,1.49,2.79,0.0013267429003700625
1.15,2.77,2.19,1.87,-0.03181313184840807
2.51,1.11,1.21,2.77,0.0016191177322964843
2.5700000000000003,1.55,2.85,2.49,-0.007414110635805104
2.79,2.35,2.37,2.73,-0.006446546774425058
2.83,1.3900000000000001,2.4299999999999997,2.09,-0.006776523406607601
2.81,2.73,1.71,2.0700000000000003,-0.0025035309133422333
2.85,2.17,1.69,2.01,-0.0017835016954395617
2.9699999999999998,1.23,1.01,2.25,0.003462355681824815
1.73,1.83,1.5899999999999999,1.73,-0.0005400830276098741
2.75,1.4100000000000001,2.1100000000000003,2.1100000000000003,-0.004705569380042538
2.95,1.9300000000000002,2.49,2.35,-0.007495865778620356
1.63,1.77,2.77,1.13,-0.06305483913580646
1.19,1.71,1.37,2.05,0.005427064660546987
2.77,2.25,1.9100000000000001,1.57,-0.008725567696332183
2.6500000000000004,1.33,1.25,2.45,0.0020980629082123295
2.05,1.13,1.43,1.69,0.002155245783655248
2.99,2.87,2.39,1.9300000000000002,-0.014981913229890238
1.95,2.95,1.65,1.27,-0.00590556230749787
2.25,2.6100000000000003,2.21,1.19,-0.03888712179596467
2.4299999999999997,1.49,1.33,1.31,0.006780665419509898
2.4699999999999998,2.37,2.69,1.17,-0.05018722819382843
1.09,2.4299999999999997,2.0700000000000003,1.25,-0.054354736445636924
2.01,2.29,2.95,2.5700000000000003,-0.013475443882938205
1.97,2.79,1.51,1.01,0.006712667472385776
1.21,2.19,1.19,1.23,0.0353821590913117
2.1100000000000003,2.91,2.09,1.65,-0.02000229541070753
1.75,2.05,1.83,2.0300000000000002,-0.005798036727497524
2.21,2.85,1.07,2.71,0.006708999559286022
1.27,1.51,2.6500000000000004,1.63,-0.03139431158239792
1.9300000000000002,1.45,1.27,1.33,0.01001385186997261
