epsilon,p_d,r,x,y,z,Ef
1.77,2.67,1.6099999999999999,2.4299999999999997,1.47,2.5300000000000002,0.23920169414993422
1.29,1.01,1.07,2.95,1.85,2.75,1.2761382709938136
2.81,1.79,2.89,1.63,1.45,2.0300000000000002,0.0033407273226650556
1.9100000000000001,2.77,1.29,2.01,2.89,2.41,0.8222435787473403
1.95,2.91,1.9300000000000002,1.15,1.55,1.03,0.026447436710765063
2.9699999999999998,2.71,1.19,1.75,1.3900000000000001,2.79,0.5691726000347798
1.81,1.97,2.21,1.95,2.75,1.19,0.01977285378991879
2.4699999999999998,2.31,2.79,2.85,2.37,2.83,0.013854017128020563
1.09,2.5300000000000002,1.79,1.23,2.4699999999999998,2.4699999999999998,0.20551235908536417
2.0300000000000002,2.15,2.55,1.31,2.9699999999999998,2.91,0.022151563732586962
1.99,2.89,2.15,2.67,1.43,2.45,0.05600213390892847
1.49,1.49,2.9699999999999998,1.97,2.51,1.45,0.0047796089431631685
2.41,1.77,2.27,2.5700000000000003,1.71,2.4299999999999997,0.021820679254694175
2.67,2.5700000000000003,1.4100000000000001,1.85,1.81,2.99,0.3190809675332759
1.6099999999999999,2.41,1.51,2.33,2.1100000000000003,2.67,0.3820582057496079
2.71,2.79,2.81,1.79,2.35,1.69,0.007003642073846019
2.5300000000000002,2.25,1.37,2.91,1.9100000000000001,2.51,0.3843505351576439
1.43,2.33,1.45,2.77,2.17,1.9300000000000002,0.4121359171680378
2.49,2.21,2.29,2.55,2.0700000000000003,2.9699999999999998,0.03282023952927518
1.13,1.99,1.75,1.83,1.67,1.31,0.08313299793530264
2.19,2.6100000000000003,2.85,1.73,1.49,2.17,0.007496992553299425
2.4299999999999997,2.75,1.35,2.59,2.33,1.77,0.37153344179723446
1.85,2.1100000000000003,1.99,1.37,1.77,2.87,0.05604654253460826
2.5700000000000003,2.37,1.47,1.57,1.63,1.87,0.13573531466759847
1.31,2.0300000000000002,1.87,1.05,1.11,2.19,0.05413503921393986
1.33,2.0700000000000003,2.41,2.9299999999999997,1.31,2.85,0.041805116295027644
2.79,2.99,1.15,1.6099999999999999,1.01,2.27,0.548783348540977
2.09,2.63,1.63,2.5300000000000002,2.45,1.51,0.13884497068890445
1.71,1.43,2.33,1.21,2.15,2.15,0.015420467962815945
1.11,1.3900000000000001,2.9299999999999997,1.29,2.25,1.17,0.0042009621982260215
2.75,1.83,2.77,2.75,1.5899999999999999,1.07,0.0033111069916456045
2.33,2.13,1.81,2.0300000000000002,1.29,2.0700000000000003,0.055932499299222393
1.5899999999999999,1.57,1.55,1.69,2.09,1.47,0.10410405424668989
1.3900000000000001,2.51,2.6500000000000004,2.73,2.69,2.69,0.03400864569641299
2.45,2.59,1.23,1.71,2.39,2.55,0.6717706715541465
2.69,2.05,1.67,2.63,1.23,2.31,0.09394014612181269
2.51,2.9699999999999998,1.11,1.35,1.95,2.6500000000000004,1.0536257158924758
2.89,2.87,1.31,2.31,1.27,2.63,0.4260453903107745
2.31,1.5899999999999999,2.71,1.5899999999999999,2.55,1.71,0.00577702828910761
2.87,1.75,1.73,2.17,1.9300000000000002,2.21,0.06028939831339296
2.23,1.21,2.4299999999999997,1.19,2.4299999999999997,1.75,0.0072390867672606045
2.6500000000000004,1.15,1.21,2.81,2.81,2.23,0.35396692767141147
2.83,1.17,1.83,1.8900000000000001,2.23,1.35,0.018977769622737898
1.8900000000000001,1.27,2.1100000000000003,2.21,1.75,1.83,0.019787129549852827
1.51,1.19,1.57,2.19,2.5300000000000002,2.05,0.13529689906629835
1.23,1.55,1.25,1.09,1.21,1.11,0.17820259604986596
2.05,1.8900000000000001,2.83,1.47,2.79,1.15,0.004397313106813559
2.9299999999999997,2.4299999999999997,2.19,2.6500000000000004,1.57,2.77,0.03353380576448825
2.29,1.13,2.91,1.53,2.49,1.65,0.002722248154512521
2.0700000000000003,2.45,1.65,1.07,1.33,1.99,0.0784820528671381
2.27,1.25,1.77,2.9699999999999998,2.87,1.01,0.031565458174630315
2.1100000000000003,2.39,1.09,1.43,2.6500000000000004,2.33,1.2330811392511747
1.45,2.19,2.5300000000000002,1.67,1.6099999999999999,1.05,0.00847238519250381
2.21,1.53,1.17,2.23,2.71,1.67,0.441824893007579
2.01,2.27,1.49,2.89,1.97,2.95,0.37878986662515923
2.95,2.83,2.67,2.45,1.4100000000000001,1.63,0.007776726102324666
2.99,1.85,2.0700000000000003,2.39,2.21,1.33,0.01682623375222987
1.87,2.01,2.63,2.1100000000000003,2.67,1.25,0.008675013173166548
2.6100000000000003,2.4699999999999998,1.43,2.0700000000000003,1.53,1.49,0.14490823908991185
1.15,1.05,2.01,1.81,2.73,1.3900000000000001,0.030249415352204104
2.59,1.23,2.05,1.17,1.03,1.81,0.008835095973602932
2.25,2.73,2.99,1.33,2.83,2.39,0.009058453385906424
1.03,2.81,1.85,1.11,2.63,2.73,0.23422683489364443
1.35,2.95,2.39,2.13,2.59,2.25,0.05047454136545396
1.67,2.17,2.69,1.49,2.85,1.8900000000000001,0.013386588758722657
2.73,2.55,2.37,2.83,2.01,2.37,0.024534151471574756
