epsilon,p_d,theta,r,Ef
1.0656866217793928,2.7508485401497884,1.9934251018880584,1.8650324800148752,-0.0355339442137718
2.140262763089676,1.4584129273821316,2.290736573700105,1.622417961833957,-0.01888313990236658
2.414022374878752,1.6568657432556098,1.6388314945899063,1.559952503583231,-0.0029276270679278143
1.4011333663842578,2.5557081619082127,1.2562640939697272,2.4331739840391253,0.008893196921536997
2.008548305807936,1.4294589927531254,2.184421859634183,1.810397634256224,-0.01348030962923145
2.4536751893768947,1.8851294124971152,2.922026155336652,1.0360694763463327,-0.03505791035906815
1.3122082953566323,2.565053662175909,2.7445547726195345,2.4473242548366403,-0.01135328783060879
1.3592561328194717,1.1991930982818584,2.1526945529563197,2.433440668492576,-0.0067111579227274116
2.6349896328205125,1.2700978721523468,1.0928616239110776,2.3867662643360767,0.003456479842260034
2.4783867012735734,2.020138189933968,2.6195743995471177,1.4837227111429658,-0.0257495892483396
2.1967692115893334,1.4524989643252415,1.4414460357685903,2.823346540743845,0.0008971447491817998
2.9130149674293504,2.453896584852555,2.8297771471363307,1.7191828427213944,-0.011556639286231164
2.0981843995654117,2.2962942453800963,1.2414644632228031,1.446515323903501,0.026417433847333045
2.9586813904795037,2.6558771906207017,1.5597939703341466,2.408467728665686,0.00016875216287328868
2.9638984309763527,2.483793276137068,1.63736539438254,1.064937691107977,-0.010994604408522492
2.222086422846108,2.5826323498146566,1.6966666575268492,1.919258733966924,-0.004888087618548477
1.4502060044299503,1.8756264330271608,1.8045361006609657,1.1675015553201136,-0.04371728200012229
2.86166732869435,1.8797420173603072,2.6533672698171946,2.5730678100089355,-0.0038133551434267115
2.3451257087840025,1.0721182075483198,2.844654601502003,1.5479209697671057,-0.008233262200982716
1.2547321499212427,2.7617481732963047,1.965414802416652,2.226757844472461,-0.016890451333201568
2.6989839118118835,2.6406436736201844,1.7041552947201617,2.8885974397290504,-0.0012770873930519231
2.2672484453168886,1.7400216528795904,2.486292340556129,2.610809347840372,-0.004974406325213205
1.3620172208604313,2.5472689298889626,1.8346050626207957,1.1558113264992402,-0.07279335595675801
2.8748839257141454,1.1756175785964005,2.949002319952484,1.8132417565084016,-0.003076322965604818
1.7651735723662725,2.6538890488172884,2.6107700920292265,2.534134891306961,-0.009628988525422578
2.0037632637281604,1.4453406733332856,1.0637112133032955,1.7514762367476808,0.013605730612172523
