epsilon,p_d,theta,r,Ef
2.87,1.19,2.85,2.5300000000000002,-0.0016830172646629823
1.99,2.9699999999999998,2.91,2.39,-0.00583047960432974
1.6099999999999999,1.83,1.5899999999999999,2.4299999999999997,-0.0003630741356484295
2.5700000000000003,1.73,1.23,1.37,0.019687670728383472
1.5899999999999999,1.5899999999999999,2.83,2.5700000000000003,-0.004104078508949623
1.53,1.33,1.71,2.87,-0.0012062897307397126
2.35,2.21,1.31,1.81,0.009432515707480363
2.31,1.63,1.85,2.67,-0.002344578695134998
2.25,2.9299999999999997,1.97,1.77,-0.020077454321918226
2.59,2.6100000000000003,1.77,1.85,-0.0073702757519497775
2.19,1.75,1.49,1.23,0.008246884201056064
2.17,2.15,2.4699999999999998,2.6100000000000003,-0.006480229726749952
2.13,1.81,2.87,1.5899999999999999,-0.013042669559228627
2.99,1.45,2.0700000000000003,2.01,-0.005992172134425387
2.9299999999999997,1.67,2.49,2.21,-0.006078732621665365
2.6100000000000003,1.69,2.05,2.69,-0.003249160429923936
1.3900000000000001,2.67,2.31,1.53,-0.06374518883432502
1.35,2.27,2.95,1.29,-0.034956883948512624
1.55,1.31,1.87,2.75,-0.002732648029613693
2.0300000000000002,1.71,1.95,1.31,-0.030761561957877787
1.87,1.05,2.6500000000000004,2.4699999999999998,-0.0037016992710656818
1.29,1.4100000000000001,1.9300000000000002,2.33,-0.006788783906163784
1.21,2.33,1.29,2.37,0.009195068918075141
2.15,1.87,2.41,1.95,-0.01392070549543572
1.13,1.79,2.33,2.41,-0.013489895907395928
1.37,2.23,1.8900000000000001,2.73,-0.005690673748592811
1.15,1.43,1.53,1.99,0.0015350744303502068
2.63,2.41,2.81,2.81,-0.0030348943613410497
2.09,1.03,1.4100000000000001,2.83,0.0008203652326638533
1.43,2.81,2.27,2.51,-0.014613193053785735
1.63,1.6099999999999999,2.5700000000000003,2.77,-0.005047800805534447
1.57,2.77,1.27,1.11,0.08715161123445432
1.45,2.55,1.81,2.99,-0.003615290246787384
1.65,2.69,2.39,1.57,-0.050171534260818225
2.37,2.29,2.15,2.9699999999999998,-0.004033418853425987
2.29,1.15,1.07,2.25,0.004432805641230104
1.03,2.6500000000000004,1.6099999999999999,1.9300000000000002,-0.0033460297328424733
2.9699999999999998,2.63,2.99,2.0300000000000002,-0.0037724781861902313
1.73,2.09,2.37,2.17,-0.014107069606829937
1.4100000000000001,1.23,1.13,2.91,0.0032611183714970522
2.23,1.53,2.59,1.55,-0.01963147578197331
1.47,2.0700000000000003,2.77,2.15,-0.01144391435445822
1.9100000000000001,1.17,1.05,1.21,0.03562820338143525
1.69,2.39,1.19,2.27,0.00995889844089127
1.9300000000000002,2.5300000000000002,1.63,1.27,-0.009023952381080627
1.19,2.59,1.9100000000000001,2.79,-0.007507106335871517
1.33,2.31,2.9699999999999998,2.1100000000000003,-0.007426161871808111
1.23,2.25,1.83,1.79,-0.018864316097086976
1.09,1.37,2.71,2.89,-0.004723327457854251
1.49,2.49,2.63,2.31,-0.0138165565847466
1.25,2.35,1.65,1.07,-0.028896512068431784
1.71,2.5700000000000003,1.57,1.63,6.59745954711808e-05
2.77,1.85,1.33,1.83,0.006025324563917785
1.01,2.37,2.75,1.75,-0.03687364433318235
2.81,2.75,1.37,1.01,0.04431925046236599
2.73,1.97,1.15,2.55,0.0038737501984495533
2.05,1.65,2.4299999999999997,2.95,-0.0037016616833330795
2.51,1.9100000000000001,1.25,2.29,0.004526666870172832
1.11,2.87,2.35,1.69,-0.06393620711183344
2.49,2.99,2.29,1.4100000000000001,-0.05068492673536749
